,,,,,Game and Vegas,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,Proj. Fantasy Pts,,,Projected Values,,,,Position Rankings,,,,Overall Rankings,,,Actual Data,,Position Rankings,,,Overall Rankings,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Player,Inj,Likes,Pos,Salary,Team,Opp,Def v Pos,VegasPts,StdDev,2021 Avg,2022 Avg,Pct,Att,Yrds,TDs,Int,Pct,Att,Yrds,TDs,Att+Tar,Pct,Tar,Rec,Yrds,TDs,Sacks,Int,Fum,Sfty,TDs,PTs,FC,My,Diff,Floor,Ceiling,FC Proj,My Proj,FPs,Rdm %,Exp.,Used,FPs,Con.,Value,Score,Val,Salary,FC Proj,My Proj,Salary,FC Proj,My Proj,Att,Comp,Yrds,Int,Sack,TDs,Rtg,Att,Yrds,TDs,Trgts,Rec,Yrds,TDs,Sack,Ints,Fmbls,TDs,Sfty,Pts,Yrds
Lamar Jackson,,0,QB,8400,BAL,vs CAR,25,27.25,11.2,22.3,23.6,1,34.07,256.45,2.02,0.84,0.4117,15.44,95.92,0.49,15.44,0,0,0,0,0,0,0,0,0,0,0,30.03,30.03,0,13.23,52.43,30.03,30.03,15,0,100,,42,48,3.6,16.46,2,2,1,1,6,1,1,24.24,15.33,178.06,0.6,2.06,1.46,91.55,10.49,65.17,0.33,,,,,,,,,,,
Josh Allen,,0,QB,8500,BUF,vs CLE,20,28.25,9.8,27.6,29.2,1,35.5,267.57,2.09,0.79,0.3563,10.52,61.67,0.69,10.52,0,0,0,0,0,0,0,0,0,0,0,28.58,28.58,0,13.88,48.18,28.58,28.58,19,0,100,,61,60,3.4,12.58,1.5,1,2,2,5,2,2,33.79,21.24,244.28,0.75,1.96,1.8,91.87,7.12,41.74,0.47,,,,,,,,,,,
Jalen Hurts,,0,QB,8200,PHI,@ IND,14,25.75,11.4,21.7,25.1,1,32.1,247.79,1.69,0.65,0.337,11.58,58.17,0.76,11.58,0,0,0,0,0,0,0,0,0,0,0,26.4,26.4,0,9.3,49.2,26.4,26.4,6,0,100,,15,36,3.2,25.20,3.1,4,3,3,8,3,3,22.77,13.97,171.28,0.46,1.62,0.95,76.35,7.82,39.28,0.51,,,,,,,,,,,
Davante Adams,,0,WR,8700,LV,@ DEN,7,19.75,10.8,22.7,22,0,0,0,0,0,0,0,0,0,13.34,0.3663,13.34,8.86,106.92,0.85,0,0,0,0,0,0,24.65,24.65,0,8.45,46.25,24.65,24.65,1,0,100,,3,45,2.8,36.10,4.1,3,1,1,4,4,4,0.01,0.01,0.28,,0.01,,1.89,0.03,-0.01,,9.53,6.33,77.89,0.73,,,,,,,
Patrick Mahomes,,0,QB,8300,KC,@ LAC,15,28.75,9.3,23.9,28.5,1,43.69,342.74,2.49,0.71,0.0839,2.13,11.12,0.09,2.13,0,0,0,0,0,0,0,0,0,0,0,24.61,24.61,0,10.66,43.21,24.61,24.61,2,0,100,,7,64,3,30.46,3.7,3,4,4,7,5,5,37.01,24.54,300.56,0.6,1.61,2.44,107.04,3.85,20.1,0.17,,,,,,,,,,,
Justin Fields,!,0,QB,7600,CHI,@ ATL,27,23.25,11.4,12.1,21.8,1,31.51,225.35,1.24,1.12,0.3547,12.25,81.37,0.55,12.25,0,0,0,0,0,0,0,0,0,0,0,24.29,24.29,0,7.19,47.09,24.29,24.29,7,0,100,,19,31,3.2,23.62,3.1,5,5,5,14,6,6,21.68,12.77,152.68,0.77,3.27,0.86,76.83,8,53.14,0.36,,,,,,,,,,,
Travis Kelce,,0,TE,8000,KC,@ LAC,8,28.75,9.2,17.8,21.8,0,0,0,0,0,0,0,0,0,11.4,0.261,11.4,8.14,106.4,0.88,0,0,0,0,0,0,24.06,24.06,0,10.26,42.46,24.06,24.06,1,0,100,,2,48,3,38.50,4.8,1,1,1,10,7,7,0.03,0.01,0.04,0.01,,0.01,1.8,0.07,0.12,0.01,8.33,5.95,75.01,0.54,,,,,,,
Christian McCaffrey,,0,RB,9000,SF,@ ARI,21,26.00,11,18.2,21.1,0,0,0,0,0,0.5535,16.44,75.1,0.61,23.39,0.217,6.95,5.62,47.97,0.28,0,0,0,0,0,0,23.27,23.27,0,6.77,45.27,23.27,23.27,10,0,100,,36,52,2.6,17.60,2,1,1,1,2,8,8,0.06,0.03,1.24,,,0.03,11.61,13.41,61.26,0.5,7.46,6.03,51.63,0.29,,,,,,,
CeeDee Lamb,,0,WR,7500,DAL,@ MIN,28,25.25,8.8,14.2,17.5,0,0,0,0,0,0,0,0,0,12.35,0.3296,12.35,7.93,105.01,0.7,0,0,0,0,0,0,22.63,22.63,0,9.43,40.23,22.63,22.63,37,0,100,,81,41,3,9.50,1.3,8,2,2,15,9,9,,,,,0.02,,,0.58,4.07,0.02,7.65,4.91,65.23,0.37,,,,,,,
