,,,,,Game and Vegas,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,Proj. Fantasy Pts,,,Projected Values,,,,,,,,,Position Rankings,,,Overall Rankings,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Player,Inj,Likes,Pos,Salary,Team,Opp,Def v Pos,VegasPts,STDV,2021 Avg,2022 Avg,Pct,Att,Yrds,TDs,Int,Pct,Att,Yrds,TDs,Att+Tar,Pct,Tar,Rec,Yrds,TDs,Sacks,Int,Fum,Sfty,TDs,PTs,FC,My,Diff,Floor,Ceiling,FC Proj,My Proj,Rdm %,Exp.,Used,Con.,Value,Salary,FC Proj,My Proj,Salary,FC Proj,My Proj,Att,Comp,Yrds,Int,Sack,TDs,Rtg,Att,Yrds,TDs,Trgts,Rec,Yrds,TDs,Sack,Ints,Fmbls,TDs,Sfty,Pts,Yrds
Josh Allen,,0,QB,7900,BUF,vs MIA,21,28.25,9.7,27.6,27,1,34.55,258.35,2.08,0.75,0.3258,9.02,52.26,0.59,9.02,0,0,0,0,0,0,0,0,0,0,0,26.67,26.67,0,12.12,46.07,26.67,26.67,0,100,,60,3.4,1,1,1,5,1,1,33.66,21.12,242.35,0.73,1.98,1.83,92.2,7.19,41.66,0.47,,,,,,,,,,,
Christian McCaffrey,,0,RB,8900,SF,vs SEA,30,25.50,10.8,18.2,21.8,0,0,0,0,0,0.5736,19.53,89.79,0.72,26.27,0.2152,6.74,5.44,45.77,0.36,0,0,0,0,0,0,25.48,25.48,0,9.28,47.08,25.48,25.48,0,100,,53,2.9,1,1,1,1,2,2,0.05,0.03,1.11,,,0.03,10.39,13.57,62.39,0.5,7.3,5.89,50.75,0.3,,,,,,,
Austin Ekeler,,0,RB,8300,LAC,@ JAC,12,24.75,9.9,21.9,22.5,0,0,0,0,0,0.4933,12.41,56.9,0.52,20.33,0.1818,7.92,6.38,54.32,0.47,0,0,0,0,0,0,23.44,23.44,0,8.59,43.24,23.44,23.44,0,100,,42,2.8,2,2,2,3,3,3,,,,,,,,9.31,42.69,0.39,5.57,4.49,39.71,0.33,,,,,,,
Justin Jefferson,,0,WR,8400,MIN,vs NYG,14,25.75,11.3,20.2,23.5,0,0,0,0,0,0,0,0,0,12,0.2901,12,8.07,116.13,0.59,0,0,0,0,0,0,23.22,23.22,0,6.27,45.82,23.22,23.22,0,100,,45,2.8,1,1,1,2,4,4,0.12,0.08,1.35,,,,10.62,0.24,0.92,0.02,9.59,6.45,95.51,0.49,,,,,,,
Justin Herbert,,0,QB,6600,LAC,@ JAC,27,24.75,8.4,24.1,18.2,1,43.58,325.59,2.14,0.79,0.138,3.47,13.78,0.16,3.47,0,0,0,0,0,0,0,0,0,0,0,23.13,23.13,0,10.53,39.93,23.13,23.13,0,100,,62,3.5,4,2,2,11,5,5,39.54,26.46,283.74,0.72,2.02,1.92,97.98,3.44,13.66,0.16,,,,,,,,,,,
Kirk Cousins,,0,QB,5900,MIN,vs NYG,10,25.75,8,19.5,18.7,1,41.36,325.3,2.22,0.8,0.086,2.28,7.16,0.16,2.28,0,0,0,0,0,0,0,0,0,0,0,22.77,22.77,0,10.77,38.77,22.77,22.77,0,100,,59,3.9,7,3,3,18,6,6,34.56,23.29,263.9,0.67,2.17,1.8,100.68,2.11,6.63,0.15,,,,,,,,,,,
Saquon Barkley,,0,RB,7900,NYG,@ MIN,24,22.75,10.2,11.7,18.5,0,0,0,0,0,0.6277,20.24,90.18,0.62,27.28,0.2124,7.04,5.17,35.14,0.14,0,0,0,0,0,0,22.26,22.26,0,6.96,42.66,22.26,22.26,0,100,,45,2.8,3,3,3,5,7,7,,,,,,,,15.67,69.82,0.48,5.54,4.07,29.95,0.13,,,,,,,
Joe Burrow,,0,QB,6900,CIN,vs BAL,8,24.75,8.3,20.9,23.8,1,35.41,286.06,2.04,0.7,0.1731,4.6,15.48,0.29,4.6,0,0,0,0,0,0,0,0,0,0,0,22.19,22.19,0,9.74,38.79,22.19,22.19,0,100,,62,3.2,2,4,4,9,8,8,36.35,24.8,279.98,0.72,3.11,1.89,100.44,3.54,11.91,0.22,,,,,,,,,,,
Tom Brady,,0,QB,5800,TB,vs DAL,29,21.75,8.5,23.9,17.6,1,44.27,337.98,2.12,0.64,0.0737,1.49,1.81,0.09,1.49,0,0,0,0,0,0,0,0,0,0,0,22.08,22.08,0,9.33,39.08,22.08,22.08,0,100,,60,3.8,8,5,5,19,9,9,39.16,25.49,288.68,0.57,1.59,2.01,98.75,1.85,2.25,0.11,,,,,,,,,,,
Daniel Jones,,0,QB,5600,NYG,@ MIN,30,22.75,8.8,16.4,19.1,1,33.16,241.15,1.46,0.65,0.266,8.58,50.16,0.35,8.58,0,0,0,0,0,0,0,0,0,0,0,21.95,21.95,0,8.75,39.55,21.95,21.95,0,100,,49,3.9,10,6,6,21,10,10,32.22,20.61,214.87,0.63,2.76,1.11,87.57,5.41,31.63,0.22,,,,,,,,,,,
JaMarr Chase,,0,WR,8000,CIN,vs BAL,9,24.75,11.4,18.9,21.4,0,0,0,0,0,0,0,0,0,10.66,0.3011,10.66,6.93,98.4,0.76,0,0,0,0,0,0,21.33,21.33,0,4.23,44.13,21.33,21.33,0,100,,42,2.7,2,2,2,4,11,11,,,,,0.03,,,0.55,1.85,,9,5.85,86.94,0.7,,,,,,,
