,,,,,Game and Vegas,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,Proj. Fantasy Pts,,,Projected Values,,,,Position Rankings,,,,Overall Rankings,,,Actual Data,,Position Rankings,,,Overall Rankings,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Player,Inj,Likes,Pos,Salary,Team,Opp,Def v Pos,VegasPts,StdDev,2021 Avg,2022 Avg,Pct,Att,Yrds,TDs,Int,Pct,Att,Yrds,TDs,Att+Tar,Pct,Tar,Rec,Yrds,TDs,Sacks,Int,Fum,Sfty,TDs,PTs,FC,My,Diff,Floor,Ceiling,FC Proj,My Proj,FPs,Rdm %,Exp.,Used,FPs,Con.,Value,Score,Val,Salary,FC Proj,My Proj,Salary,FC Proj,My Proj,Att,Comp,Yrds,Int,Sack,TDs,Rtg,Att,Yrds,TDs,Trgts,Rec,Yrds,TDs,Sack,Ints,Fmbls,TDs,Sfty,Pts,Yrds
Alvin Kamara,,0,RB,7400,NO,@ PIT,14,19.25,10.9,18.1,18.7,0,0,0,0,0,0.8169,21.83,99.06,1,30.04,0.2587,8.21,6.35,53.23,0.31,0,0,0,0,0,0,29.44,29.44,0,13.09,51.24,29.44,29.44,30,0,100,,102,47,4,7.50,1,9,1,1,15,1,1,0.01,0.01,0.15,,,,1.57,12.48,56.63,0.57,6.49,5.02,43.58,0.26,,,,,,,
Austin Ekeler,,0,RB,8400,LAC,@ SF,7,18.75,10.1,21.9,25.4,0,0,0,0,0,0.51,10.85,49.7,0.42,21.22,0.2777,10.37,8.36,77.83,0.69,0,0,0,0,0,0,27.77,27.77,0,12.62,47.97,27.77,27.77,17,0,100,,67,40,3.3,13.30,1.6,3,2,2,7,2,2,,,,,,,,9.03,41.36,0.35,5.47,4.41,39.92,0.36,,,,,,,
Patrick Mahomes,,0,QB,7800,KC,vs JAC,24,30.25,9.3,23.9,27.7,1,42.8,342.48,2.52,0.68,0.214,5.45,28.42,0.24,5.45,0,0,0,0,0,0,0,0,0,0,0,27.38,27.38,0,13.43,45.98,27.38,27.38,2,0,100,,5,64,3.5,35.14,4.5,3,1,1,12,3,3,37.04,24.52,300.19,0.59,1.63,2.42,106.77,3.81,19.87,0.17,,,,,,,,,,,
Jalen Hurts,,0,QB,8000,PHI,vs WAS,27,26.75,11.5,21.7,25.4,1,28.75,233.08,1.39,0.57,0.3216,12.87,64.73,0.82,12.87,0,0,0,0,0,0,0,0,0,0,0,25.71,25.71,0,8.46,48.71,25.71,25.71,5,0,100,,20,35,3.2,22.80,2.9,2,2,2,10,4,4,22.68,13.89,171.18,0.45,1.63,0.92,75.88,7.87,39.58,0.5,,,,,,,,,,,
Tyreek Hill,,0,WR,9100,MIA,vs CLE,25,26.25,11.7,18.4,24.7,0,0,0,0,0,0,0,0,0,12.45,0.3493,12.45,8.57,111.97,0.78,0,0,0,0,0,0,24.45,24.45,0,6.9,47.85,24.45,24.45,20,0,100,,53,37,2.7,15.40,1.7,1,1,1,2,5,5,0.01,,,0.01,,,,0.97,7.49,0.06,8.15,5.61,77.12,0.56,,,,,,,
Josh Allen,,0,QB,8600,BUF,vs MIN,19,26.25,9.9,27.6,29.7,1,31.65,236.87,1.86,0.69,0.3304,8.32,48.04,0.56,8.32,0,0,0,0,0,0,0,0,0,0,0,24.39,24.39,0,9.54,44.19,24.39,24.39,3,0,100,,13,59,2.8,25.60,3,1,3,3,6,6,6,33.67,21.13,243.13,0.73,1.96,1.81,92.05,7.13,41.17,0.48,,,,,,,,,,,
Travis Kelce,,0,TE,7800,KC,vs JAC,17,30.25,9.2,17.8,22.1,0,0,0,0,0,0,0,0,0,11.71,0.2736,11.71,8.35,106.63,0.83,0,0,0,0,0,0,23.99,23.99,0,10.19,42.39,23.99,23.99,2,0,100,,31,48,3.1,20.10,2.6,1,1,1,12,7,7,0.03,0.02,0.05,0.01,,0.01,1.82,0.07,0.12,0.02,8.34,5.95,74.97,0.53,,,,,,,
Amon-Ra St. Brown,,0,WR,6900,DET,@ CHI,5,22.75,11,14.6,15.2,0,0,0,0,0,0,0,0,0,13.39,0.3678,13.39,9.71,100.16,0.53,0,0,0,0,0,0,22.91,22.91,0,6.41,44.91,22.91,22.91,8,0,100,,15,26,3.3,25.10,3.6,12,2,2,20,8,8,,,,,,,,0.39,5.61,0.04,7.74,5.61,57,0.35,,,,,,,
Christian McCaffrey,,0,RB,9400,SF,vs LAC,24,26.75,11.1,18.2,21.6,0,0,0,0,0,0.4924,16.14,74.21,0.59,22.76,0.217,6.62,5.36,45.73,0.28,0,0,0,0,0,0,22.57,22.57,0,5.92,44.77,22.57,22.57,10,0,100,,44,52,2.4,17.70,1.9,1,3,3,1,9,9,0.06,0.03,1.25,,,0.03,11.79,13.4,61.61,0.49,7.48,6.06,51.82,0.3,,,,,,,
Justin Fields,,0,QB,6500,CHI,vs DET,25,25.75,10.1,12.1,19.5,1,33.2,236.09,1.26,1.16,0.2948,10.73,67.3,0.4,10.73,0,0,0,0,0,0,0,0,0,0,0,22.45,22.45,0,7.3,42.65,22.45,22.45,1,0,100,,1,34,3.5,43.38,6.7,8,4,4,24,10,10,21.76,12.81,152,0.76,3.29,0.81,75.75,7.76,48.67,0.29,,,,,,,,,,,
