,,,,,Game and Vegas,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,Proj. Fantasy Pts,,,Projected Values,,,,Position Rankings,,,,Overall Rankings,,,Actual Data,,Position Rankings,,,Overall Rankings,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Player,Inj,Likes,Pos,Salary,Team,Opp,Def v Pos,VegasPts,StdDev,2021 Avg,2022 Avg,Pct,Att,Yrds,TDs,Int,Pct,Att,Yrds,TDs,Att+Tar,Pct,Tar,Rec,Yrds,TDs,Sacks,Int,Fum,Sfty,TDs,PTs,FC,My,Diff,Floor,Ceiling,FC Proj,My Proj,FPs,Rdm %,Exp.,Used,FPs,Con.,Value,Score,Val,Salary,FC Proj,My Proj,Salary,FC Proj,My Proj,Att,Comp,Yrds,Int,Sack,TDs,Rtg,Att,Yrds,TDs,Trgts,Rec,Yrds,TDs,Sack,Ints,Fmbls,TDs,Sfty,Pts,Yrds
Josh Allen,,0,QB,8000,BUF,@ DET,30,31.75,9.8,27.6,27.6,1,45.46,341.65,2.68,0.99,0.3218,9.04,53.17,0.6,9.04,0,0,0,0,0,0,0,0,0,0,0,32.31,32.31,0,17.61,51.91,32.31,32.31,2,0,100,,6,60,4,30.92,3.9,3,1,1,8,1,1,33.81,21.23,243.78,0.74,1.97,1.79,91.84,7.1,41.76,0.47,,,,,,,,,,,
Austin Ekeler,,0,RB,8500,LAC,@ ARI,23,25.25,9.9,21.9,23.4,0,0,0,0,0,0.505,11.96,54.65,0.46,21.43,0.2172,9.47,7.55,66.72,0.62,0,0,0,0,0,0,26.17,26.17,0,11.32,45.97,26.17,26.17,3,0,100,,16,42,3.1,25.00,2.9,2,1,1,3,2,2,,,,,,,,9.06,41.4,0.35,5.63,4.49,39.88,0.36,,,,,,,
Patrick Mahomes,,0,QB,8200,KC,vs LAR,5,28.75,9.2,23.9,28.7,1,41.88,341.03,2.49,0.67,0.1671,3.99,21.05,0.17,3.99,0,0,0,0,0,0,0,0,0,0,0,26.06,26.06,0,12.26,44.46,26.06,26.06,12,0,100,,25,64,3.2,22.40,2.7,1,2,2,6,3,3,37.03,24.51,301.12,0.59,1.58,2.43,106.95,3.85,20.31,0.16,,,,,,,,,,,
Jalen Hurts,,0,QB,8100,PHI,vs GB,24,26.25,11.4,21.7,25.1,1,29.48,239.28,1.47,0.57,0.3315,12.38,65.04,0.77,12.38,0,0,0,0,0,0,0,0,0,0,0,26.01,26.01,0,8.91,48.81,26.01,26.01,1,0,100,,3,38,3.2,32.82,4.1,2,3,3,7,4,4,22.95,14.12,171.29,0.44,1.66,0.98,77.59,8.24,43.29,0.51,,,,,,,,,,,
Kyler Murray,,0,QB,6800,ARI,vs LAC,15,23.25,8.4,21.6,21.3,1,40.65,292.98,1.91,0.88,0.2976,6.84,39.49,0.42,6.84,0,0,0,0,0,0,0,0,0,0,0,24.95,24.95,0,12.35,41.75,24.95,24.95,7,0,100,,15,62,3.7,26.24,3.9,7,4,4,19,5,5,35.02,23.31,243.72,0.76,2.29,1.5,93.53,6.59,38.05,0.4,,,,,,,,,,,
Lamar Jackson,,0,QB,8000,BAL,@ JAC,23,23.25,11.1,22.3,22.9,1,35.37,262.99,1.92,0.85,0.2859,7.98,49.24,0.26,7.98,0,0,0,0,0,0,0,0,0,0,0,23.83,23.83,0,7.18,46.03,23.83,23.83,9,0,100,,18,48,3,24.06,3,3,5,5,8,6,6,24.46,15.46,179.5,0.59,2.05,1.43,91.29,10.54,65.03,0.34,,,,,,,,,,,
Christian McCaffrey,,0,RB,8800,SF,vs NO,24,25.50,11,18.2,20.8,0,0,0,0,0,0.5536,18.43,83.94,0.68,24.79,0.217,6.36,5.14,43.88,0.26,0,0,0,0,0,0,23.56,23.56,0,7.06,45.56,23.56,23.56,33,0,100,,114,52,2.7,8.90,1,1,2,2,1,7,7,0.06,0.03,1.2,,,0.03,11.28,13.29,60.53,0.49,7.43,6.01,51.36,0.29,,,,,,,
Stefon Diggs,,0,WR,8000,BUF,@ DET,29,31.75,9.9,16,24.5,0,0,0,0,0,0,0,0,0,12.64,0.2781,12.64,8.64,104.77,0.66,0,0,0,0,0,0,23.08,23.08,0,8.23,42.88,23.08,23.08,10,0,100,,27,42,2.9,21.70,2.7,4,1,1,8,8,8,0.02,0.01,0.12,,0.02,,0.97,0.27,1.42,0.01,8.54,5.84,73.66,0.49,,,,,,,
Justin Herbert,,0,QB,7000,LAC,@ ARI,20,25.25,8.5,24.1,18,1,43.6,313.5,2.22,0.83,0.1386,3.28,14.14,0.17,3.28,0,0,0,0,0,0,0,0,0,0,0,23.02,23.02,0,10.27,40.02,23.02,23.02,4,0,100,,10,63,3.3,28.76,4.1,5,6,6,17,9,9,39.57,26.32,283,0.75,1.91,2.05,98.35,3.5,15.09,0.18,,,,,,,,,,,
