,,,,,Game and Vegas,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,Proj. Fantasy Pts,,,Projected Values,,,,Position Rankings,,,,Overall Rankings,,,Actual Data,,Position Rankings,,,Overall Rankings,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Player,Inj,Likes,Pos,Salary,Team,Opp,Def v Pos,VegasPts,StdDev,2021 Avg,2022 Avg,Pct,Att,Yrds,TDs,Int,Pct,Att,Yrds,TDs,Att+Tar,Pct,Tar,Rec,Yrds,TDs,Sacks,Int,Fum,Sfty,TDs,PTs,FC,My,Diff,Floor,Ceiling,FC Proj,My Proj,FPs,Rdm %,Exp.,Used,FPs,Con.,Value,Score,Val,Salary,FC Proj,My Proj,Salary,FC Proj,My Proj,Att,Comp,Yrds,Int,Sack,TDs,Rtg,Att,Yrds,TDs,Trgts,Rec,Yrds,TDs,Sack,Ints,Fmbls,TDs,Sfty,Pts,Yrds
Josh Allen,,0,QB,8200,BUF,@ MIA,8,29.25,10.1,27.6,33.1,1,41.08,311.45,2.51,0.87,0.234,6.04,34.71,0.4,6.04,0,0,0,0,0,0,0,0,0,0,0,27.5,27.5,0,12.35,47.7,27.5,27.5,2,0,100,,5,59,3.4,30.70,3.7,1,1,1,6,1,1,33.69,21.21,242.82,0.71,1.93,1.82,92.56,7.06,40.57,0.47,,,,,,,,,,,
Davante Adams,,0,WR,8400,LV,@ TEN,26,23.25,10.6,22.7,21.2,0,0,0,0,0,0,0,0,0,14.55,0.3495,14.55,9.69,117.58,0.95,0,0,0,0,0,0,27.15,27.15,0,11.25,48.35,27.15,27.15,29,0,100,,65,45,3.2,14.20,1.7,3,1,1,5,2,2,0.01,0.01,0.29,,0.01,,1.96,0.02,,,9.47,6.31,77.39,0.72,,,,,,,
Cooper Kupp,,0,WR,9900,LAR,@ ARI,31,25.75,10.6,28.3,35.3,0,0,0,0,0,0,0,0,0,13.24,0.3797,13.24,9.6,119.61,0.89,0,0,0,0,0,0,26.9,26.9,0,11,48.1,26.9,26.9,22,0,100,,45,46,2.7,16.40,1.7,1,2,2,1,3,3,0.06,,,,,,1.96,0.22,1.33,0.01,8.87,6.43,81.33,0.62,,,,,,,
Austin Ekeler,,0,RB,8000,LAC,vs JAC,27,25.75,9.9,21.9,14.8,0,0,0,0,0,0.5977,16.78,78.31,0.6,24.35,0.218,7.57,6.11,57.8,0.49,0,0,0,0,0,0,26.26,26.26,0,11.41,46.06,26.26,26.26,19,0,100,,70,40,3.3,13.30,1.7,4,1,1,8,4,4,,,,,,,,8.89,41.49,0.32,5.2,4.2,39.29,0.35,,,,,,,
Lamar Jackson,,0,QB,8000,BAL,@ NE,5,23.75,11.4,22.3,34.9,1,36.75,268.36,2.13,0.95,0.3654,9.33,57.57,0.31,9.33,0,0,0,0,0,0,0,0,0,0,0,25.92,25.92,0,8.82,48.72,25.92,25.92,1,0,100,,1,48,3.2,43.42,5.4,2,2,2,8,5,5,24.07,15.28,178.22,0.62,2.01,1.49,91.88,10.56,65.16,0.35,,,,,,,,,,,
Jalen Hurts,,0,QB,7600,PHI,@ WAS,31,26.75,11.8,21.7,30.9,1,32.11,254.83,1.36,0.7,0.3184,11.62,60.16,0.79,11.62,0,0,0,0,0,0,0,0,0,0,0,25.69,25.69,0,7.99,49.29,25.69,25.69,3,0,100,,6,32,3.4,30.60,4,4,3,3,12,6,6,22.34,13.51,166.34,0.49,1.46,0.77,71.7,7.97,41.26,0.54,,,,,,,,,,,
Tyreek Hill,,0,WR,7600,MIA,vs BUF,1,25.25,11.7,18.4,31.5,0,0,0,0,0,0,0,0,0,12.45,0.3407,12.45,8.51,109.42,0.79,0,0,0,0,0,0,24.19,24.19,0,6.64,47.59,24.19,24.19,61,0,100,,133,36,3.2,5.30,0.7,7,3,3,12,7,7,0.01,,,0.01,,,,1,7.7,0.06,7.99,5.46,74.65,0.57,,,,,,,
Patrick Mahomes,,0,QB,7900,KC,@ IND,22,27.75,9.3,23.9,27.6,1,39.42,319.97,2.43,0.6,0.1183,2.68,13.69,0.11,2.68,0,0,0,0,0,0,0,0,0,0,0,23.95,23.95,0,10,42.55,23.95,23.95,12,0,100,,35,63,3,18.08,2.3,3,4,4,9,8,8,36.65,24.28,296.36,0.56,1.59,2.44,107.04,3.83,19.56,0.16,,,,,,,,,,,
Dalvin Cook,!,0,RB,7900,MIN,vs DET,30,28.75,9.9,16.5,10.7,0,0,0,0,0,0.6632,19.84,92.64,0.77,26.33,0.1752,6.49,5.05,38.88,0.1,0,0,0,0,0,0,23.42,23.42,0,8.57,43.22,23.42,23.42,15,0,100,,60,48,3,14.60,1.8,5,2,2,9,9,9,,,,,,,,17.55,81.95,0.68,4.05,3.15,25.14,0.06,,,,,,,
