,,,,,Game and Vegas,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,Proj. Fantasy Pts,,,Projected Values,,,,Position Rankings,,,,Overall Rankings,,,Actual Data,,Position Rankings,,,Overall Rankings,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Player,Inj,Likes,Pos,Salary,Team,Opp,Def v Pos,VegasPts,StdDev,2021 Avg,2022 Avg,Pct,Att,Yrds,TDs,Int,Pct,Att,Yrds,TDs,Att+Tar,Pct,Tar,Rec,Yrds,TDs,Sacks,Int,Fum,Sfty,TDs,PTs,FC,My,Diff,Floor,Ceiling,FC Proj,My Proj,FPs,Rdm %,Exp.,Used,FPs,Con.,Value,Score,Val,Salary,FC Proj,My Proj,Salary,FC Proj,My Proj,Att,Comp,Yrds,Int,Sack,TDs,Rtg,Att,Yrds,TDs,Trgts,Rec,Yrds,TDs,Sack,Ints,Fmbls,TDs,Sfty,Pts,Yrds
Alvin Kamara,,0,RB,7200,NO,vs BAL,17,22.25,10.9,18.1,20.3,0,0,0,0,0,0.7826,24.3,110.5,1.13,32.99,0.2635,8.69,6.73,53.75,0.3,0,0,0,0,0,0,31.74,31.74,0,15.39,53.54,31.74,31.74,21,0,100,,80,47,4.4,9.20,1.3,7,1,1,12,1,1,0.01,0.01,0.15,,,,1.59,12.52,56.93,0.58,6.52,5.05,43.72,0.26,,,,,,,
Austin Ekeler,,0,RB,8800,LAC,@ ATL,28,25.75,10.1,21.9,25.4,0,0,0,0,0,0.5952,14.03,64.65,0.53,24.99,0.2536,10.96,8.84,82.28,0.72,0,0,0,0,0,0,31.03,31.03,0,15.88,51.23,31.03,31.03,5,0,100,,15,40,3.5,25.10,2.9,1,2,2,2,2,2,,,,,,,,8.96,41.29,0.34,5.43,4.38,40.13,0.35,,,,,,,
Josh Allen,!,0,QB,8500,BUF,@ NYJ,12,27.75,10,27.6,30.1,1,42.39,318.27,2.54,0.91,0.324,8.71,49.7,0.56,8.71,0,0,0,0,0,0,0,0,0,0,0,30.31,30.31,0,15.31,50.31,30.31,30.31,4,0,100,,12,59,3.6,26.80,3.2,1,1,1,4,3,3,33.66,21.18,243.65,0.72,1.92,1.84,92.66,7.11,40.57,0.46,,,,,,,,,,,
Tyreek Hill,,0,WR,8500,MIA,@ CHI,2,25.25,11.7,18.4,24,0,0,0,0,0,0,0,0,0,14.43,0.3491,14.43,9.9,126.99,0.9,0,0,0,0,0,0,28,28,0,10.45,51.4,28,28,2,0,100,,6,37,3.3,30.30,3.6,3,1,1,4,4,4,0.01,,,0.01,,,,0.98,7.56,0.06,8.15,5.59,76.54,0.56,,,,,,,
Jalen Hurts,,0,QB,8400,PHI,@ HOU,8,29.25,11.6,21.7,26,1,32.6,266.15,1.57,0.66,0.3333,12.75,65.1,0.83,12.75,0,0,0,0,0,0,0,0,0,0,0,27.76,27.76,0,10.36,50.96,27.76,27.76,6,0,100,,21,34,3.3,21.02,2.5,2,2,2,5,5,5,22.57,13.7,169.24,0.46,1.57,0.89,74.45,7.84,40.03,0.51,,,,,,,,,,,
Davante Adams,,0,WR,8100,LV,@ JAC,30,24.75,10.6,22.7,18.3,0,0,0,0,0,0,0,0,0,14.62,0.3371,14.62,9.74,115.87,0.92,0,0,0,0,0,0,26.85,26.85,0,10.95,48.05,26.85,26.85,1,0,100,,3,45,3.3,39.60,4.9,5,2,2,6,6,6,0.01,0.01,0.29,,0.01,,1.92,0.03,-0.01,,9.43,6.28,76.91,0.71,,,,,,,
Lamar Jackson,,0,QB,7900,BAL,@ NO,6,23.25,11.3,22.3,24.3,1,37.19,276.98,1.98,0.93,0.4177,10.66,66.05,0.35,10.66,0,0,0,0,0,0,0,0,0,0,0,26.77,26.77,0,9.82,49.37,26.77,26.77,11,0,100,,33,48,3.4,17.52,2.2,3,3,3,7,7,7,24.27,15.38,178.69,0.61,2.04,1.46,91.6,10.48,64.93,0.34,,,,,,,,,,,
Patrick Mahomes,,0,QB,7800,KC,vs TEN,29,29.75,9.2,23.9,26.2,1,38.16,310.45,2.35,0.61,0.1413,3.69,18.88,0.16,3.69,0,0,0,0,0,0,0,0,0,0,0,24.06,24.06,0,10.26,42.46,24.06,24.06,2,0,100,,4,64,3.1,38.14,4.9,4,4,4,8,8,8,36.66,24.29,298.41,0.59,1.6,2.44,107.09,3.78,19.34,0.16,,,,,,,,,,,
Amon-Ra St. Brown,,0,WR,6600,DET,vs GB,3,22.75,11.2,14.6,16.2,0,0,0,0,0,0,0,0,0,13.15,0.3698,13.15,9.73,100.1,0.59,0,0,0,0,0,0,23.28,23.28,0,6.48,45.68,23.28,23.28,29,0,100,,78,25,3.5,9.50,1.4,15,3,3,17,9,9,,,,,,,,0.41,5.86,0.05,7.68,5.68,57.09,0.36,,,,,,,
