"","player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","pass_300_yds","pass_300_yds_sd","return_tds","return_tds_sd","rush_100_yds","rush_100_yds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","rec_100_yds","rec_100_yds_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","injury_status","injury_details","season_year","week"
"1","Joe Burrow","CIN","QB","14777","weighted",289.795518423806,12.7088525160336,2.29329943043124,0.310561925246746,0.802652563059398,0.154797813024998,12.0906904568174,1.98087215757932,0.113795768917819,0.0621976655423445,0.2,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Matthew Stafford","LAR","QB","9431","weighted",244.350074392654,19.5289968447321,1.68606183889341,0.238725350547109,0.576871440195281,0.322764071008178,4.11689178193653,2.09566319423951,0.0385435313262815,0.0489182101736997,0.13740032546786,0.0277525015481131,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Baker Mayfield","TB","QB","13590","weighted",262.642240497501,9.76442794521958,1.91914971521562,0.214764637415759,0.932986167615948,0.105686092091773,14.5275775892131,1.7815890162089,0.123112286411717,0.0685369583320586,0.168354353132628,0.031704016888766,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Jared Goff","DET","QB","12611","weighted",266.295133093107,8.97790237859363,1.84523189585028,0.166806508559893,0.790724165988609,0.155704978228773,5.59698302917587,2.50990532279872,0.0411635475996745,0.0531279720480395,0.134578925956062,0.0249249207469265,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Sam Darnold","MIN","QB","13592","weighted",252.808971289085,11.6973708965595,1.59091131000814,0.30372722157852,0.714438567941416,0.343876814265063,14.4686551203069,3.87927114278836,0.0908462164361269,0.0819348976801387,0.248604556550041,0.0308782068213604,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Josh Allen","BUF","QB","13589","weighted",255.121831919098,10.0322910200268,1.92482912937347,0.112872929295026,0.467689178193653,0.342371069078775,38.8276194350808,4.59516609028662,0.808327908868999,0.176502441904579,0.191617168429618,0.0477305934499353,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Brock Purdy","SF","QB","15698","weighted",243.227342206207,13.2075172423128,1.29627339300244,0.283868657091448,0.792481692432872,0.161714406522826,16.4204858770196,2.91992465290452,0.157282343368592,0.0732854951143543,0.191535801464605,0.00980071996943871,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Jordan Love","GB","QB","14782","weighted",243.203195978147,12.7295204777458,1.84070382424736,0.193801692287006,0.820581773799837,0.132302283574642,11.1786469836104,1.79961252678046,0.117205044751831,0.0654619502802473,0.111397477624085,0.0556946820446163,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","C.J. Stroud","HOU","QB","16150","weighted",234.971007206788,17.203989690712,1.15455655004068,0.122846095195914,0.552953620829943,0.299884219769214,14.0904701848192,2.42792641188839,0.0650895036615134,0.0630561420196609,0.248492676973149,0.0428384179788399,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Geno Smith","SEA","QB","11150","weighted",234.413491805184,17.087148604959,1.07878763222132,0.117768728367166,0.940089503661513,0.150346420087102,13.5007979774497,1.26439858049104,0.0791700569568755,0.0563102102480197,0.128936126932465,0.0196821851677746,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
