"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Saquon Barkley","RB","PHI",20.4,1.12,1.08,18.5,21.7,14.6,14.3,15,1,1,2,1,"1",NA,NA,53
"2","Alvin Kamara","RB","NO",19.4,1.47,3.54,18,21.9,13.5,13.8,15.2,2,2,1,2,"2",NA,NA,83
"3","Chase Brown","RB","CIN",15.8,1.86,0.0512,13.8,18.9,9.95,9.58,12.1,3,3,3,3,"2",NA,NA,97
"4","Devon Achane","RB","MIA",15.8,1.76,0.0715,12.8,17.9,9.9,8.59,11.1,4,9,4,4,"2",NA,NA,91
"5","Bijan Robinson","RB","ATL",15.7,1.45,0.536,13.6,17.7,9.83,9.41,10.9,5,4,5,5,"3",NA,NA,79
"6","Josh Jacobs","RB","GB",15.2,1.47,0.216,13.5,17.1,9.29,9.24,10.3,6,6,6,6,"3",NA,NA,81
"7","Jahmyr Gibbs","RB","DET",14.9,1.11,0.67,13.6,16.4,9.08,9.35,9.62,7,5,9,7,"4",NA,NA,51
"8","Ja'Marr Chase","WR","CIN",17,1.59,0.966,15.3,19.1,8.64,8.36,9.42,8,11,11,1,"1",NA,NA,89
"9","James Conner","RB","ARI",14.3,1.51,0.00124,12.6,16.6,8.41,8.42,9.89,9,10,7,8,"4",NA,NA,84
"10","Kyren Williams","RB","LAR",14.3,1.15,0.0667,13.4,16.2,8.41,9.14,9.43,10,7,10,9,"4",NA,NA,54
"11","Bucky Irving","RB","TB",14.2,0.987,0.203,13,15.8,8.34,8.79,9.03,11,8,12,10,"4",NA,NA,43
"12","James Cook","RB","BUF",14,1.42,0.638,12.5,16.4,8.14,8.23,9.64,12,12,8,11,"5",NA,NA,74
"13","Justin Jefferson","WR","MIN",16,1.35,1.67,14.6,17.6,7.67,7.65,7.89,13,14,17,2,"2",NA,NA,77
"14","David Montgomery","RB","DET",13.4,0.951,0.0125,12.4,15,7.5,8.16,8.23,14,13,15,12,"5",NA,NA,36
"15","Zach Charbonnet","RB","SEA",13.3,1.78,0.14,11.1,15.6,7.49,6.87,8.89,15,16,13,13,"5",NA,NA,94
"16","Tony Pollard","RB","TEN",13.2,0.974,0.395,11.4,14,7.35,7.18,7.24,16,15,20,14,"5",NA,NA,40
"17","D'Andre Swift","RB","CHI",12.8,1.57,0.308,11,15.5,6.95,6.75,8.74,17,18,14,15,"6",NA,NA,86
"18","Isaac Guerendo","RB","SF",12.5,1.67,0.145,9.56,14.3,6.64,5.34,7.5,18,26,18,16,"6",NA,NA,90
"19","Aaron Jones","RB","MIN",12.4,1.08,0.157,11,13.5,6.5,6.8,6.74,19,17,23,17,"6",NA,NA,50
"20","Josh Allen","QB","BUF",22.7,1.96,0.629,20.4,25.9,6.46,6.1,8.11,20,20,16,1,"1",NA,NA,91
"21","Najee Harris","RB","PIT",12.2,1.45,0.832,9.99,13.9,6.34,5.77,7.16,21,21,21,18,"7",NA,NA,80
"22","Tee Higgins","WR","CIN",14.3,2.09,0.0481,11.9,17,6,5.01,7.31,22,29,19,3,"2",NA,NA,97
"23","Amon-Ra St. Brown","WR","DET",14.3,1.94,0.634,11.5,16.8,5.95,4.59,7.06,23,32,22,4,"2",NA,NA,94
"24","Brock Bowers","TE","LVR",12.6,0.907,1.81,11.1,13.5,5.95,5.67,5.67,24,22,30,1,"1",NA,NA,62
"25","Jalen Hurts","QB","PHI",22.1,1.05,1.28,20.7,23.3,5.83,6.39,5.58,25,19,31,2,"2",NA,NA,36
"26","Tyrone Tracy","RB","NYG",11.4,1.2,0.0232,9.87,12.7,5.51,5.65,5.95,26,23,27,19,"7",NA,NA,61
"27","Rico Dowdle","RB","DAL",11.3,1.34,0.661,9.44,13.3,5.48,5.22,6.56,27,28,25,20,"7",NA,NA,69
"28","Puka Nacua","WR","LAR",13.7,1.02,0.0639,12.2,14.9,5.32,5.31,5.17,28,27,32,5,"2",NA,NA,57
"29","Mike Evans","WR","TB",13.6,1.5,0.136,11.8,15.5,5.25,4.93,5.84,29,30,28,6,"3",NA,NA,84
"30","A.J. Brown","WR","PHI",13.5,2.28,0.293,10.1,16.4,5.12,3.14,6.65,30,46,24,7,"3",NA,NA,99
"31","Braelon Allen","RB","NYJ",10.7,1.33,0.395,8.54,12.4,4.82,4.31,5.69,31,33,29,21,"8",NA,NA,67
"32","CeeDee Lamb","WR","DAL",13.2,1.63,1.03,10.9,15.7,4.82,4,5.98,32,35,26,8,"4",NA,NA,91
"33","Joe Burrow","QB","CIN",20.8,1.09,2.34,19.8,22.7,4.55,5.52,4.96,33,24,33,3,"3",NA,NA,45
"34","Chuba Hubbard","RB","CAR",10.3,0.858,0.232,8.86,11.3,4.43,4.64,4.58,34,31,35,22,"8",NA,NA,30
"35","Isiah Pacheco","RB","KC",10.1,0.795,0.476,9.63,11.4,4.2,5.4,4.67,35,25,34,23,"9",NA,NA,27
"36","Trey McBride","TE","ARI",10.8,0.898,0.196,9.19,11.6,4.14,3.74,3.81,36,38,40,2,"1",NA,NA,59
"37","George Kittle","TE","SF",10.6,0.884,0.0488,9.03,11.4,3.95,3.58,3.55,37,40,42,3,"1",NA,NA,56
"38","Travis Kelce","TE","KC",10.6,1.38,0.927,8.76,11.8,3.9,3.31,3.92,38,43,38,4,"2",NA,NA,97
"39","George Pickens","WR","PIT",12.1,0.727,0.105,10.8,12.9,3.8,3.92,3.15,39,36,48,9,"4",NA,NA,19
