"","player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","pass_300_yds","pass_300_yds_sd","return_tds","return_tds_sd","rush_100_yds","rush_100_yds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","rec_100_yds","rec_100_yds_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","fg_0019","fg_0019_sd","fg_2029","fg_2029_sd","fg_3039","fg_3039_sd","fg_4049","fg_4049_sd","fg_50","fg_50_sd","xp","xp_sd","injury_status","injury_details","season_year","week"
"240","Mecole Hardman","KC","WR","14113","weighted",NA,NA,NA,NA,NA,NA,1.27226551226551,1.18121132134483,0.0191839025172358,0.0400044368538882,0.0566618566618567,0.0742722306895003,NA,NA,NA,NA,NA,NA,0,0,1.07050505050505,0.765484440479069,11.6819961519962,8.58312928653288,0.0891486291486291,0.113164526714203,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","Kendrick Bourne","NE","WR","13418","weighted",NA,NA,NA,NA,NA,NA,0.593244194229416,0.752703956169594,0,0,0.0286769880365939,0.0465950753033674,NA,NA,NA,NA,NA,NA,0,0,1.42824771287825,1.07500693014566,16.3036734693878,11.5932144895823,0.0804926108374384,0.088668150662961,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Knee - ACL",2024,5
"242","Malachi Corley","NYJ","WR","16636","weighted",NA,NA,NA,NA,NA,NA,0.217208774583964,0.253953357651619,0,0,0.0424357034795764,0.0424068650428467,NA,NA,NA,NA,NA,NA,0,0,0.869372163388805,1.05510850722444,9.39660363086233,12.1390148203504,0.038411497730711,0.0454537779928515,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","K.J. Osborn","NE","WR","14977","weighted",NA,NA,NA,NA,NA,NA,0.120288852725793,0.0897875288825281,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,1.95617168429618,0.182695956948868,22.1292322445658,3.54241351281277,0.0839340927583401,0.0578477621040029,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Shoulder",2024,5
"244","Mack Hollins","BUF","WR","13289","weighted",NA,NA,NA,NA,NA,NA,0.251640211640212,0.427864132387193,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,1.44342953342953,0.459882308596595,19.3695574795575,5.64070198687625,0.1100481000481,0.0652439965520343,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245","Van Jefferson","PIT","WR","14858","weighted",NA,NA,NA,NA,NA,NA,0.196484947111473,0.22363050862444,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,1.63104556550041,0.384674990281439,20.4133999767523,3.63126227990424,0.0825101708706265,0.0576928425549922,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246","KaVontae Turpin","DAL","WR","15981","weighted",NA,NA,NA,NA,NA,NA,3.99578112286412,1.20621946775313,0.00174177799942256,0.00365959028729636,0.0278173311635476,0.0336919186211286,NA,NA,NA,NA,0.06,0,0,0,1.2920016273393,0.52691352511163,16.2397204463559,5.94978760867448,0.122436940602116,0.0910188983335367,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","Troy Franklin","DEN","WR","16619","weighted",NA,NA,NA,NA,NA,NA,0.0204795389048991,0.0384388167704117,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,1.40503746397695,0.474100922831394,14.980023054755,8.11927824050251,0.0564610951008646,0.0526174436544509,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","Jalen Brooks","DAL","WR","16364","weighted",NA,NA,NA,NA,NA,NA,0.0906878306878307,0.111118837164355,0,0,0.0275132275132275,0.0365467395697309,NA,NA,NA,NA,NA,NA,0,0,1.45939874939875,0.285042447609558,17.6296729196729,5.03143801287009,0.0778787878787879,0.0387905938721777,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","DJ Turner","LVR","WR","15995","weighted",NA,NA,NA,NA,NA,NA,1.36073968705548,1.2051731525781,0.0232574679943101,0.0489123274329297,0,0,NA,NA,NA,NA,NA,NA,0,0,1.7152347083926,0.213540641025741,19.6791038406828,3.17613765258824,0.0510526315789474,0.0554370102095996,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","Sterling Shepard","TB","WR","12658","weighted",NA,NA,NA,NA,NA,NA,0.282352941176471,0.401070134430734,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,1.8161512605042,0.360002937348726,19.3583383753501,3.12710128832307,0.067703081232493,0.0622810467273224,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","Olamide Zaccheaus","WAS","WR","14592","weighted",NA,NA,NA,NA,NA,NA,0.098243227665706,0.115217694880043,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,1.29545821325648,0.516543095050132,16.1615850144092,5.63296747817484,0.062028818443804,0.060720674327941,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","Bo Melton","GB","WR","15785","weighted",NA,NA,NA,NA,NA,NA,0.582147937411095,0.933346528348169,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,1.19482219061166,0.211372463964125,16.1640256045519,3.13187285578369,0.0811806543385491,0.0527691723454242,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","Trenton Irwin","CIN","WR","14551","weighted",NA,NA,NA,NA,NA,NA,0.105438729198185,0.142903932558331,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.951868381240545,0.878959688197578,11.6704236006051,10.7287901765505,0.086679273827534,0.0865500957438263,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","Roman Wilson","PIT","WR","16629","weighted",NA,NA,NA,NA,NA,NA,0.329943977591036,0.296797826544451,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.746736694677871,0.452416829530737,9.49826330532213,7.69751927885986,0.0379131652661064,0.0491137754394461,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","Jalen Coker","CAR","WR","16809","weighted",NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.828507877664504,0.758284596642968,11.0478035217794,8.64472600642519,0.0724930491195552,0.0592902031379498,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","Tyquan Thornton","NE","WR","15787","weighted",NA,NA,NA,NA,NA,NA,0.705936347603014,0.529019258089353,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0.822164502164502,0.619612027023124,10.7400384800385,5.5844510391948,0.0733670033670034,0.0475549098009926,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","Christian Watson","GB","WR","15789","weighted",NA,NA,NA,NA,NA,NA,0.744117132867133,0.777345209185404,0.0280418046865415,0.0471159248989357,0.00287587412587413,0.00465418323181806,NA,NA,NA,NA,NA,NA,0,0,0.680428321678322,0.382158420296858,10.3640996503497,6.15847286953119,0.0739696903013642,0.0873071440975475,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D","Ankle",2024,5
