rank,id,player,team,pos,game.week,opp,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,def_sck,def_int,fum_forced,fum_recovered,fpts_draftkings
1,19801,Josh Allen,BUF,QB,1,ARI,259.7,1.8,0.9,35.5,0.6,0.0,0.0,0.0,,,0.0,0.0,23.4
2,21831,Jalen Hurts,PHI,QB,1,GB,238.9,1.5,0.7,38.6,0.7,0.0,0.0,0.0,,,0.0,0.0,22.5
3,18082,Tyreek Hill,MIA,WR,1,JAX,0.0,0.0,0.0,1.9,0.0,7.1,99.8,0.7,,,0.0,0.0,21.5
4,18877,Christian McCaffrey,SF,RB,1,NYJ,0.0,0.0,0.0,79.9,0.7,4.2,33.1,0.3,,,0.0,0.0,21.4
5,19781,Lamar Jackson,BAL,QB,1,KC,220.9,1.4,0.6,50.8,0.3,0.0,0.0,0.0,,,0.0,0.0,20.4
6,18890,Patrick Mahomes,KC,QB,1,BAL,265.3,1.9,0.7,22.9,0.1,0.0,0.0,0.0,,,0.0,0.0,20.2
7,24117,Anthony Richardson,IND,QB,1,HOU,222.5,1.2,0.7,41.1,0.5,0.0,0.0,0.0,,,0.0,0.0,19.8
8,22587,Amon-Ra St. Brown,DET,WR,1,LAR,0.0,0.0,0.0,1.8,0.0,7.2,87.6,0.6,,,0.0,0.0,19.7
9,23239,C.J. Stroud,HOU,QB,1,IND,278.8,1.9,0.6,11.4,0.1,0.0,0.0,0.0,,,0.0,0.0,19.7
10,21679,CeeDee Lamb,DAL,WR,1,CLE,0.0,0.0,0.0,3.8,0.1,6.8,85.3,0.5,,,0.0,0.0,19.2
11,20889,Kyler Murray,ARI,QB,1,BUF,225.7,1.3,0.7,34.7,0.3,0.0,0.0,0.0,,,0.0,0.0,18.6
12,22490,Trevor Lawrence,JAX,QB,1,MIA,254.9,1.6,0.8,18.7,0.2,0.0,0.0,0.0,,,0.0,0.0,18.6
13,23235,Jayden Daniels,WAS,QB,1,TB,224.7,1.2,0.8,38.9,0.3,0.0,0.0,0.0,,,0.0,0.0,18.4
14,17922,Jared Goff,DET,QB,1,LAR,267.5,1.9,0.7,3.5,0.1,0.0,0.0,0.0,,,0.0,0.0,18.4
15,21685,Justin Jefferson,MIN,WR,1,NYG,0.0,0.0,0.0,0.5,0.0,6.5,88.0,0.5,,,0.0,0.0,18.2
16,21841,Jordan Love,GB,QB,1,PHI,255.2,1.8,0.7,12.2,0.1,0.0,0.0,0.0,,,0.0,0.0,18.2
17,24927,Caleb Williams,CHI,QB,1,TEN,238.5,1.6,0.7,20.6,0.2,0.0,0.0,0.0,,,0.0,0.0,18.2
18,21693,Joe Burrow,CIN,QB,1,NE,249.2,1.8,0.7,13.3,0.1,0.0,0.0,0.0,,,0.0,0.0,18.2
19,23189,Bijan Robinson,ATL,RB,1,PIT,0.0,0.0,0.0,71.0,0.5,3.7,29.9,0.2,,,0.0,0.0,17.9
20,21677,Tua Tagovailoa,MIA,QB,1,JAX,273.8,1.8,0.8,5.1,0.0,0.0,0.0,0.0,,,0.0,0.0,17.8
21,9038,Matthew Stafford,LAR,QB,1,DET,269.0,1.7,0.8,4.0,0.1,0.0,0.0,0.0,,,0.0,0.0,17.7
22,22526,Breece Hall,NYJ,RB,1,SF,0.0,0.0,0.0,70.3,0.5,3.6,28.8,0.2,,,0.0,0.0,17.6
23,19790,Baker Mayfield,TB,QB,1,WAS,241.3,1.7,0.7,10.6,0.1,0.0,0.0,0.0,,,0.0,0.0,17.2
24,21042,A.J. Brown,PHI,WR,1,GB,0.0,0.0,0.0,0.1,0.0,5.9,82.9,0.5,,,0.0,0.0,17.1
25,14895,Geno Smith,SEA,QB,1,DEN,242.7,1.6,0.8,12.7,0.1,0.0,0.0,0.0,,,0.0,0.0,17.0
26,21681,Justin Herbert,LAC,QB,1,LV,232.3,1.4,0.6,16.7,0.2,0.0,0.0,0.0,,,0.0,0.0,17.0
27,18055,Dak Prescott,DAL,QB,1,CLE,245.8,1.5,0.8,12.5,0.1,0.0,0.0,0.0,,,0.0,0.0,16.7
28,18857,Deshaun Watson,CLE,QB,1,DAL,220.5,1.3,0.8,24.0,0.2,0.0,0.0,0.0,,,0.0,0.0,16.6
29,14252,Kirk Cousins,ATL,QB,1,PIT,245.4,1.6,0.7,5.6,0.1,0.0,0.0,0.0,,,0.0,0.0,16.5
30,23241,Brock Purdy,SF,QB,1,NYJ,237.2,1.6,0.7,8.6,0.1,0.0,0.0,0.0,,,0.0,0.0,16.4
31,24172,Puka Nacua,LAR,WR,1,DET,0.0,0.0,0.0,2.3,0.0,5.7,79.8,0.4,,,0.0,0.0,16.3
32,20841,Daniel Jones,NYG,QB,1,MIN,213.9,1.2,0.8,26.3,0.2,0.0,0.0,0.0,,,0.0,0.0,16.2
33,23122,Garrett Wilson,NYJ,WR,1,SF,0.0,0.0,0.0,1.2,0.0,5.7,71.2,0.5,,,0.0,0.0,15.8
34,18882,Cooper Kupp,LAR,WR,1,DET,0.0,0.0,0.0,1.1,0.0,5.7,69.8,0.5,,,0.0,0.0,15.8
35,18878,Alvin Kamara,NO,RB,1,CAR,0.0,0.0,0.0,57.2,0.4,4.2,28.4,0.1,,,0.0,0.0,15.7
36,23200,Jahmyr Gibbs,DET,RB,1,LAR,0.0,0.0,0.0,61.1,0.5,3.5,24.8,0.1,,,0.0,0.0,15.6
37,2593,Aaron Rodgers,NYJ,QB,1,SF,231.5,1.4,0.5,7.2,0.1,0.0,0.0,0.0,,,0.0,0.0,15.6
38,19812,Sam Darnold,MIN,QB,1,NYG,228.6,1.3,0.9,11.5,0.2,0.0,0.0,0.0,,,0.0,0.0,15.5
39,22564,Ja'Marr Chase,CIN,WR,1,NE,0.0,0.0,0.0,0.9,0.0,5.4,69.6,0.5,,,0.0,0.0,15.4
40,21682,Jonathan Taylor,IND,RB,1,HOU,0.0,0.0,0.0,75.9,0.6,2.1,16.5,0.1,,,0.0,0.0,15.4
41,19766,Saquon Barkley,PHI,RB,1,GB,0.0,0.0,0.0,71.8,0.5,2.7,19.3,0.1,,,0.0,0.0,15.3
42,15048,Travis Kelce,KC,TE,1,BAL,0.0,0.0,0.0,0.3,0.0,5.9,63.8,0.5,,,0.0,0.0,15.3
43,20824,Josh Jacobs,GB,RB,1,PHI,0.0,0.0,0.0,71.0,0.5,2.7,19.6,0.1,,,0.0,0.0,15.3
44,21696,Travis Etienne Jr.,JAX,RB,1,MIA,0.0,0.0,0.0,64.1,0.5,2.9,22.7,0.1,,,0.0,0.0,15.1
45,22598,Jaylen Waddle,MIA,WR,1,JAX,0.0,0.0,0.0,1.2,0.0,5.3,72.3,0.4,,,0.0,0.0,15.1
46,23270,Will Levis,TEN,QB,1,CHI,224.6,1.3,0.8,11.9,0.1,0.0,0.0,0.0,,,0.0,0.0,15.0
47,24120,Rashee Rice,KC,WR,1,BAL,0.0,0.0,0.0,0.4,0.0,5.6,63.2,0.5,,,0.0,0.0,15.0
48,16597,Mike Evans,TB,WR,1,WAS,0.0,0.0,0.0,0.1,0.0,4.5,68.2,0.6,,,0.0,0.0,14.9
49,23212,Kyren Williams,LAR,RB,1,DET,0.0,0.0,0.0,67.0,0.6,2.4,17.2,0.1,,,0.0,0.0,14.9
50,16470,Davante Adams,LV,WR,1,LAC,0.0,0.0,0.0,0.1,0.0,5.6,68.7,0.4,,,0.0,0.0,14.9
51,23151,Drake London,ATL,WR,1,PIT,0.0,0.0,0.0,0.2,0.0,5.5,69.3,0.4,,,0.0,0.0,14.8
52,22565,Chris Olave,NO,WR,1,CAR,0.0,0.0,0.0,0.1,0.0,5.4,70.2,0.4,,,0.0,0.0,14.8
53,16311,Derek Carr,NO,QB,1,CAR,230.4,1.5,0.7,4.0,0.0,0.0,0.0,0.0,,,0.0,0.0,14.8
54,25069,Bo Nix,DEN,QB,1,SEA,202.7,1.1,0.8,19.3,0.2,0.0,0.0,0.0,,,0.0,0.0,14.6
55,21756,Nico Collins,HOU,WR,1,IND,0.0,0.0,0.0,0.6,0.0,4.9,72.5,0.4,,,0.0,0.0,14.6
56,20932,Deebo Samuel Sr.,SF,WR,1,NYJ,0.0,0.0,0.0,13.8,0.2,4.1,54.4,0.4,,,0.0,0.0,14.5
57,23141,Sam LaPorta,DET,TE,1,LAR,0.0,0.0,0.0,0.0,0.0,5.6,58.7,0.5,,,0.0,0.0,14.5
58,24179,De'Von Achane,MIA,RB,1,JAX,0.0,0.0,0.0,58.9,0.4,2.8,22.0,0.2,,,0.0,0.0,14.4
59,23217,Rachaad White,TB,RB,1,WAS,0.0,0.0,0.0,58.1,0.4,3.2,24.7,0.1,,,0.0,0.0,14.4
60,18858,Joe Mixon,HOU,RB,1,IND,0.0,0.0,0.0,62.8,0.5,2.6,19.3,0.1,,,0.0,0.0,14.3
61,17959,Derrick Henry,BAL,RB,1,KC,0.0,0.0,0.0,72.8,0.7,1.3,10.1,0.1,,,0.0,0.0,14.3
