rank,id,player,team,pos,game.week,opp,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,def_sck,def_int,fum_forced,fum_recovered,fpts_draftkings
1,19781,Lamar Jackson,BAL,QB,6,WAS,233.5,1.6,0.7,58.1,0.4,0.0,0.0,0.0,,,0.0,0.0,22.9
2,21831,Jalen Hurts,PHI,QB,6,CLE,233.1,1.5,0.8,35.0,0.5,0.0,0.0,0.0,,,0.0,0.0,20.7
3,23235,Jayden Daniels,WAS,QB,6,BAL,213.0,1.1,0.7,48.9,0.5,0.0,0.0,0.0,,,0.0,0.0,19.9
4,19801,Josh Allen,BUF,QB,6,NYJ,219.7,1.5,0.8,31.6,0.5,0.0,0.0,0.0,,,0.0,0.0,19.9
5,21693,Joe Burrow,CIN,QB,6,NYG,261.3,2.0,0.7,10.7,0.1,0.0,0.0,0.0,,,0.0,0.0,19.2
6,21841,Jordan Love,GB,QB,6,ARI,248.7,1.9,0.8,11.8,0.2,0.0,0.0,0.0,,,0.0,0.0,18.9
7,18055,Dak Prescott,DAL,QB,6,DET,270.5,1.8,0.8,11.0,0.1,0.0,0.0,0.0,,,0.0,0.0,18.7
8,14895,Geno Smith,SEA,QB,6,SF,257.4,1.6,0.8,17.2,0.2,0.0,0.0,0.0,,,0.0,0.0,18.6
9,20889,Kyler Murray,ARI,QB,6,GB,212.9,1.3,0.7,39.8,0.3,0.0,0.0,0.0,,,0.0,0.0,18.6
10,19766,Saquon Barkley,PHI,RB,6,CLE,0.0,0.0,0.0,90.0,0.7,2.8,20.3,0.1,,,0.0,0.0,18.5
11,23241,Brock Purdy,SF,QB,6,SEA,256.4,1.8,0.7,13.4,0.1,0.0,0.0,0.0,,,0.0,0.0,18.5
12,21679,CeeDee Lamb,DAL,WR,6,DET,0.0,0.0,0.0,5.9,0.1,6.1,82.4,0.5,,,0.0,0.0,18.4
13,23239,C.J. Stroud,HOU,QB,6,NE,252.8,1.8,0.7,12.0,0.1,0.0,0.0,0.0,,,0.0,0.0,18.2
14,18878,Alvin Kamara,NO,RB,6,TB,0.0,0.0,0.0,71.6,0.6,3.9,30.4,0.1,,,0.0,0.0,18.2
15,22587,Amon-Ra St. Brown,DET,WR,6,DAL,0.0,0.0,0.0,1.3,0.0,6.9,79.1,0.5,,,0.0,0.0,17.8
16,22564,Ja'Marr Chase,CIN,WR,6,NYG,0.0,0.0,0.0,0.7,0.0,5.9,82.5,0.6,,,0.0,0.0,17.7
17,17959,Derrick Henry,BAL,RB,6,WAS,0.0,0.0,0.0,92.9,0.9,1.3,10.4,0.1,,,0.0,0.0,17.5
18,22492,Justin Fields,PIT,QB,6,LV,182.2,1.1,0.7,45.2,0.4,0.0,0.0,0.0,,,0.0,0.0,17.5
19,17922,Jared Goff,DET,QB,6,DAL,256.6,1.7,0.7,3.4,0.1,0.0,0.0,0.0,,,0.0,0.0,17.1
20,24927,Caleb Williams,CHI,QB,6,JAX,232.5,1.4,0.8,19.7,0.2,0.0,0.0,0.0,,,0.0,0.0,17.1
21,14252,Kirk Cousins,ATL,QB,6,CAR,252.3,1.7,0.7,3.8,0.1,0.0,0.0,0.0,,,0.0,0.0,17.1
22,23151,Drake London,ATL,WR,6,CAR,0.0,0.0,0.0,0.3,0.0,6.0,72.4,0.6,,,0.0,0.0,16.8
23,20841,Daniel Jones,NYG,QB,6,CIN,222.2,1.3,0.8,24.0,0.2,0.0,0.0,0.0,,,0.0,0.0,16.7
24,19790,Baker Mayfield,TB,QB,6,NO,232.9,1.6,0.7,11.9,0.1,0.0,0.0,0.0,,,0.0,0.0,16.6
25,23364,Jordan Mason,SF,RB,6,SEA,0.0,0.0,0.0,92.2,0.7,1.5,11.8,0.1,,,0.0,0.0,16.6
26,21042,A.J. Brown,PHI,WR,6,CLE,0.0,0.0,0.0,0.2,0.0,5.5,79.8,0.5,,,0.0,0.0,16.4
27,23189,Bijan Robinson,ATL,RB,6,CAR,0.0,0.0,0.0,65.2,0.5,3.5,28.2,0.1,,,0.0,0.0,16.3
28,21691,Chuba Hubbard,CAR,RB,6,ATL,0.0,0.0,0.0,77.2,0.5,3.0,20.8,0.1,,,0.0,0.0,16.3
29,23200,Jahmyr Gibbs,DET,RB,6,DAL,0.0,0.0,0.0,62.4,0.5,3.4,24.8,0.2,,,0.0,0.0,16.2
30,23214,Kenneth Walker III,SEA,RB,6,SF,0.0,0.0,0.0,67.1,0.6,3.0,22.3,0.1,,,0.0,0.0,16.0
31,16906,Stefon Diggs,HOU,WR,6,NE,0.0,0.0,0.0,1.4,0.0,5.8,69.9,0.5,,,0.0,0.0,15.8
32,20912,Tony Pollard,TEN,RB,6,IND,0.0,0.0,0.0,71.8,0.5,2.8,20.8,0.1,,,0.0,0.0,15.6
33,18880,Chris Godwin,TB,WR,6,NO,0.0,0.0,0.0,1.2,0.0,5.6,69.3,0.5,,,0.0,0.0,15.6
34,22526,Breece Hall,NYJ,RB,6,BUF,0.0,0.0,0.0,61.1,0.4,3.6,27.0,0.1,,,0.0,0.0,15.3
35,21681,Justin Herbert,LAC,QB,6,DEN,202.8,1.4,0.6,11.7,0.2,0.0,0.0,0.0,,,0.0,0.0,15.3
36,23233,Jayden Reed,GB,WR,6,ARI,0.0,0.0,0.0,11.4,0.1,4.7,64.4,0.4,,,0.0,0.0,15.2
37,22490,Trevor Lawrence,JAX,QB,6,CHI,220.8,1.3,0.8,14.8,0.1,0.0,0.0,0.0,,,0.0,0.0,15.1
38,23270,Will Levis,TEN,QB,6,IND,222.0,1.4,1.1,12.9,0.1,0.0,0.0,0.0,,,0.0,0.0,15.0
39,2593,Aaron Rodgers,NYJ,QB,6,BUF,221.5,1.4,0.7,4.9,0.1,0.0,0.0,0.0,,,0.0,0.0,14.8
40,18857,Deshaun Watson,CLE,QB,6,PHI,184.8,1.2,0.8,23.5,0.2,0.0,0.0,0.0,,,0.0,0.0,14.7
41,20875,DK Metcalf,SEA,WR,6,SF,0.0,0.0,0.0,0.1,0.0,4.8,69.8,0.5,,,0.0,0.0,14.7
42,23122,Garrett Wilson,NYJ,WR,6,BUF,0.0,0.0,0.0,1.6,0.0,5.9,63.1,0.4,,,0.0,0.0,14.7
43,21690,Tee Higgins,CIN,WR,6,NYG,0.0,0.0,0.0,0.1,0.0,5.2,65.5,0.5,,,0.0,0.0,14.7
44,20932,Deebo Samuel Sr.,SF,WR,6,SEA,0.0,0.0,0.0,12.9,0.2,4.2,56.0,0.4,,,0.0,0.0,14.6
45,19844,DJ Moore,CHI,WR,6,JAX,0.0,0.0,0.0,1.0,0.0,5.0,64.5,0.5,,,0.0,0.0,14.4
46,20824,Josh Jacobs,GB,RB,6,ARI,0.0,0.0,0.0,70.1,0.5,2.2,16.1,0.1,,,0.0,0.0,14.3
47,18983,James Conner,ARI,RB,6,GB,0.0,0.0,0.0,72.1,0.6,1.7,12.8,0.1,,,0.0,0.0,14.3
48,21687,DeVonta Smith,PHI,WR,6,CLE,0.0,0.0,0.0,0.2,0.0,5.4,65.2,0.4,,,0.0,0.0,14.2
49,20882,David Montgomery,DET,RB,6,DAL,0.0,0.0,0.0,64.0,0.7,1.7,14.3,0.1,,,0.0,0.0,14.2
50,24967,Bucky Irving,TB,RB,6,NO,0.0,0.0,0.0,64.1,0.4,2.8,20.9,0.1,,,0.0,0.0,14.2
51,25069,Bo Nix,DEN,QB,6,LAC,192.3,1.0,0.8,20.7,0.2,0.0,0.0,0.0,,,0.0,0.0,14.0
52,21747,Brandon Aiyuk,SF,WR,6,SEA,0.0,0.0,0.0,0.1,0.0,4.7,69.1,0.4,,,0.0,0.0,13.9
53,20873,Terry McLaurin,WAS,WR,6,BAL,0.0,0.0,0.0,0.3,0.0,5.0,65.8,0.4,,,0.0,0.0,13.9
54,16597,Mike Evans,TB,WR,6,NO,0.0,0.0,0.0,0.1,0.0,4.3,60.6,0.6,,,0.0,0.0,13.9
55,21077,Diontae Johnson,CAR,WR,6,ATL,0.0,0.0,0.0,0.9,0.0,5.1,63.5,0.4,,,0.0,0.0,13.8
56,18858,Joe Mixon,HOU,RB,6,NE,0.0,0.0,0.0,60.4,0.5,2.5,17.6,0.1,,,0.0,0.0,13.8
57,12841,Andy Dalton,CAR,QB,6,ATL,212.7,1.2,0.8,7.7,0.1,0.0,0.0,0.0,,,0.0,0.0,13.8
58,23120,Zay Flowers,BAL,WR,6,WAS,0.0,0.0,0.0,4.1,0.0,5.0,59.4,0.4,,,0.0,0.0,13.7
59,21684,D'Andre Swift,CHI,RB,6,JAX,0.0,0.0,0.0,61.6,0.3,2.8,22.7,0.1,,,0.0,0.0,13.5
60,23170,Wan'Dale Robinson,NYG,WR,6,CIN,0.0,0.0,0.0,4.2,0.0,5.8,49.8,0.4,,,0.0,0.0,13.5
61,24974,Marvin Harrison Jr.,ARI,WR,6,GB,0.0,0.0,0.0,0.4,0.0,4.1,63.6,0.5,,,0.0,0.0,13.4
62,21674,J.K. Dobbins,LAC,RB,6,DEN,0.0,0.0,0.0,68.3,0.4,2.2,14.4,0.1,,,0.0,0.0,13.3
63,23247,James Cook,BUF,RB,6,NYJ,0.0,0.0,0.0,61.2,0.4,2.2,19.1,0.1,,,0.0,0.0,13.1
64,24176,Tank Dell,HOU,WR,6,NE,0.0,0.0,0.0,6.5,0.1,4.2,53.7,0.4,,,0.0,0.0,13.1
65,24933,Brian Thomas Jr.,JAX,WR,6,CHI,0.0,0.0,0.0,0.8,0.0,4.4,63.3,0.4,,,0.0,0.0,13.1
66,21861,Antonio Gibson,NE,RB,6,HOU,0.0,0.0,0.0,59.4,0.3,2.6,20.2,0.1,,,0.0,0.0,12.9
67,23153,George Pickens,PIT,WR,6,LV,0.0,0.0,0.0,0.5,0.0,4.2,62.5,0.4,,,0.0,0.0,12.8
68,24943,Brock Bowers,LV,TE,6,PIT,0.0,0.0,0.0,0.2,0.0,5.3,57.8,0.3,,,0.0,0.0,12.8
