rank,id,player,team,pos,game.week,opp,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,def_sck,def_int,fum_forced,fum_recovered,fpts_draftkings
1,18877,Christian McCaffrey,SF,RB,11,SEA,0.0,0.0,0.0,86.0,0.7,4.4,34.5,0.3,,,0.0,0.0,22.4
2,21831,Jalen Hurts,PHI,QB,11,WAS,228.2,1.4,0.7,42.8,0.7,0.0,0.0,0.0,,,0.0,0.0,22.1
3,19781,Lamar Jackson,BAL,QB,11,PIT,237.3,1.6,0.7,45.9,0.3,0.0,0.0,0.0,,,0.0,0.0,21.3
4,18878,Alvin Kamara,NO,RB,11,CLE,0.0,0.0,0.0,72.1,0.5,5.4,44.3,0.2,,,0.0,0.0,21.0
5,19801,Josh Allen,BUF,QB,11,KC,239.2,1.6,0.8,29.5,0.4,0.0,0.0,0.0,,,0.0,0.0,20.2
6,24179,De'Von Achane,MIA,RB,11,LV,0.0,0.0,0.0,60.6,0.6,4.9,37.1,0.3,,,0.0,0.0,20.0
7,19766,Saquon Barkley,PHI,RB,11,WAS,0.0,0.0,0.0,99.5,0.7,2.5,18.7,0.2,,,0.0,0.0,19.6
8,23235,Jayden Daniels,WAS,QB,11,PHI,217.9,1.2,0.7,44.5,0.4,0.0,0.0,0.0,,,0.0,0.0,19.4
9,23241,Brock Purdy,SF,QB,11,SEA,260.0,1.8,0.7,15.0,0.2,0.0,0.0,0.0,,,0.0,0.0,19.3
10,22564,Ja'Marr Chase,CIN,WR,11,LAC,0.0,0.0,0.0,0.9,0.0,6.5,86.9,0.6,,,0.0,0.0,18.8
11,18858,Joe Mixon,HOU,RB,11,DAL,0.0,0.0,0.0,88.5,0.8,2.5,20.5,0.1,,,0.0,0.0,18.7
12,21693,Joe Burrow,CIN,QB,11,LAC,254.1,1.8,0.6,12.9,0.1,0.0,0.0,0.0,,,0.0,0.0,18.6
13,23212,Kyren Williams,LAR,RB,11,NE,0.0,0.0,0.0,84.5,0.8,2.4,16.1,0.2,,,0.0,0.0,18.4
14,23189,Bijan Robinson,ATL,RB,11,DEN,0.0,0.0,0.0,72.8,0.5,4.1,32.8,0.1,,,0.0,0.0,18.2
15,22526,Breece Hall,NYJ,RB,11,IND,0.0,0.0,0.0,70.8,0.5,3.8,31.3,0.2,,,0.0,0.0,18.1
16,23200,Jahmyr Gibbs,DET,RB,11,JAX,0.0,0.0,0.0,75.5,0.7,3.0,24.4,0.1,,,0.0,0.0,17.7
17,22587,Amon-Ra St. Brown,DET,WR,11,JAX,0.0,0.0,0.0,0.6,0.0,6.6,74.4,0.6,,,0.0,0.0,17.6
18,25069,Bo Nix,DEN,QB,11,ATL,209.0,1.3,0.8,27.5,0.4,0.0,0.0,0.0,,,0.0,0.0,17.5
19,21681,Justin Herbert,LAC,QB,11,CIN,233.4,1.5,0.5,14.6,0.2,0.0,0.0,0.0,,,0.0,0.0,17.3
20,17959,Derrick Henry,BAL,RB,11,PIT,0.0,0.0,0.0,94.4,0.9,1.0,8.7,0.1,,,0.0,0.0,17.2
21,18890,Patrick Mahomes,KC,QB,11,BUF,235.9,1.5,0.8,19.7,0.1,0.0,0.0,0.0,,,0.0,0.0,17.1
22,21841,Jordan Love,GB,QB,11,CHI,232.3,1.8,0.7,8.0,0.1,0.0,0.0,0.0,,,0.0,0.0,17.1
23,21685,Justin Jefferson,MIN,WR,11,TEN,0.0,0.0,0.0,0.4,0.0,5.7,83.5,0.5,,,0.0,0.0,17.0
24,21756,Nico Collins,HOU,WR,11,DAL,0.0,0.0,0.0,0.2,0.0,5.7,82.6,0.5,,,0.0,0.0,16.9
25,17922,Jared Goff,DET,QB,11,JAX,243.5,1.7,0.6,3.8,0.1,0.0,0.0,0.0,,,0.0,0.0,16.8
26,23239,C.J. Stroud,HOU,QB,11,DAL,240.7,1.5,0.7,11.9,0.1,0.0,0.0,0.0,,,0.0,0.0,16.6
27,21677,Tua Tagovailoa,MIA,QB,11,LV,251.9,1.5,0.8,8.4,0.1,0.0,0.0,0.0,,,0.0,0.0,16.6
28,21042,A.J. Brown,PHI,WR,11,WAS,0.0,0.0,0.0,0.1,0.0,5.2,84.8,0.5,,,0.0,0.0,16.6
29,19812,Sam Darnold,MIN,QB,11,TEN,229.3,1.6,0.9,13.9,0.1,0.0,0.0,0.0,,,0.0,0.0,16.5
30,14895,Geno Smith,SEA,QB,11,SF,243.2,1.4,0.9,14.4,0.1,0.0,0.0,0.0,,,0.0,0.0,16.4
31,14536,Russell Wilson,PIT,QB,11,BAL,233.0,1.3,0.5,14.0,0.2,0.0,0.0,0.0,,,0.0,0.0,16.3
32,23214,Kenneth Walker III,SEA,RB,11,SF,0.0,0.0,0.0,62.6,0.6,3.5,24.4,0.1,,,0.0,0.0,16.3
33,21682,Jonathan Taylor,IND,RB,11,NYJ,0.0,0.0,0.0,85.3,0.7,1.6,13.9,0.1,,,0.0,0.0,16.1
34,24374,Chase Brown,CIN,RB,11,LAC,0.0,0.0,0.0,65.2,0.5,3.6,24.7,0.1,,,0.0,0.0,16.1
35,16762,Jameis Winston,CLE,QB,11,NO,234.3,1.4,1.0,15.4,0.1,0.0,0.0,0.0,,,0.0,0.0,16.0
36,24172,Puka Nacua,LAR,WR,11,NE,0.0,0.0,0.0,3.5,0.0,5.7,74.4,0.4,,,0.0,0.0,15.8
37,23122,Garrett Wilson,NYJ,WR,11,IND,0.0,0.0,0.0,0.8,0.0,5.8,69.2,0.5,,,0.0,0.0,15.7
38,18882,Cooper Kupp,LAR,WR,11,NE,0.0,0.0,0.0,1.3,0.0,6.3,69.2,0.4,,,0.0,0.0,15.7
39,24117,Anthony Richardson,IND,QB,11,NYJ,183.6,0.9,1.0,39.7,0.3,0.0,0.0,0.0,,,0.0,0.0,15.4
40,2593,Aaron Rodgers,NYJ,QB,11,IND,226.8,1.5,0.7,5.3,0.1,0.0,0.0,0.0,,,0.0,0.0,15.4
41,24958,Drake Maye,NE,QB,11,LAR,197.3,1.0,0.8,33.3,0.2,0.0,0.0,0.0,,,0.0,0.0,15.3
42,9038,Matthew Stafford,LAR,QB,11,NE,245.9,1.5,0.8,3.4,0.0,0.0,0.0,0.0,,,0.0,0.0,15.3
43,20824,Josh Jacobs,GB,RB,11,CHI,0.0,0.0,0.0,80.0,0.5,2.3,14.8,0.1,,,0.0,0.0,15.3
44,23151,Drake London,ATL,WR,11,DEN,0.0,0.0,0.0,0.2,0.0,5.7,66.6,0.5,,,0.0,0.0,15.3
45,19045,Aaron Jones,MIN,RB,11,TEN,0.0,0.0,0.0,69.0,0.5,2.7,20.2,0.1,,,0.0,0.0,15.1
46,16470,Davante Adams,NYJ,WR,11,IND,0.0,0.0,0.0,0.1,0.0,5.6,64.7,0.5,,,0.0,0.0,15.1
47,20882,David Montgomery,DET,RB,11,JAX,0.0,0.0,0.0,64.1,0.8,1.7,16.2,0.1,,,0.0,0.0,15.0
48,21679,CeeDee Lamb,DAL,WR,11,HOU,0.0,0.0,0.0,5.9,0.0,6.0,61.1,0.4,,,0.0,0.0,15.0
49,15048,Travis Kelce,KC,TE,11,BUF,0.0,0.0,0.0,0.2,0.0,6.5,61.2,0.4,,,0.0,0.0,14.9
50,18944,Kareem Hunt,KC,RB,11,BUF,0.0,0.0,0.0,70.4,0.6,2.1,16.2,0.1,,,0.0,0.0,14.8
51,16311,Derek Carr,NO,QB,11,CLE,219.3,1.4,0.7,5.4,0.1,0.0,0.0,0.0,,,0.0,0.0,14.7
52,23153,George Pickens,PIT,WR,11,BAL,0.0,0.0,0.0,0.6,0.0,4.7,75.7,0.4,,,0.0,0.0,14.6
53,14252,Kirk Cousins,ATL,QB,11,DEN,239.2,1.4,0.7,2.5,0.0,0.0,0.0,0.0,,,0.0,0.0,14.6
54,18082,Tyreek Hill,MIA,WR,11,LV,0.0,0.0,0.0,3.7,0.0,4.8,64.5,0.5,,,0.0,0.0,14.6
55,21674,J.K. Dobbins,LAC,RB,11,CIN,0.0,0.0,0.0,63.2,0.6,2.6,15.5,0.1,,,0.0,0.0,14.6
56,20873,Terry McLaurin,WAS,WR,11,PHI,0.0,0.0,0.0,0.4,0.0,4.9,66.7,0.5,,,0.0,0.0,14.5
57,20932,Deebo Samuel Sr.,SF,WR,11,SEA,0.0,0.0,0.0,13.1,0.1,4.2,59.0,0.4,,,0.0,0.0,14.3
58,23120,Zay Flowers,BAL,WR,11,PIT,0.0,0.0,0.0,3.2,0.0,5.1,64.3,0.4,,,0.0,0.0,14.2
59,21684,D'Andre Swift,CHI,RB,11,GB,0.0,0.0,0.0,67.8,0.4,2.5,20.1,0.1,,,0.0,0.0,14.2
60,19063,George Kittle,SF,TE,11,SEA,0.0,0.0,0.0,0.1,0.0,4.7,58.6,0.6,,,0.0,0.0,14.2
