rank,id,team,game.week,opp,tkl_loss,def_sck,qb_hits,def_int,fum_recovered,safeties,def_td,return_td,opp_pts,fpts_draftkings
1,DEN,DEN,7,NO,0.0,2.6,0.0,0.8,0.7,0.1,0.3,0.0,17.3,8.6
2,PIT,PIT,7,NYJ,0.0,2.5,0.0,0.8,0.6,0.1,0.3,0.0,19.6,8.3
3,CIN,CIN,7,CLE,0.0,2.8,0.0,0.9,0.6,0.1,0.2,0.0,18.9,8.2
4,BUF,BUF,7,TEN,0.0,2.6,0.0,0.9,0.7,0.1,0.2,0.0,17.9,8.2
5,NYJ,NYJ,7,PIT,0.0,2.5,0.0,0.7,0.6,0.1,0.3,0.0,18.3,8.1
6,JAX,JAX,7,NE,0.0,2.5,0.0,0.8,0.7,0.1,0.2,0.0,18.3,7.9
7,NO,NO,7,DEN,0.0,2.5,0.0,0.8,0.6,0.1,0.2,0.0,19.7,7.7
8,PHI,PHI,7,NYG,0.0,2.5,0.0,0.8,0.6,0.1,0.2,0.0,19.9,7.7
9,IND,IND,7,MIA,0.0,2.5,0.0,0.8,0.6,0.1,0.2,0.0,19.8,7.7
10,LAR,LAR,7,LV,0.0,2.4,0.0,0.8,0.6,0.1,0.2,0.0,19.1,7.6
11,WAS,WAS,7,CAR,0.0,2.4,0.0,0.8,0.6,0.0,0.3,0.0,21.6,7.0
12,BAL,BAL,7,TB,0.0,2.5,0.0,0.7,0.6,0.1,0.2,0.0,21.9,6.5
13,MIA,MIA,7,IND,0.0,2.1,0.0,0.8,0.7,0.1,0.2,0.0,23.3,6.5
14,LAC,LAC,7,ARI,0.0,2.2,0.0,0.8,0.6,0.1,0.2,0.0,21.1,6.4
15,GB,GB,7,HOU,0.0,2.5,0.0,0.7,0.5,0.1,0.2,0.0,22.6,6.3
16,SF,SF,7,KC,0.0,2.2,0.0,0.7,0.6,0.1,0.2,0.0,23.1,6.2
17,MIN,MIN,7,DET,0.0,2.3,0.0,0.7,0.5,0.1,0.2,0.0,24.7,6.1
18,NYG,NYG,7,PHI,0.0,2.3,0.0,0.7,0.5,0.1,0.2,0.0,23.4,6.1
19,DET,DET,7,MIN,0.0,2.3,0.0,0.7,0.5,0.1,0.2,0.0,24.4,6.1
20,LV,LV,7,LAR,0.0,2.2,0.0,0.7,0.5,0.1,0.2,0.0,25.0,6.0
21,NE,NE,7,JAX,0.0,2.2,0.0,0.7,0.5,0.1,0.2,0.0,24.0,6.0
22,CLE,CLE,7,CIN,0.0,2.2,0.0,0.7,0.5,0.1,0.2,0.0,23.8,6.0
23,ATL,ATL,7,SEA,0.0,2.4,0.0,0.8,0.6,0.1,0.1,0.0,23.2,6.0
24,TEN,TEN,7,BUF,0.0,1.9,0.0,0.7,0.6,0.1,0.2,0.0,26.0,5.9
25,KC,KC,7,SF,0.0,2.1,0.0,0.7,0.5,0.1,0.2,0.0,24.8,5.9
26,ARI,ARI,7,LAC,0.0,2.1,0.0,0.6,0.5,0.1,0.2,0.0,22.5,5.7
27,HOU,HOU,7,GB,0.0,2.1,0.0,0.8,0.5,0.1,0.1,0.0,25.3,5.5
28,SEA,SEA,7,ATL,0.0,2.1,0.0,0.7,0.5,0.1,0.1,0.0,26.8,5.3
29,TB,TB,7,BAL,0.0,2.0,0.0,0.7,0.5,0.1,0.1,0.0,25.9,5.2
30,CAR,CAR,7,WAS,0.0,2.0,0.0,0.6,0.5,0.1,0.1,0.0,30.0,4.0
