rank,id,player,team,pos,game.week,opp,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,def_sck,def_int,fum_forced,fum_recovered,fpts_draftkings
1,23235,Jayden Daniels,WAS,QB,7,CAR,236.4,1.4,0.8,55.5,0.6,0.0,0.0,0.0,,,0.0,0.0,23.1
2,19781,Lamar Jackson,BAL,QB,7,TB,224.2,1.6,0.7,55.0,0.4,0.0,0.0,0.0,,,0.0,0.0,22.4
3,19801,Josh Allen,BUF,QB,7,TEN,237.8,1.7,0.8,32.2,0.6,0.0,0.0,0.0,,,0.0,0.0,21.9
4,21831,Jalen Hurts,PHI,QB,7,NYG,218.5,1.4,0.7,38.9,0.5,0.0,0.0,0.0,,,0.0,0.0,20.2
5,21685,Justin Jefferson,MIN,WR,7,DET,0.0,0.0,0.0,0.3,0.0,6.5,93.6,0.6,,,0.0,0.0,19.4
6,21841,Jordan Love,GB,QB,7,HOU,245.5,1.9,0.8,11.8,0.2,0.0,0.0,0.0,,,0.0,0.0,18.8
7,23212,Kyren Williams,LAR,RB,7,LV,0.0,0.0,0.0,85.9,0.8,2.5,16.7,0.2,,,0.0,0.0,18.6
8,23239,C.J. Stroud,HOU,QB,7,GB,257.2,1.8,0.7,11.7,0.1,0.0,0.0,0.0,,,0.0,0.0,18.4
9,18878,Alvin Kamara,NO,RB,7,DEN,0.0,0.0,0.0,70.4,0.5,4.3,33.2,0.1,,,0.0,0.0,18.2
10,14895,Geno Smith,SEA,QB,7,ATL,262.5,1.5,0.8,14.3,0.2,0.0,0.0,0.0,,,0.0,0.0,18.1
11,23241,Brock Purdy,SF,QB,7,KC,252.5,1.7,0.7,12.7,0.1,0.0,0.0,0.0,,,0.0,0.0,17.9
12,24953,Malik Nabers,NYG,WR,7,PHI,0.0,0.0,0.0,1.2,0.0,6.8,80.3,0.5,,,0.0,0.0,17.9
13,20889,Kyler Murray,ARI,QB,7,LAC,206.0,1.2,0.7,38.7,0.3,0.0,0.0,0.0,,,0.0,0.0,17.8
14,19790,Baker Mayfield,TB,QB,7,BAL,248.0,1.7,0.7,12.3,0.1,0.0,0.0,0.0,,,0.0,0.0,17.6
15,21693,Joe Burrow,CIN,QB,7,CLE,248.1,1.7,0.7,11.8,0.1,0.0,0.0,0.0,,,0.0,0.0,17.6
16,23151,Drake London,ATL,WR,7,SEA,0.0,0.0,0.0,0.4,0.0,6.2,77.4,0.6,,,0.0,0.0,17.5
17,23214,Kenneth Walker III,SEA,RB,7,ATL,0.0,0.0,0.0,67.4,0.6,3.9,27.2,0.1,,,0.0,0.0,17.5
18,19766,Saquon Barkley,PHI,RB,7,NYG,0.0,0.0,0.0,87.9,0.6,2.7,19.0,0.1,,,0.0,0.0,17.4
19,19812,Sam Darnold,MIN,QB,7,DET,249.6,1.7,0.8,10.4,0.1,0.0,0.0,0.0,,,0.0,0.0,17.3
20,17922,Jared Goff,DET,QB,7,MIN,258.2,1.7,0.7,3.5,0.1,0.0,0.0,0.0,,,0.0,0.0,17.3
21,22587,Amon-Ra St. Brown,DET,WR,7,MIN,0.0,0.0,0.0,1.1,0.0,6.6,76.6,0.5,,,0.0,0.0,17.3
22,22526,Breece Hall,NYJ,RB,7,PIT,0.0,0.0,0.0,74.2,0.5,3.6,27.5,0.1,,,0.0,0.0,17.3
23,17959,Derrick Henry,BAL,RB,7,TB,0.0,0.0,0.0,94.3,0.9,1.1,8.4,0.1,,,0.0,0.0,17.3
24,24117,Anthony Richardson,IND,QB,7,MIA,202.9,1.1,1.0,34.9,0.4,0.0,0.0,0.0,,,0.0,0.0,17.2
25,18880,Chris Godwin,TB,WR,7,BAL,0.0,0.0,0.0,1.2,0.0,6.4,77.5,0.5,,,0.0,0.0,17.2
26,23189,Bijan Robinson,ATL,RB,7,SEA,0.0,0.0,0.0,67.5,0.6,3.6,26.9,0.1,,,0.0,0.0,17.1
27,22564,Ja'Marr Chase,CIN,WR,7,CLE,0.0,0.0,0.0,0.8,0.0,5.9,82.3,0.5,,,0.0,0.0,17.1
28,14252,Kirk Cousins,ATL,QB,7,SEA,253.0,1.7,0.7,3.6,0.1,0.0,0.0,0.0,,,0.0,0.0,17.1
29,18890,Patrick Mahomes,KC,QB,7,SF,245.6,1.4,0.8,20.2,0.1,0.0,0.0,0.0,,,0.0,0.0,17.0
30,21042,A.J. Brown,PHI,WR,7,NYG,0.0,0.0,0.0,0.2,0.0,5.8,82.4,0.5,,,0.0,0.0,17.0
31,21691,Chuba Hubbard,CAR,RB,7,WAS,0.0,0.0,0.0,77.6,0.5,3.3,21.3,0.1,,,0.0,0.0,16.7
32,9038,Matthew Stafford,LAR,QB,7,LV,245.5,1.6,0.7,3.5,0.1,0.0,0.0,0.0,,,0.0,0.0,16.4
33,2593,Aaron Rodgers,NYJ,QB,7,PIT,236.6,1.6,0.6,5.8,0.1,0.0,0.0,0.0,,,0.0,0.0,16.3
34,20841,Daniel Jones,NYG,QB,7,PHI,218.0,1.2,0.7,24.7,0.2,0.0,0.0,0.0,,,0.0,0.0,16.3
35,20912,Tony Pollard,TEN,RB,7,BUF,0.0,0.0,0.0,78.4,0.5,2.9,19.9,0.1,,,0.0,0.0,16.2
36,21681,Justin Herbert,LAC,QB,7,ARI,221.3,1.4,0.6,11.9,0.2,0.0,0.0,0.0,,,0.0,0.0,16.0
37,16906,Stefon Diggs,HOU,WR,7,GB,0.0,0.0,0.0,0.9,0.0,5.9,71.0,0.5,,,0.0,0.0,16.0
38,22490,Trevor Lawrence,JAX,QB,7,NE,227.6,1.4,0.8,14.3,0.1,0.0,0.0,0.0,,,0.0,0.0,15.7
39,12841,Andy Dalton,CAR,QB,7,WAS,240.7,1.4,0.9,7.9,0.1,0.0,0.0,0.0,,,0.0,0.0,15.6
40,24958,Drake Maye,NE,QB,7,JAX,205.6,1.2,0.8,23.9,0.2,0.0,0.0,0.0,,,0.0,0.0,15.5
41,20873,Terry McLaurin,WAS,WR,7,CAR,0.0,0.0,0.0,0.5,0.0,5.3,71.3,0.5,,,0.0,0.0,15.4
42,21674,J.K. Dobbins,LAC,RB,7,ARI,0.0,0.0,0.0,76.7,0.6,2.2,14.4,0.1,,,0.0,0.0,15.3
43,18858,Joe Mixon,HOU,RB,7,GB,0.0,0.0,0.0,68.3,0.5,2.8,21.7,0.1,,,0.0,0.0,15.3
44,23233,Jayden Reed,GB,WR,7,HOU,0.0,0.0,0.0,11.0,0.1,4.9,63.9,0.4,,,0.0,0.0,15.3
45,15048,Travis Kelce,KC,TE,7,SF,0.0,0.0,0.0,0.2,0.0,5.8,61.0,0.5,,,0.0,0.0,14.8
46,20875,DK Metcalf,SEA,WR,7,ATL,0.0,0.0,0.0,0.1,0.0,4.7,70.3,0.5,,,0.0,0.0,14.6
47,18882,Cooper Kupp,LAR,WR,7,LV,0.0,0.0,0.0,1.4,0.0,5.6,65.1,0.4,,,0.0,0.0,14.6
48,21810,Tyler Huntley,MIA,QB,7,IND,180.5,1.1,0.8,28.2,0.2,0.0,0.0,0.0,,,0.0,0.0,14.5
49,25069,Bo Nix,DEN,QB,7,NO,194.2,1.1,0.8,22.3,0.2,0.0,0.0,0.0,,,0.0,0.0,14.5
50,19045,Aaron Jones,MIN,RB,7,DET,0.0,0.0,0.0,55.7,0.4,3.0,23.2,0.2,,,0.0,0.0,14.4
51,14536,Russell Wilson,PIT,QB,7,NYJ,204.2,1.1,0.7,15.9,0.2,0.0,0.0,0.0,,,0.0,0.0,14.4
52,24943,Brock Bowers,LV,TE,7,LAR,0.0,0.0,0.0,0.1,0.0,5.8,62.2,0.4,,,0.0,0.0,14.3
53,21077,Diontae Johnson,CAR,WR,7,WAS,0.0,0.0,0.0,0.9,0.0,5.2,67.2,0.4,,,0.0,0.0,14.3
54,23120,Zay Flowers,BAL,WR,7,TB,0.0,0.0,0.0,4.1,0.0,5.3,62.5,0.4,,,0.0,0.0,14.3
55,23200,Jahmyr Gibbs,DET,RB,7,MIN,0.0,0.0,0.0,59.2,0.4,3.1,23.3,0.1,,,0.0,0.0,14.2
