rank,id,team,game.week,opp,tkl_loss,def_sck,qb_hits,def_int,fum_recovered,safeties,def_td,return_td,opp_pts,fpts_draftkings
1,PIT,PIT,6,LV,0.0,2.6,0.0,0.8,0.7,0.1,0.3,0.0,17.9,8.6
2,PHI,PHI,6,CLE,0.0,3.1,0.0,0.9,0.6,0.1,0.2,0.0,19.2,8.5
3,HOU,HOU,6,NE,0.0,2.6,0.0,0.8,0.7,0.1,0.2,0.0,17.6,8.0
4,IND,IND,6,TEN,0.0,2.6,0.0,0.8,0.6,0.1,0.2,0.0,20.9,7.8
5,LAC,LAC,6,DEN,0.0,2.4,0.0,0.8,0.7,0.1,0.2,0.0,16.2,7.8
6,TB,TB,6,NO,0.0,2.5,0.0,0.8,0.6,0.1,0.2,0.0,19.4,7.7
7,ATL,ATL,6,CAR,0.0,2.4,0.0,0.8,0.6,0.1,0.2,0.0,20.4,7.6
8,BUF,BUF,6,NYJ,0.0,2.4,0.0,0.8,0.6,0.1,0.2,0.0,19.2,7.6
9,DEN,DEN,6,LAC,0.0,2.3,0.0,0.7,0.7,0.1,0.2,0.0,20.6,7.5
10,LV,LV,6,PIT,0.0,2.3,0.0,0.7,0.6,0.1,0.2,0.0,20.7,7.3
11,SF,SF,6,SEA,0.0,2.6,0.0,0.8,0.6,0.1,0.2,0.0,21.6,6.8
12,NYJ,NYJ,6,BUF,0.0,2.2,0.0,0.7,0.6,0.1,0.3,0.0,21.8,6.8
13,CHI,CHI,6,JAX,0.0,2.4,0.0,0.8,0.6,0.1,0.2,0.0,21.4,6.6
14,GB,GB,6,ARI,0.0,2.4,0.0,0.8,0.6,0.1,0.2,0.0,21.8,6.6
15,NO,NO,6,TB,0.0,2.4,0.0,0.8,0.6,0.1,0.2,0.0,21.7,6.6
16,JAX,JAX,6,CHI,0.0,2.5,0.0,0.8,0.5,0.1,0.2,0.0,23.1,6.5
17,TEN,TEN,6,IND,0.0,2.2,0.0,0.8,0.6,0.1,0.2,0.0,21.5,6.4
18,CIN,CIN,6,NYG,0.0,2.3,0.0,0.7,0.6,0.1,0.2,0.0,22.6,6.3
19,NE,NE,6,HOU,0.0,2.3,0.0,0.7,0.5,0.1,0.2,0.0,23.3,6.1
20,BAL,BAL,6,WAS,0.0,2.2,0.0,0.7,0.5,0.1,0.2,0.0,22.9,6.0
21,NYG,NYG,6,CIN,0.0,2.2,0.0,0.7,0.5,0.1,0.2,0.0,25.3,6.0
22,CAR,CAR,6,ATL,0.0,2.0,0.0,0.7,0.5,0.1,0.2,0.0,26.7,5.8
23,DET,DET,6,DAL,0.0,2.3,0.0,0.8,0.5,0.1,0.1,0.0,24.7,5.7
24,SEA,SEA,6,SF,0.0,2.2,0.0,0.7,0.5,0.1,0.1,0.0,25.6,5.4
25,CLE,CLE,6,PHI,0.0,2.2,0.0,0.7,0.5,0.1,0.1,0.0,25.0,5.4
26,DAL,DAL,6,DET,0.0,2.1,0.0,0.7,0.5,0.1,0.1,0.0,26.1,5.3
27,ARI,ARI,6,GB,0.0,2.0,0.0,0.7,0.5,0.1,0.1,0.0,26.2,5.2
28,WAS,WAS,6,BAL,0.0,1.8,0.0,0.7,0.6,0.0,0.2,0.0,29.5,4.6
