rank,id,team,game.week,opp,tkl_loss,def_sck,qb_hits,def_int,fum_recovered,safeties,def_td,return_td,opp_pts,fpts_draftkings
1,BAL,BAL,18,CLE,0.0,2.9,0.0,1.0,0.7,0.1,0.3,0.0,11.6,12.3
2,TB,TB,18,NO,0.0,2.8,0.0,0.8,0.7,0.1,0.3,0.0,15.1,8.8
3,GB,GB,18,CHI,0.0,2.9,0.0,0.8,0.7,0.1,0.2,0.0,15.6,8.3
4,DEN,DEN,18,KC,0.0,2.7,0.0,0.8,0.7,0.1,0.2,0.0,14.6,8.1
5,PHI,PHI,18,NYG,0.0,2.6,0.0,0.8,0.6,0.1,0.2,0.0,17.6,7.8
6,BUF,BUF,18,NE,0.0,2.5,0.0,0.8,0.6,0.1,0.2,0.0,18.8,7.7
7,HOU,HOU,18,TEN,0.0,2.5,0.0,0.8,0.6,0.1,0.2,0.0,19.7,7.7
8,ATL,ATL,18,CAR,0.0,2.5,0.0,0.8,0.6,0.1,0.2,0.0,19.8,7.7
9,LAC,LAC,18,LV,0.0,2.5,0.0,0.8,0.6,0.1,0.2,0.0,18.0,7.7
10,TEN,TEN,18,HOU,0.0,2.5,0.0,0.8,0.5,0.1,0.2,0.0,18.8,7.5
11,IND,IND,18,JAX,0.0,2.3,0.0,0.8,0.6,0.1,0.2,0.0,20.8,7.5
12,SEA,SEA,18,LAR,0.0,2.3,0.0,0.8,0.6,0.1,0.2,0.0,17.6,7.5
13,MIA,MIA,18,NYJ,0.0,2.4,0.0,0.7,0.6,0.1,0.2,0.0,20.6,7.4
14,WAS,WAS,18,DAL,0.0,2.3,0.0,0.8,0.6,0.0,0.2,0.0,19.8,7.3
15,NYJ,NYJ,18,MIA,0.0,2.4,0.0,0.7,0.5,0.1,0.2,0.0,20.5,7.2
16,NYG,NYG,18,PHI,0.0,2.2,0.0,0.7,0.6,0.1,0.2,0.0,20.6,7.2
17,NE,NE,18,BUF,0.0,2.1,0.0,0.7,0.5,0.1,0.2,0.0,20.4,6.9
18,LAR,LAR,18,SEA,0.0,2.5,0.0,0.8,0.5,0.1,0.2,0.0,21.4,6.5
19,CIN,CIN,18,PIT,0.0,2.4,0.0,0.8,0.5,0.1,0.2,0.0,23.5,6.4
20,ARI,ARI,18,SF,0.0,2.2,0.0,0.8,0.6,0.1,0.2,0.0,21.0,6.4
21,PIT,PIT,18,CIN,0.0,2.5,0.0,0.7,0.5,0.1,0.2,0.0,24.0,6.3
22,DET,DET,18,MIN,0.0,2.5,0.0,0.8,0.6,0.1,0.1,0.0,24.7,6.1
23,LV,LV,18,LAC,0.0,2.2,0.0,0.6,0.5,0.1,0.2,0.0,22.9,5.8
24,SF,SF,18,ARI,0.0,2.2,0.0,0.7,0.5,0.0,0.2,0.0,21.7,5.8
25,JAX,JAX,18,IND,0.0,2.2,0.0,0.8,0.5,0.1,0.1,0.0,24.4,5.6
26,DAL,DAL,18,WAS,0.0,2.3,0.0,0.7,0.5,0.1,0.1,0.0,23.1,5.5
27,CAR,CAR,18,ATL,0.0,2.1,0.0,0.7,0.5,0.1,0.1,0.0,27.2,5.3
28,KC,KC,18,DEN,0.0,2.0,0.0,0.7,0.5,0.0,0.1,0.0,24.5,5.0
29,CHI,CHI,18,GB,0.0,1.8,0.0,0.7,0.5,0.1,0.1,0.0,25.1,5.0
30,MIN,MIN,18,DET,0.0,2.3,0.0,0.7,0.5,0.1,0.1,0.0,28.1,4.5
31,NO,NO,18,TB,0.0,2.0,0.0,0.7,0.4,0.0,0.1,0.0,28.4,3.8
32,CLE,CLE,18,BAL,0.0,1.7,0.0,0.5,0.4,0.0,0.1,0.0,30.0,3.1
