rank,id,team,game.week,opp,tkl_loss,def_sck,qb_hits,def_int,fum_recovered,safeties,def_td,return_td,opp_pts,fpts_draftkings
1,KC,KC,13,LV,0.0,2.8,0.0,0.8,0.7,0.1,0.3,0.0,15.8,8.8
2,DAL,DAL,13,NYG,0.0,2.7,0.0,0.8,0.6,0.1,0.3,0.0,16.9,8.5
3,DET,DET,13,CHI,0.0,2.9,0.0,0.9,0.7,0.1,0.2,0.0,20.2,8.5
4,WAS,WAS,13,TEN,0.0,3.3,0.0,0.8,0.7,0.0,0.2,0.0,19.4,8.5
5,DEN,DEN,13,CLE,0.0,2.7,0.0,0.9,0.6,0.1,0.2,0.0,18.5,8.1
6,TB,TB,13,CAR,0.0,2.5,0.0,0.8,0.7,0.1,0.2,0.0,19.8,7.9
7,IND,IND,13,NE,0.0,2.6,0.0,0.8,0.6,0.1,0.2,0.0,20.2,7.8
8,HOU,HOU,13,JAX,0.0,2.5,0.0,0.8,0.6,0.1,0.2,0.0,19.4,7.7
9,NYG,NYG,13,DAL,0.0,2.4,0.0,0.7,0.6,0.1,0.2,0.0,20.8,7.4
10,MIN,MIN,13,ARI,0.0,2.4,0.0,0.7,0.6,0.1,0.2,0.0,20.9,7.4
11,BUF,BUF,13,SF,0.0,2.4,0.0,0.8,0.6,0.1,0.2,0.0,21.0,6.6
12,ARI,ARI,13,MIN,0.0,2.4,0.0,0.8,0.6,0.1,0.2,0.0,24.1,6.6
13,NYJ,NYJ,13,SEA,0.0,2.6,0.0,0.8,0.5,0.1,0.2,0.0,21.6,6.6
14,NE,NE,13,IND,0.0,2.2,0.0,0.8,0.6,0.1,0.2,0.0,22.5,6.4
15,LAC,LAC,13,ATL,0.0,2.4,0.0,0.7,0.6,0.1,0.2,0.0,23.7,6.4
16,GB,GB,13,MIA,0.0,2.2,0.0,0.8,0.6,0.1,0.2,0.0,22.2,6.4
17,PIT,PIT,13,CIN,0.0,2.4,0.0,0.7,0.6,0.1,0.2,0.0,24.8,6.4
18,CIN,CIN,13,PIT,0.0,2.5,0.0,0.6,0.6,0.1,0.2,0.0,21.9,6.3
19,SEA,SEA,13,NYJ,0.0,2.4,0.0,0.7,0.5,0.1,0.2,0.0,22.0,6.2
20,TEN,TEN,13,WAS,0.0,2.2,0.0,0.7,0.6,0.1,0.2,0.0,24.9,6.2
21,BAL,BAL,13,PHI,0.0,2.4,0.0,0.7,0.5,0.1,0.2,0.0,23.1,6.2
22,LAR,LAR,13,NO,0.0,2.1,0.0,0.7,0.6,0.1,0.2,0.0,22.8,6.1
23,MIA,MIA,13,GB,0.0,2.0,0.0,0.8,0.5,0.1,0.2,0.0,25.2,6.0
24,JAX,JAX,13,HOU,0.0,2.4,0.0,0.6,0.5,0.1,0.2,0.0,23.5,6.0
25,NO,NO,13,LAR,0.0,2.3,0.0,0.8,0.6,0.1,0.1,0.0,25.1,5.9
26,SF,SF,13,BUF,0.0,1.9,0.0,0.7,0.6,0.1,0.2,0.0,24.6,5.9
27,ATL,ATL,13,LAC,0.0,2.3,0.0,0.6,0.5,0.1,0.2,0.0,24.0,5.9
28,CLE,CLE,13,DEN,0.0,2.1,0.0,0.7,0.5,0.0,0.2,0.0,23.8,5.7
29,PHI,PHI,13,BAL,0.0,2.0,0.0,0.7,0.6,0.1,0.1,0.0,26.7,5.4
30,CAR,CAR,13,TB,0.0,2.0,0.0,0.7,0.5,0.1,0.1,0.0,25.9,5.2
31,LV,LV,13,KC,0.0,2.1,0.0,0.6,0.4,0.1,0.1,0.0,27.7,4.9
32,CHI,CHI,13,DET,0.0,2.0,0.0,0.7,0.5,0.0,0.1,0.0,28.8,4.0
