rank,id,team,game.week,opp,tkl_loss,def_sck,qb_hits,def_int,fum_recovered,safeties,def_td,return_td,opp_pts,fpts_draftkings
1,BAL,BAL,15,NYG,0.0,3.0,0.0,0.8,0.7,0.1,0.3,0.0,15.4,9.0
2,KC,KC,15,CLE,0.0,2.6,0.0,0.9,0.6,0.1,0.3,0.0,20.3,8.6
3,MIN,MIN,15,CHI,0.0,2.9,0.0,0.9,0.7,0.1,0.2,0.0,20.5,8.5
4,WAS,WAS,15,NO,0.0,2.6,0.0,0.8,0.7,0.0,0.3,0.0,18.2,8.4
5,DEN,DEN,15,IND,0.0,2.5,0.0,0.8,0.7,0.1,0.2,0.0,19.9,7.9
6,ARI,ARI,15,NE,0.0,2.6,0.0,0.8,0.6,0.1,0.2,0.0,19.9,7.8
7,ATL,ATL,15,LV,0.0,2.5,0.0,0.8,0.6,0.1,0.2,0.0,20.9,7.7
8,PHI,PHI,15,PIT,0.0,2.5,0.0,0.7,0.6,0.1,0.2,0.0,19.6,7.5
9,NYJ,NYJ,15,JAX,0.0,2.3,0.0,0.8,0.6,0.1,0.2,0.0,19.7,7.5
10,CIN,CIN,15,TEN,0.0,2.7,0.0,0.8,0.6,0.1,0.2,0.0,21.5,6.9
11,GB,GB,15,SEA,0.0,2.5,0.0,0.8,0.6,0.1,0.2,0.0,22.3,6.7
12,LAC,LAC,15,TB,0.0,2.3,0.0,0.8,0.6,0.1,0.2,0.0,21.6,6.5
13,CAR,CAR,15,DAL,0.0,2.2,0.0,0.8,0.6,0.1,0.2,0.0,22.3,6.4
14,HOU,HOU,15,MIA,0.0,2.3,0.0,0.7,0.6,0.1,0.2,0.0,22.7,6.3
15,DAL,DAL,15,CAR,0.0,2.5,0.0,0.7,0.5,0.1,0.2,0.0,21.3,6.3
16,TB,TB,15,LAC,0.0,2.3,0.0,0.6,0.6,0.1,0.2,0.0,23.8,6.1
17,JAX,JAX,15,NYJ,0.0,2.3,0.0,0.7,0.5,0.1,0.2,0.0,21.7,6.1
18,PIT,PIT,15,PHI,0.0,2.3,0.0,0.7,0.5,0.1,0.2,0.0,24.1,6.1
19,MIA,MIA,15,HOU,0.0,2.3,0.0,0.7,0.5,0.1,0.2,0.0,24.7,6.1
20,SF,SF,15,LAR,0.0,2.2,0.0,0.7,0.6,0.0,0.2,0.0,23.1,6.0
21,TEN,TEN,15,CIN,0.0,2.2,0.0,0.7,0.5,0.1,0.2,0.0,26.4,6.0
22,LV,LV,15,ATL,0.0,2.1,0.0,0.7,0.5,0.1,0.2,0.0,23.8,5.9
23,IND,IND,15,DEN,0.0,2.1,0.0,0.7,0.5,0.1,0.2,0.0,22.8,5.9
24,SEA,SEA,15,GB,0.0,2.1,0.0,0.7,0.5,0.1,0.2,0.0,24.3,5.9
25,CLE,CLE,15,KC,0.0,2.2,0.0,0.7,0.5,0.0,0.2,0.0,24.4,5.8
26,CHI,CHI,15,MIN,0.0,2.4,0.0,0.7,0.5,0.1,0.1,0.0,25.5,5.6
27,NO,NO,15,WAS,0.0,2.1,0.0,0.7,0.5,0.1,0.1,0.0,23.0,5.3
28,LAR,LAR,15,SF,0.0,2.1,0.0,0.7,0.5,0.1,0.1,0.0,25.6,5.3
29,NE,NE,15,ARI,0.0,2.0,0.0,0.7,0.5,0.1,0.1,0.0,25.1,5.2
30,DET,DET,15,BUF,0.0,2.0,0.0,0.7,0.5,0.1,0.1,0.0,25.5,5.2
31,NYG,NYG,15,BAL,0.0,1.8,0.0,0.5,0.4,0.0,0.1,0.0,27.7,4.2
32,BUF,BUF,15,DET,0.0,2.0,0.0,0.6,0.5,0.1,0.1,0.0,28.5,4.0
