rank,id,team,game.week,opp,tkl_loss,def_sck,qb_hits,def_int,fum_recovered,safeties,def_td,return_td,opp_pts,fpts_draftkings
1,DET,DET,11,JAX,0.0,2.6,0.0,0.9,0.7,0.1,0.3,0.0,18.4,8.8
2,MIN,MIN,11,TEN,0.0,2.7,0.0,0.8,0.7,0.1,0.3,0.0,17.2,8.7
3,HOU,HOU,11,DAL,0.0,2.6,0.0,0.9,0.7,0.0,0.3,0.0,17.6,8.6
4,GB,GB,11,CHI,0.0,2.7,0.0,0.8,0.7,0.0,0.3,0.0,17.6,8.5
5,MIA,MIA,11,LV,0.0,2.7,0.0,0.8,0.7,0.0,0.3,0.0,19.1,8.5
6,SF,SF,11,SEA,0.0,2.6,0.0,0.9,0.6,0.0,0.3,0.0,20.9,8.4
7,LAR,LAR,11,NE,0.0,2.6,0.0,0.8,0.7,0.0,0.3,0.0,19.7,8.4
8,NYJ,NYJ,11,IND,0.0,2.3,0.0,0.9,0.7,0.0,0.3,0.0,20.3,8.3
9,NO,NO,11,CLE,0.0,2.6,0.0,0.9,0.6,0.0,0.2,0.0,22.3,6.8
10,BAL,BAL,11,PIT,0.0,2.4,0.0,0.7,0.5,0.0,0.3,0.0,22.3,6.6
11,CLE,CLE,11,NO,0.0,2.2,0.0,0.7,0.6,0.0,0.3,0.0,22.5,6.6
12,KC,KC,11,BUF,0.0,2.1,0.0,0.7,0.6,0.0,0.3,0.0,24.2,6.5
13,DEN,DEN,11,ATL,0.0,2.4,0.0,0.8,0.6,0.0,0.2,0.0,21.7,6.4
14,BUF,BUF,11,KC,0.0,2.3,0.0,0.8,0.6,0.0,0.2,0.0,22.4,6.3
15,CHI,CHI,11,GB,0.0,2.3,0.0,0.8,0.6,0.0,0.2,0.0,22.7,6.3
16,ATL,ATL,11,DEN,0.0,2.2,0.0,0.8,0.6,0.0,0.2,0.0,22.5,6.2
17,LAC,LAC,11,CIN,0.0,2.6,0.0,0.7,0.5,0.0,0.2,0.0,22.8,6.2
18,PHI,PHI,11,WAS,0.0,2.3,0.0,0.7,0.6,0.0,0.2,0.0,22.0,6.1
19,IND,IND,11,NYJ,0.0,2.3,0.0,0.7,0.6,0.0,0.2,0.0,23.6,6.1
20,WAS,WAS,11,PHI,0.0,2.2,0.0,0.7,0.6,0.0,0.2,0.0,26.1,6.0
21,DAL,DAL,11,HOU,0.0,2.4,0.0,0.7,0.5,0.0,0.2,0.0,24.2,6.0
22,LV,LV,11,MIA,0.0,2.1,0.0,0.7,0.6,0.0,0.2,0.0,26.0,5.9
23,TEN,TEN,11,MIN,0.0,2.2,0.0,0.7,0.5,0.0,0.2,0.0,22.7,5.8
24,PIT,PIT,11,BAL,0.0,2.0,0.0,0.7,0.6,0.0,0.2,0.0,25.1,5.8
25,NE,NE,11,LAR,0.0,2.2,0.0,0.7,0.5,0.0,0.2,0.0,24.4,5.8
26,CIN,CIN,11,LAC,0.0,2.2,0.0,0.6,0.5,0.0,0.2,0.0,24.0,5.6
27,SEA,SEA,11,SF,0.0,2.1,0.0,0.7,0.5,0.0,0.2,0.0,28.0,4.7
28,JAX,JAX,11,DET,0.0,1.9,0.0,0.6,0.4,0.0,0.2,0.0,29.9,4.1
