rank,id,player,team,pos,game.week,opp,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,def_sck,def_int,fum_forced,fum_recovered,fpts_draftkings
1,19781,Lamar Jackson,BAL,QB,8,CLE,219.9,1.6,0.7,57.7,0.4,0.0,0.0,0.0,,,0.0,0.0,22.4
2,22526,Breece Hall,NYJ,RB,8,NE,0.0,0.0,0.0,80.7,0.7,4.1,35.3,0.1,,,0.0,0.0,20.4
3,19801,Josh Allen,BUF,QB,8,SEA,242.4,1.6,0.8,28.4,0.4,0.0,0.0,0.0,,,0.0,0.0,20.2
4,21831,Jalen Hurts,PHI,QB,8,CIN,218.5,1.3,0.8,34.9,0.6,0.0,0.0,0.0,,,0.0,0.0,19.8
5,21841,Jordan Love,GB,QB,8,JAX,264.3,2.1,0.8,11.0,0.1,0.0,0.0,0.0,,,0.0,0.0,19.8
6,18858,Joe Mixon,HOU,RB,8,IND,0.0,0.0,0.0,87.4,0.8,3.0,23.5,0.1,,,0.0,0.0,19.4
7,21685,Justin Jefferson,MIN,WR,8,LAR,0.0,0.0,0.0,0.7,0.0,6.0,92.4,0.6,,,0.0,0.0,18.8
8,21693,Joe Burrow,CIN,QB,8,PHI,258.4,1.8,0.8,13.7,0.1,0.0,0.0,0.0,,,0.0,0.0,18.6
9,22564,Ja'Marr Chase,CIN,WR,8,PHI,0.0,0.0,0.0,1.1,0.0,6.2,85.7,0.6,,,0.0,0.0,18.4
10,23241,Brock Purdy,SF,QB,8,DAL,247.0,1.6,0.7,13.3,0.2,0.0,0.0,0.0,,,0.0,0.0,17.9
11,20889,Kyler Murray,ARI,QB,8,MIA,202.0,1.3,0.8,39.0,0.3,0.0,0.0,0.0,,,0.0,0.0,17.9
12,18890,Patrick Mahomes,KC,QB,8,LV,242.6,1.4,0.7,21.6,0.2,0.0,0.0,0.0,,,0.0,0.0,17.8
13,23214,Kenneth Walker III,SEA,RB,8,BUF,0.0,0.0,0.0,68.3,0.6,3.6,26.2,0.2,,,0.0,0.0,17.8
