rank,id,player,team,pos,game.week,opp,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,def_sck,def_int,fum_forced,fum_recovered,fpts_draftkings
1,19781,Lamar Jackson,BAL,QB,13,PHI,227.4,1.6,0.7,48.8,0.3,0.0,0.0,0.0,,,0.0,0.0,21.3
2,21831,Jalen Hurts,PHI,QB,13,BAL,229.1,1.3,0.7,36.7,0.7,0.0,0.0,0.0,,,0.0,0.0,21.1
3,19801,Josh Allen,BUF,QB,13,SF,241.0,1.6,0.8,33.6,0.4,0.0,0.0,0.0,,,0.0,0.0,20.7
4,18878,Alvin Kamara,NO,RB,13,LAR,0.0,0.0,0.0,69.2,0.5,5.1,38.9,0.2,,,0.0,0.0,20.0
5,21693,Joe Burrow,CIN,QB,13,PIT,272.1,2.0,0.8,13.2,0.1,0.0,0.0,0.0,,,0.0,0.0,19.8
6,23235,Jayden Daniels,WAS,QB,13,TEN,220.3,1.3,0.7,42.8,0.4,0.0,0.0,0.0,,,0.0,0.0,19.8
7,18858,Joe Mixon,HOU,RB,13,JAX,0.0,0.0,0.0,87.6,0.8,3.1,24.2,0.1,,,0.0,0.0,19.6
8,18890,Patrick Mahomes,KC,QB,13,LV,256.9,1.8,0.7,21.4,0.1,0.0,0.0,0.0,,,0.0,0.0,19.3
9,21681,Justin Herbert,LAC,QB,13,ATL,241.3,1.8,0.5,18.9,0.2,0.0,0.0,0.0,,,0.0,0.0,19.2
10,23189,Bijan Robinson,ATL,RB,13,LAC,0.0,0.0,0.0,75.4,0.5,4.1,31.9,0.2,,,0.0,0.0,18.9
11,19790,Baker Mayfield,TB,QB,13,CAR,250.5,1.9,0.7,15.8,0.1,0.0,0.0,0.0,,,0.0,0.0,18.9
12,18877,Christian McCaffrey,SF,RB,13,BUF,0.0,0.0,0.0,75.2,0.5,4.0,32.7,0.2,,,0.0,0.0,18.9
13,22564,Ja'Marr Chase,CIN,WR,13,PIT,0.0,0.0,0.0,0.9,0.0,6.5,86.3,0.6,,,0.0,0.0,18.7
14,19766,Saquon Barkley,PHI,RB,13,BAL,0.0,0.0,0.0,90.6,0.6,2.9,22.7,0.1,,,0.0,0.0,18.3
15,23239,C.J. Stroud,HOU,QB,13,JAX,262.9,1.6,0.6,13.6,0.1,0.0,0.0,0.0,,,0.0,0.0,18.1
16,22526,Breece Hall,NYJ,RB,13,SEA,0.0,0.0,0.0,74.7,0.5,3.8,30.7,0.1,,,0.0,0.0,17.8
17,21756,Nico Collins,HOU,WR,13,JAX,0.0,0.0,0.0,0.3,0.0,5.9,90.0,0.5,,,0.0,0.0,17.8
18,24179,De'Von Achane,MIA,RB,13,GB,0.0,0.0,0.0,60.8,0.4,4.3,33.4,0.3,,,0.0,0.0,17.8
19,25069,Bo Nix,DEN,QB,13,CLE,229.7,1.4,0.8,24.3,0.3,0.0,0.0,0.0,,,0.0,0.0,17.8
20,24172,Puka Nacua,LAR,WR,13,NO,0.0,0.0,0.0,2.4,0.0,6.2,83.9,0.5,,,0.0,0.0,17.7
21,20889,Kyler Murray,ARI,QB,13,MIN,211.9,1.2,0.7,35.5,0.3,0.0,0.0,0.0,,,0.0,0.0,17.7
22,24374,Chase Brown,CIN,RB,13,PIT,0.0,0.0,0.0,73.1,0.5,4.0,29.2,0.1,,,0.0,0.0,17.7
23,19812,Sam Darnold,MIN,QB,13,ARI,252.8,1.7,0.8,12.3,0.1,0.0,0.0,0.0,,,0.0,0.0,17.6
24,23241,Brock Purdy,SF,QB,13,BUF,232.4,1.5,0.8,21.0,0.2,0.0,0.0,0.0,,,0.0,0.0,17.6
25,21042,A.J. Brown,PHI,WR,13,BAL,0.0,0.0,0.0,0.2,0.0,5.7,88.8,0.5,,,0.0,0.0,17.5
26,21841,Jordan Love,GB,QB,13,MIA,237.4,1.8,0.7,10.2,0.1,0.0,0.0,0.0,,,0.0,0.0,17.4
27,21685,Justin Jefferson,MIN,WR,13,ARI,0.0,0.0,0.0,0.5,0.0,5.7,85.7,0.5,,,0.0,0.0,17.2
28,23212,Kyren Williams,LAR,RB,13,NO,0.0,0.0,0.0,85.8,0.8,2.0,14.0,0.1,,,0.0,0.0,17.2
29,24117,Anthony Richardson,IND,QB,13,NE,191.8,1.1,0.9,40.0,0.4,0.0,0.0,0.0,,,0.0,0.0,17.2
30,17959,Derrick Henry,BAL,RB,13,PHI,0.0,0.0,0.0,94.6,0.9,1.0,7.8,0.1,,,0.0,0.0,17.1
31,9038,Matthew Stafford,LAR,QB,13,NO,253.6,1.7,0.8,3.6,0.1,0.0,0.0,0.0,,,0.0,0.0,17.0
32,22587,Amon-Ra St. Brown,DET,WR,13,CHI,0.0,0.0,0.0,1.1,0.0,6.6,73.0,0.5,,,0.0,0.0,16.9
33,23200,Jahmyr Gibbs,DET,RB,13,CHI,0.0,0.0,0.0,73.9,0.6,2.9,24.6,0.1,,,0.0,0.0,16.9
34,18882,Cooper Kupp,LAR,WR,13,NO,0.0,0.0,0.0,1.4,0.0,6.7,71.0,0.5,,,0.0,0.0,16.8
35,21677,Tua Tagovailoa,MIA,QB,13,GB,246.8,1.6,0.8,6.4,0.1,0.0,0.0,0.0,,,0.0,0.0,16.6
36,20824,Josh Jacobs,GB,RB,13,MIA,0.0,0.0,0.0,82.6,0.6,2.4,18.2,0.1,,,0.0,0.0,16.6
37,17922,Jared Goff,DET,QB,13,CHI,245.5,1.6,0.6,3.9,0.1,0.0,0.0,0.0,,,0.0,0.0,16.4
38,23214,Kenneth Walker III,SEA,RB,13,NYJ,0.0,0.0,0.0,66.9,0.6,3.2,23.5,0.1,,,0.0,0.0,16.3
39,21679,CeeDee Lamb,DAL,WR,13,NYG,0.0,0.0,0.0,5.3,0.0,6.5,69.6,0.4,,,0.0,0.0,16.3
40,14252,Kirk Cousins,ATL,QB,13,LAC,243.2,1.6,0.7,3.1,0.1,0.0,0.0,0.0,,,0.0,0.0,16.2
41,14895,Geno Smith,SEA,QB,13,NYJ,238.0,1.4,0.7,13.4,0.1,0.0,0.0,0.0,,,0.0,0.0,16.2
42,24927,Caleb Williams,CHI,QB,13,DET,222.4,1.2,0.9,23.6,0.2,0.0,0.0,0.0,,,0.0,0.0,16.2
43,21682,Jonathan Taylor,IND,RB,13,NE,0.0,0.0,0.0,80.4,0.7,1.8,13.1,0.1,,,0.0,0.0,15.8
44,14536,Russell Wilson,PIT,QB,13,CIN,222.9,1.3,0.6,13.3,0.2,0.0,0.0,0.0,,,0.0,0.0,15.8
45,21690,Tee Higgins,CIN,WR,13,PIT,0.0,0.0,0.0,0.2,0.0,5.6,73.2,0.5,,,0.0,0.0,15.8
46,24958,Drake Maye,NE,QB,13,IND,210.8,1.1,0.9,28.4,0.2,0.0,0.0,0.0,,,0.0,0.0,15.7
47,23151,Drake London,ATL,WR,13,LAC,0.0,0.0,0.0,0.3,0.0,5.6,69.7,0.5,,,0.0,0.0,15.5
48,19045,Aaron Jones,MIN,RB,13,ARI,0.0,0.0,0.0,69.4,0.4,2.8,21.6,0.2,,,0.0,0.0,15.4
49,21691,Chuba Hubbard,CAR,RB,13,TB,0.0,0.0,0.0,71.7,0.5,2.9,17.7,0.1,,,0.0,0.0,15.3
50,2593,Aaron Rodgers,NYJ,QB,13,SEA,231.7,1.4,0.6,5.5,0.1,0.0,0.0,0.0,,,0.0,0.0,15.3
51,22490,Trevor Lawrence,JAX,QB,13,HOU,222.5,1.3,0.8,14.5,0.1,0.0,0.0,0.0,,,0.0,0.0,15.2
52,16762,Jameis Winston,CLE,QB,13,DEN,244.6,1.2,1.1,11.3,0.1,0.0,0.0,0.0,,,0.0,0.0,15.1
