rank,id,player,team,pos,game.week,opp,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,def_sck,def_int,fum_forced,fum_recovered,fpts_draftkings
1,19801,Josh Allen,BUF,QB,9,MIA,256.4,1.8,0.8,33.1,0.5,0.0,0.0,0.0,,,0.0,0.0,22.6
2,21831,Jalen Hurts,PHI,QB,9,JAX,230.6,1.5,0.7,39.2,0.7,0.0,0.0,0.0,,,0.0,0.0,22.2
3,19781,Lamar Jackson,BAL,QB,9,DEN,229.1,1.6,0.7,55.0,0.3,0.0,0.0,0.0,,,0.0,0.0,21.9
4,21679,CeeDee Lamb,DAL,WR,9,ATL,0.0,0.0,0.0,5.5,0.1,6.9,87.9,0.6,,,0.0,0.0,20.3
5,18878,Alvin Kamara,NO,RB,9,CAR,0.0,0.0,0.0,69.6,0.6,4.8,36.9,0.2,,,0.0,0.0,20.1
6,23235,Jayden Daniels,WAS,QB,9,NYG,220.8,1.2,0.8,50.5,0.4,0.0,0.0,0.0,,,0.0,0.0,20.0
7,22564,Ja'Marr Chase,CIN,WR,9,LV,0.0,0.0,0.0,1.1,0.0,6.8,89.6,0.7,,,0.0,0.0,20.0
8,21685,Justin Jefferson,MIN,WR,9,IND,0.0,0.0,0.0,0.6,0.0,6.3,94.1,0.6,,,0.0,0.0,19.3
9,21693,Joe Burrow,CIN,QB,9,LV,261.9,1.9,0.7,13.8,0.1,0.0,0.0,0.0,,,0.0,0.0,19.2
10,18858,Joe Mixon,HOU,RB,9,NYJ,0.0,0.0,0.0,86.3,0.7,3.3,23.5,0.1,,,0.0,0.0,18.9
11,23212,Kyren Williams,LAR,RB,9,SEA,0.0,0.0,0.0,88.5,0.8,2.4,15.2,0.2,,,0.0,0.0,18.7
12,18890,Patrick Mahomes,KC,QB,9,TB,244.4,1.6,0.8,21.7,0.2,0.0,0.0,0.0,,,0.0,0.0,18.6
13,14252,Kirk Cousins,ATL,QB,9,DAL,271.7,1.9,0.8,2.9,0.1,0.0,0.0,0.0,,,0.0,0.0,18.5
14,20889,Kyler Murray,ARI,QB,9,CHI,209.1,1.3,0.8,41.6,0.3,0.0,0.0,0.0,,,0.0,0.0,18.4
15,19812,Sam Darnold,MIN,QB,9,IND,254.3,1.8,0.8,14.5,0.1,0.0,0.0,0.0,,,0.0,0.0,18.4
16,19766,Saquon Barkley,PHI,RB,9,JAX,0.0,0.0,0.0,92.7,0.7,2.6,16.8,0.1,,,0.0,0.0,18.2
17,23189,Bijan Robinson,ATL,RB,9,DAL,0.0,0.0,0.0,72.4,0.6,3.7,30.4,0.1,,,0.0,0.0,18.1
18,21042,A.J. Brown,PHI,WR,9,JAX,0.0,0.0,0.0,0.1,0.0,5.8,87.3,0.6,,,0.0,0.0,18.0
19,19045,Aaron Jones,MIN,RB,9,IND,0.0,0.0,0.0,77.6,0.5,3.3,26.8,0.2,,,0.0,0.0,17.8
20,18055,Dak Prescott,DAL,QB,9,ATL,254.1,1.8,0.9,8.2,0.1,0.0,0.0,0.0,,,0.0,0.0,17.8
21,22526,Breece Hall,NYJ,RB,9,HOU,0.0,0.0,0.0,71.8,0.5,3.7,31.5,0.1,,,0.0,0.0,17.5
22,23200,Jahmyr Gibbs,DET,RB,9,GB,0.0,0.0,0.0,73.3,0.6,3.0,24.9,0.2,,,0.0,0.0,17.5
23,23214,Kenneth Walker III,SEA,RB,9,LAR,0.0,0.0,0.0,63.6,0.6,3.7,26.8,0.2,,,0.0,0.0,17.4
24,17959,Derrick Henry,BAL,RB,9,DEN,0.0,0.0,0.0,95.4,0.9,1.1,7.8,0.1,,,0.0,0.0,17.3
25,14895,Geno Smith,SEA,QB,9,LAR,250.6,1.5,0.8,15.1,0.1,0.0,0.0,0.0,,,0.0,0.0,17.2
26,22587,Amon-Ra St. Brown,DET,WR,9,GB,0.0,0.0,0.0,0.7,0.0,6.3,70.2,0.6,,,0.0,0.0,16.9
27,24927,Caleb Williams,CHI,QB,9,ARI,224.4,1.4,0.8,25.2,0.1,0.0,0.0,0.0,,,0.0,0.0,16.8
28,24953,Malik Nabers,NYG,WR,9,WAS,0.0,0.0,0.0,1.1,0.0,6.4,73.9,0.5,,,0.0,0.0,16.8
29,23151,Drake London,ATL,WR,9,DAL,0.0,0.0,0.0,0.2,0.0,5.9,72.9,0.6,,,0.0,0.0,16.7
30,21841,Jordan Love,GB,QB,9,DET,234.5,1.7,0.8,8.0,0.1,0.0,0.0,0.0,,,0.0,0.0,16.7
31,9038,Matthew Stafford,LAR,QB,9,SEA,254.7,1.7,0.7,3.6,0.0,0.0,0.0,0.0,,,0.0,0.0,16.6
32,19790,Baker Mayfield,TB,QB,9,KC,237.6,1.5,0.9,14.4,0.1,0.0,0.0,0.0,,,0.0,0.0,16.5
33,24179,De'Von Achane,MIA,RB,9,BUF,0.0,0.0,0.0,53.4,0.4,4.2,34.4,0.2,,,0.0,0.0,16.5
34,21682,Jonathan Taylor,IND,RB,9,MIN,0.0,0.0,0.0,79.3,0.6,2.5,19.2,0.1,,,0.0,0.0,16.4
35,18082,Tyreek Hill,MIA,WR,9,BUF,0.0,0.0,0.0,3.3,0.0,5.7,74.6,0.5,,,0.0,0.0,16.4
36,25069,Bo Nix,DEN,QB,9,BAL,225.7,1.2,0.8,23.1,0.2,0.0,0.0,0.0,,,0.0,0.0,16.3
37,21677,Tua Tagovailoa,MIA,QB,9,BUF,241.6,1.5,0.8,9.5,0.1,0.0,0.0,0.0,,,0.0,0.0,16.3
38,17922,Jared Goff,DET,QB,9,GB,233.8,1.8,0.7,3.7,0.0,0.0,0.0,0.0,,,0.0,0.0,16.1
39,23239,C.J. Stroud,HOU,QB,9,NYJ,235.4,1.4,0.7,11.7,0.1,0.0,0.0,0.0,,,0.0,0.0,16.0
