rank,id,team,game.week,opp,tkl_loss,def_sck,qb_hits,def_int,fum_recovered,safeties,def_td,return_td,opp_pts,fpts_draftkings
1,2024.24,NYJ,4,DEN,0.0,2.5,0.0,0.9,0.7,0.1,0.3,0.0,16.9,8.7
2,2024.31,SF,4,NE,0.0,2.7,0.0,0.8,0.7,0.1,0.3,0.0,15.5,8.7
3,2024.16,KC,4,LAC,0.0,2.6,0.0,0.8,0.7,0.1,0.3,0.0,16.4,8.6
4,2024.8,CLE,4,LV,0.0,2.6,0.0,0.8,0.6,0.1,0.3,0.0,19.9,8.4
5,2024.9,DAL,4,NYG,0.0,2.6,0.0,0.8,0.6,0.1,0.3,0.0,20.0,8.4
6,2024.28,PIT,4,IND,0.0,2.5,0.0,0.8,0.6,0.1,0.3,0.0,19.1,8.3
7,2024.13,HOU,4,JAX,0.0,2.7,0.0,0.9,0.7,0.1,0.2,0.0,19.6,8.3
8,2024.19,MIA,4,TEN,0.0,2.8,0.0,0.8,0.7,0.1,0.2,0.0,18.3,8.2
9,2024.25,LV,4,CLE,0.0,2.8,0.0,0.8,0.6,0.1,0.2,0.0,20.3,8.0
10,2024.12,GB,4,MIN,0.0,2.6,0.0,0.8,0.6,0.1,0.2,0.0,20.4,7.8
11,2024.6,CHI,4,LAR,0.0,2.5,0.0,0.8,0.6,0.1,0.2,0.0,19.2,7.7
12,2024.34,TEN,4,MIA,0.0,2.5,0.0,0.8,0.6,0.1,0.2,0.0,19.0,7.7
13,2024.2,ATL,4,NO,0.0,2.3,0.0,0.7,0.6,0.1,0.2,0.0,20.5,7.3
14,2024.14,IND,4,PIT,0.0,2.3,0.0,0.7,0.6,0.1,0.2,0.0,20.9,7.3
15,2024.1,ARI,4,WAS,0.0,2.4,0.0,0.8,0.7,0.1,0.2,0.0,23.6,6.8
16,2024.11,DET,4,SEA,0.0,2.5,0.0,0.8,0.6,0.1,0.2,0.0,21.7,6.7
17,2024.32,LAR,4,CHI,0.0,2.5,0.0,0.8,0.6,0.1,0.2,0.0,21.7,6.7
18,2024.7,CIN,4,CAR,0.0,2.4,0.0,0.8,0.6,0.1,0.2,0.0,21.5,6.6
19,2024.26,PHI,4,TB,0.0,2.5,0.0,0.7,0.6,0.1,0.2,0.0,21.8,6.5
20,2024.4,BUF,4,BAL,0.0,2.3,0.0,0.8,0.6,0.1,0.2,0.0,24.6,6.5
21,2024.20,MIN,4,GB,0.0,2.4,0.0,0.7,0.6,0.1,0.2,0.0,22.7,6.4
22,2024.3,BAL,4,BUF,0.0,2.2,0.0,0.8,0.6,0.1,0.2,0.0,22.2,6.4
23,2024.22,NO,4,ATL,0.0,2.4,0.0,0.7,0.6,0.1,0.2,0.0,21.6,6.4
24,2024.23,NYG,4,DAL,0.0,2.5,0.0,0.8,0.6,0.1,0.1,0.0,24.3,6.1
25,2024.33,TB,4,PHI,0.0,2.2,0.0,0.7,0.5,0.1,0.2,0.0,22.8,6.0
26,2024.29,LAC,4,KC,0.0,2.1,0.0,0.7,0.5,0.1,0.2,0.0,23.8,5.9
27,2024.10,DEN,4,NYJ,0.0,2.1,0.0,0.7,0.5,0.1,0.2,0.0,23.6,5.9
28,2024.35,WAS,4,ARI,0.0,2.1,0.0,0.7,0.6,0.0,0.2,0.0,26.9,5.9
29,2024.5,CAR,4,CIN,0.0,2.2,0.0,0.8,0.5,0.1,0.1,0.0,25.7,5.6
30,2024.15,JAX,4,HOU,0.0,2.4,0.0,0.7,0.5,0.1,0.1,0.0,25.7,5.6
31,2024.30,SEA,4,DET,0.0,2.1,0.0,0.7,0.5,0.1,0.1,0.0,26.1,5.3
32,2024.21,NE,4,SF,0.0,2.1,0.0,0.7,0.5,0.1,0.1,0.0,26.5,5.3
