rank,id,team,game.week,opp,tkl_loss,def_sck,qb_hits,def_int,fum_recovered,safeties,def_td,return_td,opp_pts,fpts_draftkings
1,2024.30,SEA,5,NYG,0.0,2.7,0.0,0.9,0.7,0.1,0.2,0.0,19.0,8.3
2,2024.35,WAS,5,CLE,0.0,2.6,0.0,0.8,0.6,0.0,0.3,0.0,20.6,8.2
3,2024.10,DEN,5,LV,0.0,2.7,0.0,0.8,0.7,0.1,0.2,0.0,17.6,8.1
4,2024.21,NE,5,MIA,0.0,2.6,0.0,0.8,0.7,0.1,0.2,0.0,20.6,8.0
5,2024.6,CHI,5,CAR,0.0,2.5,0.0,0.8,0.7,0.1,0.2,0.0,18.9,7.9
6,2024.28,PIT,5,DAL,0.0,2.6,0.0,0.8,0.6,0.1,0.2,0.0,20.6,7.8
7,2024.16,KC,5,NO,0.0,2.4,0.0,0.7,0.5,0.1,0.3,0.0,18.8,7.8
8,2024.25,LV,5,DEN,0.0,2.4,0.0,0.8,0.6,0.1,0.2,0.0,20.2,7.6
9,2024.2,ATL,5,TB,0.0,2.4,0.0,0.8,0.6,0.1,0.2,0.0,20.8,7.6
10,2024.19,MIA,5,NE,0.0,2.4,0.0,0.7,0.7,0.1,0.2,0.0,17.9,7.6
11,2024.20,MIN,5,NYJ,0.0,2.7,0.0,0.7,0.5,0.1,0.2,0.0,18.9,7.5
12,2024.31,SF,5,ARI,0.0,2.4,0.0,0.7,0.6,0.1,0.2,0.0,20.2,7.4
13,2024.24,NYJ,5,MIN,0.0,2.4,0.0,0.7,0.6,0.1,0.3,0.0,21.1,7.0
14,2024.4,BUF,5,HOU,0.0,2.4,0.0,0.8,0.6,0.1,0.2,0.0,24.0,6.6
15,2024.12,GB,5,LAR,0.0,2.4,0.0,0.8,0.6,0.1,0.2,0.0,22.3,6.6
16,2024.33,TB,5,ATL,0.0,2.3,0.0,0.8,0.6,0.1,0.2,0.0,22.4,6.5
17,2024.9,DAL,5,PIT,0.0,2.3,0.0,0.8,0.6,0.1,0.2,0.0,22.9,6.5
18,2024.5,CAR,5,CHI,0.0,2.3,0.0,0.8,0.6,0.1,0.2,0.0,23.1,6.5
19,2024.3,BAL,5,CIN,0.0,2.3,0.0,0.7,0.6,0.1,0.2,0.0,23.8,6.3
20,2024.14,IND,5,JAX,0.0,2.3,0.0,0.7,0.6,0.1,0.2,0.0,24.1,6.3
21,2024.22,NO,5,KC,0.0,2.0,0.0,0.8,0.6,0.1,0.2,0.0,24.9,6.2
22,2024.15,JAX,5,IND,0.0,2.2,0.0,0.7,0.6,0.1,0.2,0.0,21.6,6.2
23,2024.8,CLE,5,WAS,0.0,2.1,0.0,0.7,0.6,0.1,0.2,0.0,23.8,6.1
24,2024.13,HOU,5,BUF,0.0,2.0,0.0,0.7,0.6,0.1,0.2,0.0,23.1,6.0
25,2024.32,LAR,5,GB,0.0,2.0,0.0,0.7,0.5,0.1,0.2,0.0,25.6,5.8
26,2024.23,NYG,5,SEA,0.0,2.3,0.0,0.7,0.5,0.1,0.1,0.0,24.6,5.5
27,2024.7,CIN,5,BAL,0.0,2.0,0.0,0.7,0.5,0.1,0.1,0.0,26.7,5.2
28,2024.1,ARI,5,SF,0.0,2.0,0.0,0.7,0.5,0.1,0.1,0.0,28.7,4.2
