rank,id,player,team,pos,game.week,opp,pass_yds,pass_td,pass_int,rush_yds,rush_td,rec,rec_yds,rec_td,def_sck,def_int,fum_forced,fum_recovered,fpts_draftkings
44,16906,Stefon Diggs,HOU,WR,5,BUF,0.0,0.0,0.0,1.3,0.0,5.4,58.2,0.5,,,0.0,0.0,14.2
45,21696,Travis Etienne Jr.,JAX,RB,5,IND,0.0,0.0,0.0,58.5,0.5,2.9,19.3,0.1,,,0.0,0.0,14.2
46,24179,De'Von Achane,MIA,RB,5,NE,0.0,0.0,0.0,47.2,0.4,3.7,28.1,0.1,,,0.0,0.0,14.1
47,23170,Wan'Dale Robinson,NYG,WR,5,SEA,0.0,0.0,0.0,5.0,0.0,6.3,52.6,0.3,,,0.0,0.0,13.9
48,24974,Marvin Harrison Jr.,ARI,WR,5,SF,0.0,0.0,0.0,0.4,0.0,4.3,66.2,0.5,,,0.0,0.0,13.9
49,18983,James Conner,ARI,RB,5,SF,0.0,0.0,0.0,66.0,0.6,1.8,13.5,0.1,,,0.0,0.0,13.8
50,23153,George Pickens,PIT,WR,5,DAL,0.0,0.0,0.0,0.5,0.0,4.7,67.8,0.4,,,0.0,0.0,13.8
51,23247,James Cook,BUF,RB,5,HOU,0.0,0.0,0.0,63.4,0.4,2.3,22.6,0.1,,,0.0,0.0,13.8
52,23122,Garrett Wilson,NYJ,WR,5,MIN,0.0,0.0,0.0,1.4,0.0,5.0,62.7,0.4,,,0.0,0.0,13.7
53,21684,D'Andre Swift,CHI,RB,5,CAR,0.0,0.0,0.0,62.2,0.4,2.7,18.9,0.1,,,0.0,0.0,13.7
54,15048,Travis Kelce,KC,TE,5,NO,0.0,0.0,0.0,0.2,0.0,5.1,56.7,0.5,,,0.0,0.0,13.7
55,16597,Mike Evans,TB,WR,5,ATL,0.0,0.0,0.0,0.1,0.0,4.5,62.8,0.5,,,0.0,0.0,13.7
56,21744,Michael Pittman Jr.,IND,WR,5,JAX,0.0,0.0,0.0,0.1,0.0,5.7,62.7,0.3,,,0.0,0.0,13.7
57,22565,Chris Olave,NO,WR,5,KC,0.0,0.0,0.0,0.8,0.0,5.0,67.4,0.3,,,0.0,0.0,13.5
58,16311,Derek Carr,NO,QB,5,KC,210.6,1.2,0.7,4.0,0.1,0.0,0.0,0.0,,,0.0,0.0,13.3
59,12841,Andy Dalton,CAR,QB,5,CHI,198.0,1.2,0.8,7.7,0.1,0.0,0.0,0.0,,,0.0,0.0,13.3
60,16765,Amari Cooper,CLE,WR,5,WAS,0.0,0.0,0.0,0.1,0.0,4.5,64.7,0.4,,,0.0,0.0,13.3
61,19844,DJ Moore,CHI,WR,5,CAR,0.0,0.0,0.0,3.4,0.0,4.9,56.9,0.4,,,0.0,0.0,13.2
62,20873,Terry McLaurin,WAS,WR,5,CLE,0.0,0.0,0.0,0.1,0.0,4.7,60.2,0.4,,,0.0,0.0,13.0
63,23205,Jerome Ford,CLE,RB,5,WAS,0.0,0.0,0.0,50.4,0.3,3.4,22.6,0.1,,,0.0,0.0,13.0
64,24933,Brian Thomas Jr.,JAX,WR,5,IND,0.0,0.0,0.0,0.7,0.0,4.4,60.1,0.4,,,0.0,0.0,12.8
65,19063,George Kittle,SF,TE,5,ARI,0.0,0.0,0.0,0.2,0.0,4.4,54.4,0.5,,,0.0,0.0,12.8
66,25069,Bo Nix,DEN,QB,5,LV,174.0,0.9,0.9,21.3,0.2,0.0,0.0,0.0,,,0.0,0.0,12.7
67,18082,Tyreek Hill,MIA,WR,5,NE,0.0,0.0,0.0,6.4,0.0,4.4,53.5,0.4,,,0.0,0.0,12.7
68,19815,Christian Kirk,JAX,WR,5,IND,0.0,0.0,0.0,0.6,0.0,4.7,55.8,0.4,,,0.0,0.0,12.6
69,23253,Dontayvion Wicks,GB,WR,5,LAR,0.0,0.0,0.0,0.5,0.0,4.1,54.0,0.5,,,0.0,0.0,12.6
70,23729,Rashid Shaheed,NO,WR,5,KC,0.0,0.0,0.0,5.2,0.0,4.0,56.9,0.4,,,0.0,0.0,12.5
71,20880,Gardner Minshew II,LV,QB,5,DEN,201.7,1.0,0.8,6.0,0.1,0.0,0.0,0.0,,,0.0,0.0,12.4
72,21747,Brandon Aiyuk,SF,WR,5,ARI,0.0,0.0,0.0,0.4,0.0,4.1,58.9,0.4,,,0.0,0.0,12.3
73,22558,Javonte Williams,DEN,RB,5,LV,0.0,0.0,0.0,55.2,0.3,2.7,18.0,0.1,,,0.0,0.0,12.3
74,23157,Jaxon Smith-Njigba,SEA,WR,5,NYG,0.0,0.0,0.0,0.3,0.0,5.2,53.5,0.3,,,0.0,0.0,12.3
75,21784,Zack Moss,CIN,RB,5,BAL,0.0,0.0,0.0,44.3,0.4,2.8,20.3,0.1,,,0.0,0.0,12.3
76,21690,Tee Higgins,CIN,WR,5,BAL,0.0,0.0,0.0,0.1,0.0,4.1,57.0,0.4,,,0.0,0.0,12.1
77,23120,Zay Flowers,BAL,WR,5,CIN,0.0,0.0,0.0,4.0,0.0,4.6,53.4,0.3,,,0.0,0.0,12.0
78,20876,Jakobi Meyers,LV,WR,5,DEN,0.0,0.0,0.0,1.4,0.0,5.0,51.9,0.3,,,0.0,0.0,12.0
79,18944,Kareem Hunt,KC,RB,5,NO,0.0,0.0,0.0,52.7,0.4,2.2,15.0,0.1,,,0.0,0.0,12.0
80,19800,Courtland Sutton,DEN,WR,5,LV,0.0,0.0,0.0,0.1,0.0,4.3,53.4,0.4,,,0.0,0.0,11.9
81,23190,Brian Robinson Jr.,WAS,RB,5,CLE,0.0,0.0,0.0,58.4,0.4,1.7,13.1,0.1,,,0.0,0.0,11.8
82,24145,Josh Downs,IND,WR,5,JAX,0.0,0.0,0.0,0.5,0.0,4.8,51.8,0.3,,,0.0,0.0,11.7
83,24924,Xavier Worthy,KC,WR,5,NO,0.0,0.0,0.0,6.3,0.0,3.2,48.2,0.5,,,0.0,0.0,11.7
84,24176,Tank Dell,HOU,WR,5,BUF,0.0,0.0,0.0,5.4,0.0,4.0,52.7,0.3,,,0.0,0.0,11.5
85,21810,Tyler Huntley,MIA,QB,5,NE,155.7,0.7,0.9,23.8,0.2,0.0,0.0,0.0,,,0.0,0.0,11.5
86,24117,Anthony Richardson,IND,QB,5,JAX,164.2,0.9,0.7,9.3,0.2,0.0,0.0,0.0,,,0.0,0.0,11.4
87,21961,Darnell Mooney,ATL,WR,5,TB,0.0,0.0,0.0,0.4,0.0,3.7,51.6,0.4,,,0.0,0.0,11.3
88,23251,Trey McBride,ARI,TE,5,SF,0.0,0.0,0.0,0.0,0.0,4.8,47.3,0.3,,,0.0,0.0,11.2
89,21801,Trey Sermon,IND,RB,5,JAX,0.0,0.0,0.0,56.8,0.5,1.5,10.5,0.0,,,0.0,0.0,11.2
90,23162,Jordan Addison,MIN,WR,5,NYJ,0.0,0.0,0.0,2.3,0.0,3.6,49.8,0.4,,,0.0,0.0,11.2
91,15076,Keenan Allen,CHI,WR,5,CAR,0.0,0.0,0.0,0.2,0.0,4.5,49.7,0.3,,,0.0,0.0,11.2
92,25092,Tyrone Tracy Jr.,NYG,RB,5,SEA,0.0,0.0,0.0,47.7,0.3,2.3,17.6,0.1,,,0.0,0.0,11.1
93,21692,Jerry Jeudy,CLE,WR,5,WAS,0.0,0.0,0.0,0.3,0.0,4.1,51.5,0.3,,,0.0,0.0,11.0
94,23138,Jake Ferguson,DAL,TE,5,PIT,0.0,0.0,0.0,0.0,0.0,4.6,46.0,0.3,,,0.0,0.0,10.9
95,18018,Jacoby Brissett,NE,QB,5,MIA,172.8,0.8,0.7,10.5,0.1,0.0,0.0,0.0,,,0.0,0.0,10.9
96,20868,Alexander Mattison,LV,RB,5,DEN,0.0,0.0,0.0,47.9,0.3,2.1,16.2,0.1,,,0.0,0.0,10.8
97,25201,Jordan Whittington,LAR,WR,5,GB,0.0,0.0,0.0,1.2,0.0,4.2,46.8,0.3,,,0.0,0.0,10.8
98,24943,Brock Bowers,LV,TE,5,DEN,0.0,0.0,0.0,0.2,0.0,4.3,46.5,0.3,,,0.0,0.0,10.7
99,21717,Jauan Jennings,SF,WR,5,ARI,0.0,0.0,0.0,0.3,0.0,3.7,50.6,0.3,,,0.0,0.0,10.6
100,24102,Dalton Kincaid,BUF,TE,5,HOU,0.0,0.0,0.0,0.0,0.0,4.3,45.3,0.3,,,0.0,0.0,10.5
101,23217,Rachaad White,TB,RB,5,ATL,0.0,0.0,0.0,34.7,0.2,2.9,23.9,0.1,,,0.0,0.0,10.5
102,22602,Tutu Atwell,LAR,WR,5,GB,0.0,0.0,0.0,1.4,0.0,3.5,50.2,0.3,,,0.0,0.0,10.5
103,25003,Xavier Legette,CAR,WR,5,CHI,0.0,0.0,0.0,3.4,0.0,3.6,46.4,0.3,,,0.0,0.0,10.4
104,21861,Antonio Gibson,NE,RB,5,MIA,0.0,0.0,0.0,42.1,0.3,2.0,16.4,0.1,,,0.0,0.0,10.2
105,24177,Tre Tucker,LV,WR,5,DEN,0.0,0.0,0.0,4.0,0.0,3.7,42.0,0.3,,,0.0,0.0,10.1
106,22546,Rhamondre Stevenson,NE,RB,5,MIA,0.0,0.0,0.0,48.6,0.3,1.8,11.3,0.1,,,0.0,0.0,10.1
107,16830,Tyler Lockett,SEA,WR,5,NYG,0.0,0.0,0.0,0.1,0.0,3.8,44.5,0.3,,,0.0,0.0,10.1
108,24964,Keon Coleman,BUF,WR,5,HOU,0.0,0.0,0.0,0.1,0.0,3.3,46.0,0.3,,,0.0,0.0,9.7
109,22598,Jaylen Waddle,MIA,WR,5,NE,0.0,0.0,0.0,1.5,0.0,3.9,43.8,0.2,,,0.0,0.0,9.6
110,14688,Justin Tucker,BAL,K,5,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,9.6
111,21952,Rico Dowdle,DAL,RB,5,PIT,0.0,0.0,0.0,39.7,0.2,2.2,15.9,0.1,,,0.0,0.0,9.6
