Rank,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Patrick Mahomes,KC,QB,12,TB,315.2,2.3,0.5,18.6,0.2,0,0,0,0,0,0,0,27.3,27.27
2,Dalvin Cook,MIN,RB,12,CAR,0,0,0,101.8,0.9,3.6,32.8,0.1,0,0,0,0,25.9,25.86
3,Kyler Murray,ARI,QB,12,NE,259.4,1.7,0.9,47.8,0.5,0,0,0,0,0,0,0,24,23.96
4,Josh Allen,BUF,QB,12,LAC,262.9,1.9,0.9,37,0.4,0,0,0,0,0,0,0,23.1,23.12
5,Deshaun Watson,HOU,QB,12,DET,287.7,1.9,0.9,31.7,0.3,0,0,0,0,0,0,0,23.1,23.08
6,Russell Wilson,SEA,QB,12,PHI,281.9,2.2,0.6,26.5,0.1,0,0,0,0,0,0,0,22.6,22.63
7,Davante Adams,GB,WR,12,CHI,0,0,0,0,0,7.7,93.5,0.8,0,0,0,0,21.8,21.85
8,Justin Herbert,LAC,QB,12,BUF,282.1,1.9,0.8,18.9,0.3,0,0,0,0,0,0,0,21.7,21.67
9,Aaron Rodgers,GB,QB,12,CHI,279.7,2.2,0.5,8.6,0.1,0,0,0,0,0,0,0,20.8,20.85
10,Cam Newton,NE,QB,12,ARI,218.4,1.3,0.7,38.3,0.5,0,0,0,0,0,0,0,20,19.97
11,Taysom Hill,NO,TE,12,DEN,197.7,1.3,0.8,47.8,0.5,0,0,0,0,0,0,0,19.9,19.89
12,Keenan Allen,LAC,WR,12,BUF,0,0,0,0.4,0,7.3,83.1,0.6,0,0,0,0,19.2,19.15
13,Daniel Jones,NYG,QB,12,CIN,243.3,1.6,0.9,29.1,0.2,0,0,0,0,0,0,0,19.1,19.14
14,Derek Carr,LV,QB,12,ATL,272,1.9,0.6,7.1,0.1,0,0,0,0,0,0,0,19,18.99
15,Matt Ryan,ATL,QB,12,LV,295.8,1.9,0.9,5.2,0,0,0,0,0,0,0,0,19,18.95
16,Ryan Fitzpatrick,MIA,QB,12,NYJ,264.3,1.9,0.8,10.5,0.1,0,0,0,0,0,0,0,18.9,18.92
17,Tom Brady,TB,QB,12,KC,285.3,1.9,0.8,1.9,0.1,0,0,0,0,0,0,0,18.9,18.9
18,Tyreek Hill,KC,WR,12,TB,0,0,0,5.4,0.1,5.5,80,0.7,0,0,0,0,18.8,18.84
19,Travis Kelce,KC,TE,12,TB,0,0,0,0,0,6.6,84.1,0.6,0,0,0,0,18.6,18.61
20,Ben Roethlisberger,PIT,QB,12,BAL,279.8,2,0.8,2.4,0,0,0,0,0,0,0,0,18.5,18.53
21,Teddy Bridgewater,CAR,QB,12,MIN,265.3,1.7,0.8,13.4,0.1,0,0,0,0,0,0,0,18.4,18.45
21,Jared Goff,LAR,QB,12,SF,274,1.8,0.8,6.9,0.1,0,0,0,0,0,0,0,18.4,18.45
23,Alvin Kamara,NO,RB,12,DEN,0,0,0,58.9,0.6,4.3,35.5,0.2,0,0,0,0,18.4,18.44
