Rank,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Patrick Mahomes,KC,QB,13,DEN,305.2,2.5,0.5,21.6,0.2,0,0,0,0,0,0,0,28,27.97
2,Dalvin Cook,MIN,RB,13,JAX,0,0,0,102.5,1,3.3,30.4,0.1,0,0,0,0,26,25.99
3,Russell Wilson,SEA,QB,13,NYG,293.2,2.3,0.6,26.6,0.2,0,0,0,0,0,0,0,24.1,24.09
4,Davante Adams,GB,WR,13,PHI,0,0,0,0,0,7.8,97.9,0.8,0,0,0,0,22.4,22.39
5,Derrick Henry,TEN,RB,13,CLE,0,0,0,103.7,0.9,1.4,11.4,0.1,0,0,0,0,21.8,21.81
6,Aaron Rodgers,GB,QB,13,PHI,285.7,2.3,0.4,10.5,0.1,0,0,0,0,0,0,0,21.8,21.78
7,Kyler Murray,ARI,QB,13,LAR,231.3,1.5,0.8,43.4,0.5,0,0,0,0,0,0,0,21.7,21.69
8,Justin Herbert,LAC,QB,13,NE,285.1,1.8,0.8,18.7,0.3,0,0,0,0,0,0,0,21.4,21.37
9,Deshaun Watson,HOU,QB,13,IND,273.4,1.8,0.8,28.6,0.2,0,0,0,0,0,0,0,21.3,21.3
10,Tyreek Hill,KC,WR,13,DEN,0,0,0,5.9,0.1,5.9,87.8,0.8,0,0,0,0,20.7,20.67
11,Lamar Jackson,BAL,QB,13,DAL,202.5,1.6,0.6,51.4,0.3,0,0,0,0,0,0,0,20.6,20.64
12,Josh Allen,BUF,QB,13,SF,241.6,1.6,0.9,31,0.4,0,0,0,0,0,0,0,20.5,20.46
13,Ryan Tannehill,TEN,QB,13,CLE,250.6,1.9,0.6,17.1,0.2,0,0,0,0,0,0,0,19.8,19.83
14,Cam Newton,NE,QB,13,LAC,211.2,1.1,0.8,40,0.6,0,0,0,0,0,0,0,19.6,19.55
15,Taysom Hill,NO,TE,13,ATL,193.4,1.1,0.7,46.7,0.6,0,0,0,0,0,0,0,19.5,19.51
16,Kirk Cousins,MIN,QB,13,JAX,273.2,2,0.7,5,0.1,0,0,0,0,0,0,0,19.1,19.13
17,DK Metcalf,SEA,WR,13,NYG,0,0,0,0.6,0,5.6,91.6,0.7,0,0,0,0,19,19.02
18,Derek Carr,LV,QB,13,NYJ,270.8,1.9,0.6,7.2,0.1,0,0,0,0,0,0,0,19,18.95
19,Austin Ekeler,LAC,RB,13,NE,0,0,0,55.9,0.3,5.2,48,0.2,0,0,0,0,18.5,18.49
20,Ben Roethlisberger,PIT,QB,13,WAS,274.6,2,0.7,2.4,0,0,0,0,0,0,0,0,18.4,18.42
21,Jared Goff,LAR,QB,13,ARI,283.1,1.7,0.9,6.9,0.1,0,0,0,0,0,0,0,18.3,18.31
22,Travis Kelce,KC,TE,13,DEN,0,0,0,0.1,0,6.4,81.5,0.6,0,0,0,0,18.2,18.16
