Rank,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Alvin Kamara,NO,RB,4,DET,0,0,0,55,0.8,8.2,83.2,0.5,0,0,0,0,29.7,29.72
2,Russell Wilson,SEA,QB,4,MIA,305.5,2.5,0.5,24.1,0.2,0,0,0,0,0,0,0,28.2,28.23
3,Patrick Mahomes,KC,QB,4,NE,311,2.5,0.6,20.7,0.2,0,0,0,0,0,0,0,28,28.01
4,Dak Prescott,DAL,QB,4,CLE,327.8,2.2,0.8,23.6,0.2,0,0,0,0,0,0,0,27.6,27.57
5,Lamar Jackson,BAL,QB,4,WAS,241.9,1.9,0.6,64.7,0.4,0,0,0,0,0,0,0,25.4,25.45
6,Josh Allen,BUF,QB,4,LV,270.9,1.8,0.8,39.6,0.6,0,0,0,0,0,0,0,24.7,24.7
7,Kyler Murray,ARI,QB,4,CAR,277.2,1.9,0.9,38.3,0.4,0,0,0,0,0,0,0,23.9,23.92
8,Matt Ryan,ATL,QB,4,GB,306.6,1.8,0.8,6.4,0.1,0,0,0,0,0,0,0,22.8,22.8
9,Deshaun Watson,HOU,QB,4,MIN,280.1,2,0.8,26.4,0.3,0,0,0,0,0,0,0,22.7,22.74
10,Aaron Rodgers,GB,QB,4,ATL,284.9,2.2,0.4,13.1,0.1,0,0,0,0,0,0,0,21.6,21.61
11,Joe Burrow,CIN,QB,4,JAX,268,1.8,0.9,28,0.3,0,0,0,0,0,0,0,21.4,21.42
12,Ezekiel Elliott,DAL,RB,4,CLE,0,0,0,81.7,0.8,4.1,28.9,0.2,0,0,0,0,21.1,21.06
13,Jared Goff,LAR,QB,4,NYG,292.5,2,0.8,8.7,0.2,0,0,0,0,0,0,0,20.9,20.87
14,Dalvin Cook,MIN,RB,4,HOU,0,0,0,90.4,0.8,3.3,29,0.1,0,0,0,0,20.4,20.44
15,Matthew Stafford,DET,QB,4,NO,293.8,1.9,0.7,5.6,0.1,0,0,0,0,0,0,0,19.7,19.71
16,Aaron Jones,GB,RB,4,ATL,0,0,0,69.5,0.9,3.3,29.1,0.2,0,0,0,0,19.7,19.66
17,Ryan Fitzpatrick,MIA,QB,4,SEA,273.1,1.7,1.1,17.3,0.2,0,0,0,0,0,0,0,19.4,19.45
18,Tom Brady,TB,QB,4,LAC,275.4,1.9,0.7,3.1,0.2,0,0,0,0,0,0,0,19.3,19.33
19,Drew Brees,NO,QB,4,DET,286.2,2,0.5,0.4,0,0,0,0,0,0,0,0,18.9,18.89
