"","player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","pass_300_yds","pass_300_yds_sd","return_tds","return_tds_sd","rush_100_yds","rush_100_yds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","rec_100_yds","rec_100_yds_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","injury_status","injury_details","week","season_year"
"1","Patrick Mahomes","KC","QB","2558125","robust",310.9,6.81996000000003,2.24,0.311346,0.8,0,21.105,1.92738,0.2,0,0.11,0.029652,0.13,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Tom Brady","TB","QB","2504211","robust",295.475,7.84295400000003,1.67,0.281694,0.5225,0.103782,0.925,1.03782,0.05,0.059304,0.18125,0.0555975,0.03,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Justin Herbert","LAC","QB","2565045","robust",275.2,5.63388000000002,1.695,0.429954,0.77,0.103782,9.73,4.833276,0.1,0,0.1325,0.0481845,0.22,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Josh Allen","BUF","QB","2560955","robust",272.175,5.48561999999998,2,0,0.9,0.103782,42.9575,0.340997999999995,0.4,0,0.18875,0.0333585,0.09,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Jimmy Garoppolo","SF","QB","2543801","robust",251.8825,8.00604000000001,1.925,0.0444779999999997,0.79,0.266868,3.65,3.26172,0.09,0.029652,0.18375,0.0481845,0.03,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Jared Goff","DET","QB","2555334","robust",244.85,6.37518000000002,1.6375,0.14826,0.805,0.14826,4.8,0.59304,0.0725,0.029652,0.2425,0.0630105,0.23,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Tua Tagovailoa","MIA","QB","2564499","robust",268.35,2.06081399999998,1.9,0.163086,0.8,0.0889560000000001,9.6,2.52042,0.115,0.044478,0.08125,0.0259455,0.07,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Matt Ryan","IND","QB","310","robust",252.6,10.192875,1.2325,0.22239,0.7475,0.0593040000000001,4,1.237971,0.075,0.037065,0.13,0.051891,0.04,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Jalen Hurts","PHI","QB","2564832","robust",240.7625,1.40846999999998,1.7975,0.29652,0.6775,0.0444779999999999,42.53,2.81694,0.5,0.14826,0.15,0.07413,0.2,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Kirk Cousins","MIN","QB","2532820","robust",254.4,9.78515999999999,1.5,0.237216,0.8,0.22239,6.92,0.859908,0.095,0.014826,0.18125,0.0555975,0.13,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
