"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Travis Kelce","TE","KC",19.7,0.358,1.42,18.3,20.5,13.4,13,12.9,1,1,1,1,"1",NA,NA,9
"2","Mark Andrews","TE","BAL",18.3,2.29,4.55,15.8,20,12,10.5,12.4,2,3,2,2,"2",NA,NA,94
"3","Cooper Kupp","WR","LAR",23.5,1.23,2.6,22.3,24.8,11.8,12.2,11.7,3,2,3,1,"1",NA,NA,58
"4","Davante Adams","WR","LVR",20.9,0.983,0.373,19.6,22.9,9.2,9.55,9.83,4,4,5,2,"1",NA,NA,43
"5","Stefon Diggs","WR","BUF",20.5,2.35,0.216,18.9,22.2,8.82,8.8,9.15,5,7,13,3,"1",NA,NA,94
"6","Justin Jefferson","WR","MIN",20.3,0.657,0.986,18.7,22.2,8.61,8.61,9.17,6,8,12,4,"2",NA,NA,19
"7","Saquon Barkley","RB","NYG",20.8,0.86,0.759,19.5,23.1,8.58,9.44,9.75,7,5,6,1,"1",NA,NA,37
"8","Austin Ekeler","RB","LAC",20,0.756,0.199,19,20.8,7.82,8.93,7.45,8,6,22,2,"1",NA,NA,31
"9","Christian McCaffrey","RB","CAR",19.8,1.09,1.22,17.8,21.1,7.63,7.78,7.69,9,9,21,3,"2",NA,NA,61
"10","Ja'Marr Chase","WR","CIN",19.3,2.18,0.406,17,22.2,7.62,6.96,9.2,10,13,10,5,"3",NA,NA,86
"11","T.J. Hockenson","TE","DET",13.8,2.46,0.5,11.6,17.7,7.47,6.22,10.1,11,17,4,3,"3",NA,NA,97
"12","Josh Allen","QB","BUF",25.6,0.518,0.833,25,28.9,7.31,7.57,9.18,12,12,11,1,"1",NA,NA,15
"13","Mike Evans","WR","TB",18.9,1.18,0.194,16.6,20.4,7.22,6.53,7.34,13,15,23,6,"3",NA,NA,55
"14","Tyreek Hill","WR","MIA",18.7,0.682,0.8,17.8,22.4,7.02,7.71,9.34,14,10,9,7,"4",NA,NA,22
"15","Darren Waller","TE","LVR",13.3,1.49,1.37,11.5,17.2,6.97,6.18,9.63,15,20,7,4,"4",NA,NA,82
"16","Jalen Hurts","QB","PHI",24.7,2.44,0.305,22,29.2,6.47,4.54,9.46,16,33,8,2,"1",NA,NA,97
"17","Derrick Henry","RB","TEN",18.6,1.34,0.261,16.3,21.6,6.41,6.21,8.18,17,18,15,4,"2",NA,NA,71
"18","A.J. Brown","WR","PHI",17.9,0.767,0.182,16.3,21.6,6.22,6.23,8.58,18,16,14,8,"4",NA,NA,26
"19","Patrick Mahomes","QB","KC",24.4,0.634,0.0785,23.2,26,6.17,5.77,6.25,19,23,31,3,"1",NA,NA,21
"20","Leonard Fournette","RB","TB",18.4,0.854,0.29,17.6,19.3,6.15,7.58,5.88,20,11,36,5,"3",NA,NA,36
"21","Lamar Jackson","QB","BAL",24.3,0.484,3.64,23.3,27.5,6.09,5.81,7.83,21,22,18,4,"2",NA,NA,12
"22","Deebo Samuel","WR","SF",17.7,0.126,0.947,16.8,18.8,6.04,6.72,5.74,22,14,37,9,"5",NA,NA,3
"23","Aaron Jones","RB","GB",18.1,0.638,0.258,16.2,19,5.86,6.12,5.61,23,21,38,6,"3",NA,NA,21
"24","Nick Chubb","RB","CLE",17.8,1.53,0.139,14.6,19.6,5.6,4.52,6.23,24,34,32,7,"3",NA,NA,81
"25","Zach Ertz","TE","ARI",11.9,1.01,0.223,10.6,15.4,5.6,5.22,7.77,25,28,20,5,"4",NA,NA,73
"26","Alvin Kamara","RB","NO",17.7,0.317,0.291,15.1,18.1,5.46,5.04,4.68,26,30,47,8,"3",NA,NA,6
"27","George Kittle","TE","SF",11.7,0.861,0.177,11,15.6,5.38,5.64,8.06,27,24,16,6,"5",NA,NA,67
"28","Dallas Goedert","TE","PHI",11.5,0.617,0.43,10.3,12.3,5.2,4.99,4.67,28,32,48,7,"5",NA,NA,36
"29","Dalvin Cook","RB","MIN",17.4,0.638,0.351,15.6,18.4,5.17,5.54,5,29,25,44,9,"4",NA,NA,21
"30","Chris Olave","WR","NO",16.8,2.5,0.0589,14.1,19.5,5.09,4.06,6.47,30,40,28,10,"5",NA,NA,96
"31","Tee Higgins","WR","CIN",16.7,1.3,0.163,15.4,19.2,5.03,5.35,6.12,31,27,34,11,"5",NA,NA,62
"32","Chris Godwin","WR","TB",16.6,0.64,0.069,15.1,19.8,4.87,5.03,6.73,32,31,26,12,"5",NA,NA,14
"33","Joe Mixon","RB","CIN",17,1.2,0.602,16.2,18.3,4.82,6.18,4.93,33,19,46,10,"4",NA,NA,69
"34","CeeDee Lamb","WR","DAL",16.5,1.87,0.116,14.4,19,4.8,4.36,5.97,34,36,35,13,"5",NA,NA,77
"35","Tyler Higbee","TE","LAR",11.1,2.09,0.355,9.85,15.4,4.77,4.51,7.79,35,35,19,8,"6",NA,NA,91
"36","Jaylen Waddle","WR","MIA",16.4,0.0949,0.191,15.5,20,4.69,5.44,6.97,36,26,25,14,"5",NA,NA,1
"37","Courtland Sutton","WR","DEN",16.2,2.06,0.0798,14,20.2,4.49,3.93,7.14,37,42,24,15,"5",NA,NA,81
"38","Gerald Everett","TE","LAC",10.7,2.51,0.854,9.43,15.6,4.42,4.09,8,38,39,17,9,"7",NA,NA,99
"39","Christian Kirk","WR","JAC",16.1,2.24,0.101,13.6,19.6,4.41,3.5,6.58,39,46,27,16,"5",NA,NA,88
"40","Amon-Ra St. Brown","WR","DET",16,0.996,0.023,12.5,17.5,4.31,2.42,4.43,40,60,51,17,"6",NA,NA,45
"41","Mike Williams","WR","LAC",16,2.08,0.165,13.7,19.3,4.29,3.68,6.29,41,43,30,18,"6",NA,NA,83
"42","Josh Jacobs","RB","LVR",16.4,0.482,1.2,15.2,17.9,4.22,5.13,4.51,42,29,50,11,"5",NA,NA,11
"43","Marquise Brown","WR","ARI",15.8,1.43,0.207,13,18.5,4.12,2.92,5.49,43,56,39,19,"6",NA,NA,70
"44","DK Metcalf","WR","SEA",15.6,1.03,0.084,14.4,17.7,3.92,4.33,4.63,44,37,49,20,"6",NA,NA,46
"45","Drake London","WR","ATL",15.5,1.44,0.0742,13.6,18.2,3.83,3.52,5.13,45,45,42,21,"6",NA,NA,72
"46","Michael Pittman","WR","IND",15.5,1.74,0.189,13.1,18.3,3.76,3.05,5.26,46,55,41,22,"6",NA,NA,75
"47","Brandin Cooks","WR","HOU",15.3,0.873,0.419,13.5,18.1,3.57,3.45,5.04,47,48,43,23,"7",NA,NA,30
"48","David Njoku","TE","CLE",9.85,0.623,0.422,8.5,10.6,3.56,3.17,3.02,48,52,69,10,"8",NA,NA,39
"49","Tyler Lockett","WR","SEA",14.9,0.657,0.013,14.3,18,3.15,4.21,4.98,49,38,45,24,"7",NA,NA,20
"50","Terry McLaurin","WR","WAS",14.8,4.43,0.466,11.6,19.2,3.14,1.54,6.13,51,75,33,25,"7",NA,NA,99
"51","Pat Freiermuth","TE","PIT",9.43,0.946,0.791,8.43,10.5,3.14,3.09,2.87,50,53,71,11,"9",NA,NA,70
"52","James Robinson","RB","JAC",15.2,1.51,0.115,13.4,16.6,3.02,3.36,3.22,52,49,66,12,"5",NA,NA,80
"53","Clyde Edwards-Helaire","RB","KC",15.1,1.42,0.092,12.4,16.7,2.9,2.3,3.29,53,64,65,13,"5",NA,NA,74
"54","Breece Hall","RB","NYJ",15,1.81,0.0985,12.5,17.8,2.81,2.46,4.4,54,59,52,14,"5",NA,NA,89
"55","Jamaal Williams","RB","DET",14.9,1.66,0.0835,13.5,16.3,2.71,3.47,2.89,55,47,70,15,"5",NA,NA,84
"56","Gabriel Davis","WR","BUF",14.4,1.42,0.0951,12.4,17.3,2.67,2.39,4.25,56,61,53,26,"7",NA,NA,68
"57","Melvin Gordon","RB","DEN",14.8,0.944,0.071,12.5,16.9,2.63,2.47,3.56,57,58,61,16,"5",NA,NA,46
"58","Adam Thielen","WR","MIN",14.3,2.67,0.0719,11.5,17,2.58,1.49,3.95,58,77,59,27,"7",NA,NA,97
"59","Miles Sanders","RB","PHI",14.8,0.928,0.327,14.1,16,2.56,4.02,2.66,59,41,74,17,"5",NA,NA,44
"60","Curtis Samuel","WR","WAS",14.2,2.29,0.157,12,19.4,2.51,1.92,6.36,60,69,29,28,"7",NA,NA,90
"61","Joe Burrow","QB","CIN",20.7,0.941,0.118,19.2,21.8,2.45,1.74,2.08,61,72,76,5,"2",NA,NA,55
"62","Robert Woods","WR","TEN",14.1,1.09,0.046,12.7,18.4,2.35,2.68,5.31,62,57,40,29,"8",NA,NA,49
"63","Dalton Schultz","TE","DAL",8.64,0.43,0.129,6.7,9.89,2.35,1.37,2.31,63,79,75,12,"9",NA,NA,12
