"","player","team","position","id","avg_type","pass_yds","pass_yds_sd","pass_tds","pass_tds_sd","pass_int","pass_int_sd","rush_yds","rush_yds_sd","rush_tds","rush_tds_sd","fumbles_lost","fumbles_lost_sd","two_pts","two_pts_sd","pass_300_yds","pass_300_yds_sd","return_tds","return_tds_sd","rush_100_yds","rush_100_yds_sd","rec","rec_sd","rec_yds","rec_yds_sd","rec_tds","rec_tds_sd","rec_100_yds","rec_100_yds_sd","dst_int","dst_int_sd","dst_sacks","dst_sacks_sd","dst_safety","dst_safety_sd","dst_td","dst_td_sd","dst_blk","dst_blk_sd","injury_status","injury_details","week","season_year"
"1","Patrick Mahomes","KC","QB","2558125","robust",312.9,23.86986,2.31,0.192738,0.845,0.133434,22.075,2.52042,0.2,0,0.10875,0.0259455,0.14,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Tom Brady","TB","QB","2504211","robust",278.65,9.34038000000002,1.8,0.29652,0.7,0,1.03416666666667,1.03782,0.05,0.07413,0.1925,0.022239,0.03,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Justin Herbert","LAC","QB","2565045","robust",284.045,7.14613199999999,1.8,0.029652,0.8,0,12.4,0.7413,0.1,0,0.09125,0.0259455,0.22,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Tua Tagovailoa","MIA","QB","2564499","robust",266.1,16.45686,1.88,0.14826,0.8,0.14826,8.5,0.489258,0.1,0,0.11,0.029652,0.06,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Josh Allen","BUF","QB","2560955","robust",263.4,6.52343999999997,1.9775,0.14826,0.815,0.0296519999999999,51.375,9.29590199999999,0.455,0.14826,0.29375,0.0185325,0.13,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Geno Smith","SEA","QB","2539335","robust",259.195,20.60814,1.75,0.14826,0.825,0.0741299999999999,16.5,1.18608,0.1,0,0.22,0.029652,0,NA,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Kirk Cousins","MIN","QB","2532820","robust",265.4,5.42631600000004,1.915,0.0741300000000001,0.7,0,5.9,0.148259999999999,0.09,0,0.135,0.051891,0.13,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Jared Goff","DET","QB","2555334","robust",247.85,21.05292,1.7,0.29652,0.695,0.044478,4.35,1.18608,0,0,0.19625,0.0111195,0.23,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Trevor Lawrence","JAC","QB","2566163","robust",238,17.12403,1.29,0.14826,0.8,0,16.7975,1.18608,0.18,0,0.325,0.037065,0.16,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Q","Toe",16,2022
"10","Joe Burrow","CIN","QB","2563722","robust",259.9575,5.38183799999999,1.82,0.177912,0.9,0.14826,16.2,0.444779999999998,0.2,0,0.11,0.029652,0.16,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
