"","player","position","team","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","adp","aav","uncertainty"
"1","Christian McCaffrey","RB","SF",22.6,1.04,1.44,21.4,23.9,12.2,12.6,10.7,1,1,2,1,"1",NA,NA,58
"2","Travis Kelce","TE","KC",19.1,1.29,5.22,17.8,20.5,11.8,12.2,11.9,2,2,1,1,"1",NA,NA,76
"3","Austin Ekeler","RB","LAC",21.2,1.53,0.63,19.7,23,10.8,10.9,9.9,3,3,4,2,"1",NA,NA,80
"4","Justin Jefferson","WR","MIN",20.9,0.341,1.12,19.5,23.2,10.2,10.8,10.7,4,4,3,1,"1",NA,NA,13
"5","Derrick Henry","RB","TEN",20.5,1.53,2.04,19.2,21.9,10.1,10.4,8.79,5,5,10,3,"2",NA,NA,79
"6","Ja'Marr Chase","WR","CIN",19.8,1.57,0.0245,18.4,22.2,9.07,9.65,9.76,6,6,6,2,"1",NA,NA,73
"7","Tyreek Hill","WR","MIA",19.8,2.64,0.0294,17.2,22.3,9.05,8.44,9.81,7,8,5,3,"1",NA,NA,90
"8","Davante Adams","WR","LVR",19.8,2.44,1.19,17.8,21.8,9.02,9.08,9.34,8,7,7,4,"2",NA,NA,87
"9","Josh Jacobs","RB","LVR",18.5,1.85,0.0425,17.1,20.5,8.11,8.3,7.39,9,10,14,4,"2",NA,NA,87
"10","Jonathan Taylor","RB","IND",18.5,0.709,0.985,16.4,20.2,8.07,7.56,7.06,10,13,16,5,"3",NA,NA,41
"11","Stefon Diggs","WR","BUF",18.6,1.38,0.0295,17.1,20.9,7.82,8.37,8.45,11,9,13,5,"2",NA,NA,62
"12","Amon-Ra St. Brown","WR","DET",18.5,2.24,0.7,16.5,21.4,7.79,7.77,8.92,12,12,9,6,"3",NA,NA,85
"13","Jalen Hurts","QB","PHI",24.8,1.28,0.556,23,25.7,7.3,6.62,6.86,13,18,18,1,"1",NA,NA,69
"14","Alvin Kamara","RB","NO",17.5,0.815,0.782,16,18.7,7.09,7.22,5.52,15,15,38,6,"4",NA,NA,48
"15","A.J. Brown","WR","PHI",17.8,0.89,0.328,16.8,20.9,7.09,8.08,8.45,14,11,12,7,"3",NA,NA,45
"16","CeeDee Lamb","WR","DAL",17.5,1.59,0.622,16,19,6.77,7.31,6.55,16,14,24,8,"4",NA,NA,75
"17","Josh Allen","QB","BUF",24.2,0.676,0.126,23.6,24.9,6.74,7.21,6.09,17,16,28,2,"1",NA,NA,34
"18","Mark Andrews","TE","BAL",13.8,1.19,1.7,12.3,17.2,6.62,6.75,8.57,18,17,11,2,"2",NA,NA,73
"19","Patrick Mahomes","QB","KC",24.1,2.16,3.06,22,26.2,6.61,5.63,7.32,19,23,15,3,"2",NA,NA,97
"20","James Conner","RB","ARI",16.7,1.79,0.15,14.9,18.8,6.3,6.06,5.66,20,21,35,7,"4",NA,NA,86
