player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Thomas Davis Sr.,2231,LB,WAS,3,1,0,50.0,0,0,32,81.4,62.1,73.4,57.9,47.0,76.1,0,0,0,4,0.0,0,1,0,56.3,1,0,54,0,20,62,3,0,0,3,0,0,59,1,41,5,0,1,2,0,0,4,7,4.0
Johnathan Joseph,2969,CB,TEN,6,3,0,60.9,0,0,31,71.5,70.8,83.5,56.5,61.3,31.0,0,0,1,71,14.3,3,3,0,111.6,14,0,20,270,194,309,4,0,0,4,0,2,305,2,113,13,3,15,23,0,3,206,84,14.7
Calais Campbell,4364,DI,BLT,6,4,4,0.0,0,0,3,66.8,74.2,36.9,66.3,74.7,55.6,3,9,0,,19.0,4,1,2,39.6,0,3,7,0,7,276,269,24,118,38,89,0,7,198,71,0,17,13,1,15,0,0,0,
Brandon Carr,4454,S,DAL,3,0,0,,0,0,9,49.2,54.4,74.9,,68.7,72.8,0,0,0,,0.0,0,0,1,0.0,0,0,9,3,12,21,0,0,0,0,0,7,21,0,9,2,1,1,0,0,0,0,0,
Malcolm Jenkins,4937,S,NO,6,3,0,65.2,0,0,20,47.8,51.3,84.8,63.6,55.3,70.5,1,7,0,74,10.5,4,2,2,134.2,15,1,132,15,209,389,102,0,0,102,0,85,287,34,146,55,10,31,23,9,3,211,117,14.1
Jason McCourty,5127,CB,NE,6,4,0,60.0,0,0,19,50.5,53.4,80.4,54.2,67.5,87.4,0,0,0,41,0.0,0,0,0,135.4,6,0,60,97,139,226,3,0,0,3,0,29,223,3,84,37,2,13,10,0,2,105,14,17.5
Steve McLendon,5232,DI,TB,7,5,0,,0,0,30,60.0,72.9,52.9,76.3,68.3,53.9,0,7,0,,9.1,2,0,1,0.0,0,0,0,0,0,203,203,77,78,1,47,0,0,89,114,0,13,15,0,7,0,0,0,
Ndamukong Suh,5527,DI,TB,7,2,0,,1,1,30,52.8,61.0,30.9,61.1,67.6,40.4,4,6,0,,17.6,3,0,3,0.0,0,3,4,0,1,342,336,7,202,11,116,0,6,241,100,0,10,12,0,13,0,0,0,
Joe Haden,5532,CB,PIT,6,4,0,52.8,0,0,25,56.6,54.1,82.7,,40.6,62.2,0,0,1,45,12.0,3,5,4,84.7,19,0,44,317,252,365,2,0,0,2,0,0,363,0,113,2,4,18,36,0,2,274,32,14.4
Tyson Alualu,5535,DI,PIT,6,4,3,,0,0,25,73.4,91.4,82.1,81.8,89.9,75.8,2,5,0,,0.0,0,0,0,0.0,0,1,1,0,0,169,168,101,52,1,14,0,1,97,72,0,8,10,0,8,0,0,0,
Brandon Graham,5538,ED,PHI,7,3,0,,0,1,24,61.0,76.4,54.8,76.6,67.0,29.2,5,18,0,,22.7,5,0,2,0.0,0,6,0,0,6,341,341,0,0,332,9,0,0,207,128,0,17,14,0,29,0,0,0,
Jason Pierre-Paul,5540,ED,TB,7,7,0,83.3,0,3,30,62.2,71.6,71.6,71.8,63.0,59.3,1,13,0,29,11.8,2,0,1,101.4,5,6,7,0,39,396,382,0,12,357,13,0,14,231,126,7,11,8,6,20,0,50,58,10.0
Kareem Jackson,5545,S,DEN,6,7,0,70.0,0,0,10,58.5,64.4,90.5,55.1,77.4,62.5,0,0,0,35,15.4,6,1,0,102.3,14,0,97,1,251,399,2,0,0,2,0,245,397,2,146,54,9,26,20,0,1,121,53,8.6
Devin McCourty,5552,S,NE,6,5,0,62.5,0,0,19,73.5,72.0,81.5,51.8,60.0,50.2,0,0,2,18,18.5,5,1,0,47.4,5,0,110,3,201,369,2,0,0,2,0,236,367,4,164,18,3,17,8,0,0,63,42,12.6
Jerry Hughes,5556,ED,BUF,7,6,1,,2,1,4,73.5,79.7,48.9,80.6,59.7,54.6,4,20,1,,15.0,3,0,2,0.0,0,2,0,0,7,294,294,0,2,285,7,0,0,175,112,0,10,11,0,26,0,0,0,
