"RK","Name","POS","Team","Opp","FPTS","ATT","CMP","YDS","TD","INT","ATT","YDS","TD","REC","YDS","TD","UP","DOWN","MOVE","WW","INJ"
"1","Josh Allen","QB","BUF","NE","25.2","31","21","242","1.78","0.52","8.7","40.7","0.84","-","-","-","-","-","-","-","-"
"2","Jahmyr Gibbs","RB","DET","CHI","23.2","","0","0","0","0","19.4","96.5","1.01","3.4","32.8","0.14","-","-","-","-","-"
"3","Ja'Marr Chase","WR","CIN","CLV","22.7","","0","0","0","0","0.2","0.9","0.01","7.6","104.9","0.75","-","-","-","-","-"
"4","Lamar Jackson","QB","BLT","PIT","21.9","29","20","237","1.77","0.49","7.6","44.0","0.28","-","-","-","-","-","-","-","-"
"5","Chase Brown","RB","CIN","CLV","21.9","","0","0","0","0","20.4","90.3","0.72","4.1","32.6","0.22","-","-","-","-","-"
"6","Jalen Hurts","QB","PHI","WAS","21.6","26","17","197","1.21","0.38","10.3","41.3","0.91","-","-","-","-","-","-","-","-"
"7","Josh Jacobs","RB","GB","NO","21.6","","0","0","0","0","23.1","101.3","1.13","2.4","20.2","0.07","-","-","-","-","-"
"8","Joe Burrow","QB","CIN","CLV","21.2","38","26","294","2.21","0.66","2.0","10.2","0.08","-","-","-","-","-","-","-","-"
"9","Puka Nacua","WR","LA","NYJ","20.7","","0","0","0","0","1.5","7.6","0.05","7.1","97.8","0.46","-","-","-","-","-"
"10","Bijan Robinson","RB","ATL","NYG","20.7","","0","0","0","0","19.9","91.7","0.81","3.4","25.1","0.14","-","-","-","-","-"
"11","Mike Evans","WR","TB","DAL","20.5","","0","0","0","0","-","-","-","6.4","93.6","0.81","-","-","-","-","-"
"12","James Conner","RB","ARZ","CAR","20.1","","0","0","0","0","17.7","81.8","0.67","4.0","32.3","0.14","-","-","-","-","-"
"13","De'Von Achane","RB","MIA","SF","19.8","","0","0","0","0","14.3","58.3","0.48","5.2","37.8","0.37","-","-","-","-","-"
"14","Jayden Daniels","QB","WAS","PHI","19.8","31","21","206","1.19","0.58","8.0","48.3","0.45","-","-","-","-","-","-","-","-"
"15","Saquon Barkley","RB","PHI","WAS","18.9","","0","0","0","0","19.2","107.0","0.66","2.0","17.1","0.10","-","-","-","-","-"
"16","Kyler Murray","QB","ARZ","CAR","18.7","33","22","235","1.41","0.66","4.2","29.5","0.28","-","-","-","-","-","-","-","-"
"17","Anthony Richardson","QB","IND","TEN","18.7","30","15","193","0.94","0.97","7.9","44.1","0.69","-","-","-","-","-","-","-","-"
"18","Davante Adams","WR","NYJ","LA","18.5","","0","0","0","0","-","-","-","6.4","83.2","0.63","-","-","-","-","-"
"19","CeeDee Lamb","WR","DAL","TB","18.5","","0","0","0","0","0.7","3.9","0.03","6.9","82.0","0.47","-","-","-","-","-"
"20","Justin Jefferson","WR","MIN","SEA","18.2","","0","0","0","0","-","-","-","5.9","83.9","0.67","-","-","-","-","-"
"21","Baker Mayfield","QB","TB","DAL","18.2","32","23","249","1.75","0.95","2.9","17.3","0.12","-","-","-","-","-","-","-","-"
"22","Caleb Williams","QB","CHI","DET","18.2","34","21","232","1.42","0.49","4.8","31.0","0.14","-","-","-","-","-","-","-","-"
"23","Sam Darnold","QB","MIN","SEA","18.1","34","22","261","1.74","0.79","3.5","13.3","0.08","-","-","-","-","-","-","-","-"
"24","Nico Collins","WR","HST","KC","18.0","","0","0","0","0","-","-","-","6.0","88.1","0.54","-","-","-","-","-"
"25","Brock Purdy","QB","SF","MIA","18.0","32","21","251","1.38","0.68","4.0","21.3","0.20","-","-","-","-","-","-","-","-"
"26","Chuba Hubbard","RB","CAR","ARZ","17.8","","0","0","0","0","17.0","76.7","0.61","3.7","22.3","0.11","-","-","-","-","-"
"27","Jared Goff","QB","DET","CHI","17.6","32","22","267","1.73","0.66","2.0","5.9","0.04","-","-","-","-","-","-","-","-"
"28","Amon-Ra St. Brown","WR","DET","CHI","17.5","","0","0","0","0","0.2","1.1","0.01","6.2","78.2","0.55","-","-","-","-","-"
"29","Trey McBride","TE","ARZ","CAR","17.4","","0","0","0","0","-","-","-","7.3","76.9","0.41","-","-","-","-","-"
"30","Tee Higgins","WR","CIN","CLV","17.4","","0","0","0","0","-","-","-","5.6","78.6","0.66","-","-","-","-","-"
"31","Joe Mixon","RB","HST","KC","17.2","","0","0","0","0","16.7","63.8","0.58","3.9","29.5","0.11","-","-","-","-","-"
"32","Bo Nix","QB","DEN","LAC","16.9","33","21","222","1.35","0.87","5.4","22.3","0.23","-","-","-","-","-","-","-","-"
"33","Aaron Rodgers","QB","NYJ","LA","16.9","36","23","246","1.70","0.62","1.6","7.7","0.04","-","-","-","-","-","-","-","-"
"34","Tua Tagovailoa","QB","MIA","SF","16.9","35","25","257","1.68","0.70","1.3","5.9","0.04","-","-","-","-","-","-","-","-"
"35","Jordan Love","QB","GB","NO","16.8","27","18","231","1.70","0.62","1.9","9.9","0.09","-","-","-","-","-","-","-","-"
"36","Brock Bowers","TE","LV","JAX","16.8","","0","0","0","0","0.4","2.4","0.02","6.7","73.6","0.39","-","-","-","-","-"
"37","Kyren Williams","RB","LA","NYJ","16.7","","0","0","0","0","21.5","86.7","0.87","1.7","9.6","0.06","-","-","-","-","-"
"38","Patrick Mahomes","QB","KC","HST","16.7","37","24","246","1.77","0.92","1.0","7.8","0.02","-","-","-","-","-","-","-","-"
"39","Justin Herbert","QB","LAC","DEN","16.6","34","21","233","1.42","0.51","2.7","16.1","0.11","-","-","-","-","-","-","-","-"
"40","Michael Penix Jr.","QB","ATL","NYG","16.4","30","20","233","1.41","0.60","2.7","16.7","0.08","-","-","-","-","-","-","-","-"
"41","Tyreek Hill","WR","MIA","SF","16.4","","0","0","0","0","0.3","1.8","0.02","6.0","73.3","0.47","-","-","-","-","-"
