"RK","Name","POS","Team","Opp","FPTS","ATT","CMP","YDS","TD","INT","ATT","YDS","TD","REC","YDS","TD","UP","DOWN","MOVE","WW","INJ"
"1","Alvin Kamara","RB","NO","CAR","23.4","","0","0","0","0","19.2","82.9","0.77","5.3","40.1","0.22","-","-","-","-","-"
"2","Lamar Jackson","QB","BLT","DEN","23.0","29","19","229","1.73","0.47","9.4","56.5","0.33","-","-","-","-","-","-","-","-"
"3","CeeDee Lamb","WR","DAL","ATL","22.3","","0","0","0","0","0.9","5.1","0.04","7.6","101.0","0.66","-","-","-","-","-"
"4","Jalen Hurts","QB","PHI","JAX","21.9","27","18","221","1.37","0.44","10.0","37.0","0.76","-","-","-","-","-","-","-","-"
"5","Jayden Daniels","QB","WAS","NYG","21.3","28","20","234","1.06","0.37","8.2","58.7","0.41","-","-","-","-","-","-","-","-"
"6","Josh Allen","QB","BUF","MIA","20.6","31","20","237","1.50","0.42","6.3","30.6","0.44","-","-","-","-","-","-","-","-"
"7","Justin Jefferson","WR","MIN","IND","20.3","","0","0","0","0","-","-","-","6.4","98.2","0.69","-","-","-","-","-"
"8","Kyren Williams","RB","LA","SEA","20.2","","0","0","0","0","18.8","85.1","0.95","3.1","19.8","0.17","-","-","-","-","-"
"9","Aaron Jones","RB","MIN","IND","20.0","","0","0","0","0","18.4","85.7","0.58","3.8","32.1","0.18","-","-","-","-","-"
"10","Ja'Marr Chase","WR","CIN","LV","20.0","","0","0","0","0","0.1","0.7","0.01","6.3","88.5","0.78","-","-","-","-","-"
"11","Joe Mixon","RB","HST","NYJ","19.9","","0","0","0","0","21.3","90.9","0.69","3.3","26.2","0.14","-","-","-","-","-"
"12","Joe Burrow","QB","CIN","LV","19.3","34","24","263","1.90","0.59","2.7","12.1","0.12","-","-","-","-","-","-","-","-"
"13","Chase Brown","RB","CIN","LV","19.2","","0","0","0","0","16.2","73.1","0.65","4.0","26.8","0.24","-","-","-","-","-"
"14","Dak Prescott","QB","DAL","ATL","18.9","41","27","295","1.91","1.14","1.4","5.6","0.05","-","-","-","-","-","-","-","-"
"15","Patrick Mahomes","QB","KC","TB","18.8","34","23","250","1.62","0.98","5.2","24.0","0.18","-","-","-","-","-","-","-","-"
"16","Sam Darnold","QB","MIN","IND","18.8","32","21","263","1.78","0.73","4.4","15.0","0.12","-","-","-","-","-","-","-","-"
"17","Kirk Cousins","QB","ATL","DAL","18.5","35","24","284","1.88","0.76","1.9","2.0","0.06","-","-","-","-","-","-","-","-"
"18","Saquon Barkley","RB","PHI","JAX","18.4","","0","0","0","0","18.0","91.7","0.71","2.6","18.1","0.13","-","-","-","-","-"
"19","Bijan Robinson","RB","ATL","DAL","18.4","","0","0","0","0","13.0","61.6","0.56","4.2","35.8","0.20","-","-","-","-","-"
"20","Kyler Murray","QB","ARZ","CHI","18.2","31","21","222","1.28","0.59","5.4","33.9","0.28","-","-","-","-","-","-","-","-"
"21","Malik Nabers","WR","NYG","WAS","18.2","","0","0","0","0","0.5","2.7","0.02","6.8","82.9","0.45","-","-","-","-","-"
"22","Kenneth Walker III","RB","SEA","LA","17.9","","0","0","0","0","14.7","65.2","0.68","3.8","29.1","0.11","-","-","-","-","-"
"23","Geno Smith","QB","SEA","LA","17.9","36","24","257","1.46","0.80","4.2","20.0","0.12","-","-","-","-","-","-","-","-"
"24","Caleb Williams","QB","CHI","ARZ","17.7","31","20","228","1.40","0.70","5.6","26.5","0.20","-","-","-","-","-","-","-","-"
"25","Bo Nix","QB","DEN","BLT","17.5","33","21","211","1.15","0.60","6.5","30.9","0.34","-","-","-","-","-","-","-","-"
"26","Jameis Winston","QB","CLV","LAC","17.4","37","23","268","1.38","0.99","3.2","16.4","0.13","-","-","-","-","-","-","-","-"
"27","Breece Hall","RB","NYJ","HST","17.4","","0","0","0","0","14.0","60.5","0.42","4.1","36.6","0.19","-","-","-","-","-"
"28","Drake London","WR","ATL","DAL","17.3","","0","0","0","0","-","-","-","6.3","73.6","0.61","-","-","-","-","-"
"29","De'Von Achane","RB","MIA","BUF","17.2","","0","0","0","0","10.6","50.2","0.27","4.8","41.1","0.27","-","-","-","-","-"
"30","A.J. Brown","WR","PHI","JAX","17.1","","0","0","0","0","-","-","-","5.6","84.1","0.53","-","-","-","-","-"
"31","Derrick Henry","RB","BLT","DEN","17.0","","0","0","0","0","19.0","94.7","0.93","1.0","7.8","0.04","-","-","-","-","-"
"32","Chris Olave","WR","NO","CAR","16.9","","0","0","0","0","0.1","0.4","-","6.0","77.6","0.53","-","-","-","-","-"
"33","Baker Mayfield","QB","TB","KC","16.9","36","24","255","1.40","1.03","3.4","18.5","0.09","-","-","-","-","-","-","-","-"
"34","Jonathan Taylor","RB","IND","MIN","16.9","","0","0","0","0","17.8","82.4","0.54","2.7","21.9","0.11","-","-","-","-","-"
"35","Cooper Kupp","WR","LA","SEA","16.9","","0","0","0","0","0.5","3.0","0.02","6.1","72.6","0.51","-","-","-","-","-"
"36","James Conner","RB","ARZ","CHI","16.9","","0","0","0","0","18.5","83.1","0.65","2.5","19.4","0.06","-","-","-","-","-"
"37","Tyreek Hill","WR","MIA","BUF","16.9","","0","0","0","0","0.5","2.7","0.02","6.1","77.5","0.45","-","-","-","-","-"
"38","Tony Pollard","RB","TEN","NE","16.6","","0","0","0","0","16.0","72.4","0.56","3.3","22.5","0.10","-","-","-","-","-"
"39","Travis Kelce","TE","KC","TB","16.5","","0","0","0","0","0.1","0.3","-","6.7","68.1","0.50","-","-","-","-","-"
"40","Justin Herbert","QB","LAC","CLV","16.4","33","21","242","1.35","0.35","2.8","14.0","0.08","-","-","-","-","-","-","-","-"
"41","Daniel Jones","QB","NYG","WAS","16.4","35","22","231","1.09","0.65","5.6","23.6","0.23","-","-","-","-","-","-","-","-"
"42","J.K. Dobbins","RB","LAC","CLV","16.3","","0","0","0","0","16.4","74.7","0.53","3.2","20.2","0.08","-","-","-","-","-"
"43","Jahmyr Gibbs","RB","DET","GB","16.2","","0","0","0","0","14.1","77.5","0.58","2.3","20.5","0.12","-","-","-","-","-"
"44","Matthew Stafford","QB","LA","SEA","16.1","34","23","259","1.60","0.81","1.1","1.8","0.02","-","-","-","-","-","-","-","-"
"45","Joe Flacco","QB","IND","MIN","16.1","37","24","253","1.56","0.63","0.9","5.2","0.03","-","-","-","-","-","-","-","-"
"46","Josh Downs","WR","IND","MIN","16.1","","0","0","0","0","0.1","0.7","0.01","6.5","69.0","0.43","-","-","-","-","-"
"47","Aaron Rodgers","QB","NYJ","HST","16.1","37","23","246","1.63","0.96","1.2","6.0","0.05","-","-","-","-","-","-","-","-"
"48","Jordan Love","QB","GB","DET","15.9","35","21","249","1.57","1.27","1.8","8.5","0.05","-","-","-","-","-","-","-","-"
"49","Tua Tagovailoa","QB","MIA","BUF","15.9","38","26","259","1.39","1.05","2.1","9.8","0.05","-","-","-","-","-","-","-","-"
"50","Amon-Ra St. Brown","WR","DET","GB","15.8","","0","0","0","0","-","-","-","5.7","66.7","0.58","-","-","-","-","-"
"51","D'Andre Swift","RB","CHI","ARZ","15.8","","0","0","0","0","16.2","71.4","0.53","2.7","23.4","0.09","-","-","-","-","-"
"52","Kareem Hunt","RB","KC","TB","15.7","","0","0","0","0","19.2","77.7","0.85","1.5","10.9","0.06","-","-","-","-","-"
"53","Puka Nacua","WR","LA","SEA","15.7","","0","0","0","0","1.5","9.1","0.06","5.1","70.6","0.38","-","-","-","-","-"
"54","James Cook","RB","BUF","MIA","15.7","","0","0","0","0","13.6","63.2","0.83","2.0","18.1","0.11","-","-","-","-","-"
"55","Garrett Wilson","WR","NYJ","HST","15.4","","0","0","0","0","0.0","0.3","-","5.6","68.6","0.49","-","-","-","-","-"
"56","Davante Adams","WR","NYJ","HST","15.2","","0","0","0","0","-","-","-","5.8","65.8","0.48","-","-","-","-","-"
"57","Derek Carr","QB","NO","CAR","15.1","30","21","225","1.53","0.76","1.6","6.2","0.04","-","-","-","-","-","-","-","-"
"58","Drake Maye","QB","NE","TEN","15.0","31","19","193","1.03","0.34","3.9","29.3","0.14","-","-","-","-","-","-","-","-"
"59","Jared Goff","QB","DET","GB","14.9","27","18","217","1.51","0.61","2.0","4.3","0.04","0.1","1.4","0.00","-","-","-","-","-"
"60","Trevor Lawrence","QB","JAX","PHI","14.8","33","21","222","1.17","0.62","3.1","14.7","0.11","-","-","-","-","-","-","-","-"
"61","Brock Bowers","TE","LV","CIN","14.6","","0","0","0","0","-","-","-","6.2","65.6","0.31","-","-","-","-","-"
"62","Calvin Ridley","WR","TEN","NE","14.5","","0","0","0","0","0.7","3.9","0.03","5.3","66.3","0.34","-","-","-","-","-"
"63","Jaxon Smith-Njigba","WR","SEA","LA","14.5","","0","0","0","0","-","-","-","5.8","62.0","0.42","-","-","-","-","-"
"64","Chuba Hubbard","RB","CAR","NO","14.4","","0","0","0","0","16.3","69.0","0.54","2.6","14.1","0.06","-","-","-","-","-"
"65","Cade Otton","TE","TB","KC","14.4","","0","0","0","0","0.0","0.2","-","5.9","62.8","0.38","-","-","-","-","-"
"66","Alexander Mattison","RB","LV","CIN","14.4","","0","0","0","0","15.1","56.1","0.50","2.9","23.8","0.09","-","-","-","-","-"
"67","Gardner Minshew","QB","LV","CIN","14.3","36","23","236","1.12","0.74","2.3","8.7","0.09","-","-","-","-","-","-","-","-"
"68","Rhamondre Stevenson","RB","NE","TEN","14.2","","0","0","0","0","15.8","64.6","0.51","2.6","15.5","0.11","-","-","-","-","-"
"69","Josh Jacobs","RB","GB","DET","14.1","","0","0","0","0","16.6","72.9","0.47","2.1","15.3","0.07","-","-","-","-","-"
"70","Jakobi Meyers","WR","LV","CIN","14.1","","0","0","0","0","0.1","0.4","-","5.7","64.2","0.33","-","-","-","-","-"
"71","Tyrone Tracy Jr.","RB","NYG","WAS","14.0","","0","0","0","0","15.7","73.5","0.53","1.9","12.8","0.05","-","-","-","-","-"
"72","David Njoku","TE","CLV","LAC","14.0","","0","0","0","0","-","-","-","5.9","58.6","0.38","-","-","-","-","-"
"73","C.J. Stroud","QB","HST","NYJ","14.0","32","20","214","1.05","0.50","2.8","13.9","0.09","-","-","-","-","-","-","-","-"
"74","Mason Rudolph","QB","TEN","NE","14.0","33","21","219","1.11","0.48","2.7","10.2","0.09","-","-","-","-","-","-","-","-"
"75","Darnell Mooney","WR","ATL","DAL","13.8","","0","0","0","0","-","-","-","4.6","65.5","0.44","-","-","-","-","-"
"76","Terry McLaurin","WR","WAS","NYG","13.8","","0","0","0","0","0.2","1.4","0.01","4.8","64.9","0.39","-","-","-","-","-"
"77","Trey McBride","TE","ARZ","CHI","13.6","","0","0","0","0","-","-","-","6.1","63.3","0.21","-","-","-","-","-"
"78","DeVonta Smith","WR","PHI","JAX","13.6","","0","0","0","0","-","-","-","4.9","63.8","0.39","-","-","-","-","-"
"79","Zay Flowers","WR","BLT","DEN","13.5","","0","0","0","0","0.5","2.7","0.02","4.5","60.9","0.43","-","-","-","-","-"
"80","Evan Engram","TE","JAX","PHI","13.5","","0","0","0","0","-","-","-","6.2","56.4","0.28","-","-","-","-","-"
"81","Michael Pittman","WR","IND","MIN","13.4","","0","0","0","0","-","-","-","5.6","58.1","0.35","-","-","-","-","-"
"82","Ladd McConkey","WR","LAC","CLV","13.4","","0","0","0","0","-","-","-","4.7","62.5","0.41","-","-","-","-","-"
"83","Jake Ferguson","TE","DAL","ATL","13.2","","0","0","0","0","-","-","-","5.5","55.4","0.37","-","-","-","-","-"
"84","David Montgomery","RB","DET","GB","13.1","","0","0","0","0","13.3","58.4","0.73","1.4","13.0","0.03","-","-","-","-","-"
"85","Jayden Reed","WR","GB","DET","12.9","","0","0","0","0","1.0","5.7","0.05","4.4","59.6","0.29","-","-","-","-","-"
"86","Brian Robinson","RB","WAS","NYG","12.9","","0","0","0","0","16.3","73.4","0.63","0.9","7.7","0.03","-","-","-","-","-"
"87","Tyler Lockett","WR","SEA","LA","12.8","","0","0","0","0","-","-","-","4.5","60.8","0.37","-","-","-","-","-"
"88","Tank Dell","WR","HST","NYJ","12.8","","0","0","0","0","0.7","3.8","0.03","4.6","55.3","0.34","-","-","-","-","-"
"89","DJ Moore","WR","CHI","ARZ","12.7","","0","0","0","0","0.8","4.5","0.03","4.3","54.4","0.38","-","-","-","-","-"
"90","Marvin Harrison Jr.","WR","ARZ","CHI","12.7","","0","0","0","0","-","-","-","3.9","58.6","0.49","-","-","-","-","-"
"91","Rico Dowdle","RB","DAL","ATL","12.5","","0","0","0","0","10.7","47.5","0.30","3.0","22.8","0.12","-","-","-","-","-"
"92","Cedric Tillman","WR","CLV","LAC","12.5","","0","0","0","0","0.1","0.8","0.01","4.3","60.6","0.32","-","-","-","-","-"
"93","Brian Thomas Jr.","WR","JAX","PHI","12.4","","0","0","0","0","0.4","1.8","0.01","3.9","58.5","0.40","-","-","-","-","-"
"94","Javonte Williams","RB","DEN","BLT","12.4","","0","0","0","0","11.2","42.8","0.33","3.2","22.9","0.12","-","-","-","-","-"
"95","Kyle Pitts","TE","ATL","DAL","12.4","","0","0","0","0","-","-","-","4.1","58.1","0.41","-","-","-","-","-"
"96","Romeo Doubs","WR","GB","DET","12.3","","0","0","0","0","-","-","-","4.5","56.1","0.37","-","-","-","-","-"
"97","Bryce Young","QB","CAR","NO","12.1","33","19","185","0.77","0.71","3.3","18.9","0.11","-","-","-","-","-","-","-","-"
"98","Nick Chubb","RB","CLV","LAC","12.0","","0","0","0","0","13.7","53.9","0.49","1.8","15.5","0.07","-","-","-","-","-"
"99","Wan'Dale Robinson","WR","NYG","WAS","11.5","","0","0","0","0","0.2","1.0","0.01","5.5","44.8","0.23","-","-","-","-","-"
"100","Jaylen Waddle","WR","MIA","BUF","11.5","","0","0","0","0","0.1","0.5","-","4.4","53.4","0.27","-","-","-","-","-"
"101","Courtland Sutton","WR","DEN","BLT","11.4","","0","0","0","0","-","-","-","4.2","52.7","0.33","-","-","-","-","-"
"102","Khalil Shakir","WR","BUF","MIA","11.4","","0","0","0","0","0.5","2.6","0.02","4.4","49.9","0.26","-","-","-","-","-"
"103","Xavier Worthy","WR","KC","TB","11.3","","0","0","0","0","0.7","4.3","0.03","3.8","46.4","0.38","-","-","-","-","-"
"104","Rachaad White","RB","TB","KC","11.1","","0","0","0","0","7.5","26.7","0.10","3.7","29.5","0.20","-","-","-","-","-"
"105","Keenan Allen","WR","CHI","ARZ","10.8","","0","0","0","0","-","-","-","4.0","46.2","0.37","-","-","-","-","-"
"106","Jerry Jeudy","WR","CLV","LAC","10.7","","0","0","0","0","-","-","-","3.5","55.6","0.27","-","-","-","-","-"
"107","Travis Etienne","RB","JAX","PHI","10.6","","0","0","0","0","9.2","38.7","0.28","2.8","18.5","0.09","-","-","-","-","-"
"108","Amari Cooper","WR","BUF","MIA","10.4","","0","0","0","0","-","-","-","3.4","49.3","0.34","-","-","-","-","-"
"109","Rome Odunze","WR","CHI","ARZ","10.3","","0","0","0","0","0.8","4.4","0.03","3.4","47.6","0.25","-","-","-","-","-"
"110","Taysom Hill","TE","NO","CAR","10.2","","0","0","0","0","7.6","39.3","0.34","1.7","16.1","0.16","-","-","-","-","-"
"111","Elijah Moore","WR","CLV","LAC","10.1","","0","0","0","0","-","-","-","4.3","46.2","0.21","-","-","-","-","-"
"112","Dalton Kincaid","TE","BUF","MIA","10.1","","0","0","0","0","-","-","-","4.2","42.3","0.29","-","-","-","-","-"
"113","Jalen McMillan","WR","TB","KC","10.1","","0","0","0","0","0.4","2.1","0.02","3.5","47.5","0.25","-","-","-","-","-"
"114","Mike Gesicki","TE","CIN","LV","10.0","","0","0","0","0","-","-","-","4.2","43.2","0.25","-","-","-","-","-"
"115","Jonnu Smith","TE","MIA","BUF","10.0","","0","0","0","0","0.1","0.6","0.01","4.3","44.4","0.19","-","-","-","-","-"
"116","Keon Coleman","WR","BUF","MIA","10.0","","0","0","0","0","-","-","-","3.1","49.3","0.33","-","-","-","-","-"
"117","Tyler Allgeier","RB","ATL","DAL","9.9","","0","0","0","0","11.3","55.2","0.40","1.0","8.5","0.04","-","-","-","-","-"
"118","Jalen Tolbert","WR","DAL","ATL","9.7","","0","0","0","0","-","-","-","3.6","43.6","0.29","-","-","-","-","-"
"119","Hunter Henry","TE","NE","TEN","9.7","","0","0","0","0","-","-","-","3.9","43.9","0.24","-","-","-","-","-"
"120","Jordan Addison","WR","MIN","IND","9.6","","0","0","0","0","0.2","1.0","0.01","3.2","46.5","0.28","-","-","-","-","-"
"121","Bucky Irving","RB","TB","KC","9.6","","0","0","0","0","10.0","41.9","0.18","2.2","17.2","0.07","-","-","-","-","-"
"122","Dalton Schultz","TE","HST","NYJ","9.5","","0","0","0","0","-","-","-","4.1","41.4","0.20","-","-","-","-","-"
"123","Darius Slayton","WR","NYG","WAS","9.5","","0","0","0","0","-","-","-","3.4","48.7","0.20","-","-","-","-","-"
"124","T.J. Hockenson","TE","MIN","IND","9.4","","0","0","0","0","-","-","-","3.9","37.8","0.30","-","-","-","-","-"
"125","Zach Ertz","TE","WAS","NYG","9.4","","0","0","0","0","-","-","-","4.2","42.4","0.16","-","-","-","-","-"
"126","Xavier Legette","WR","CAR","NO","9.3","","0","0","0","0","0.8","4.4","0.04","3.6","38.6","0.19","-","-","-","-","-"
"127","Quentin Johnston","WR","LAC","CLV","9.3","","0","0","0","0","-","-","-","3.3","43.0","0.28","-","-","-","-","-"
"128","Sam LaPorta","TE","DET","GB","9.1","","0","0","0","0","-","-","-","3.4","37.8","0.33","-","-","-","-","-"
"129","Michael Wilson","WR","ARZ","CHI","9.1","","0","0","0","0","-","-","-","3.4","38.4","0.31","-","-","-","-","-"
"130","DeAndre Hopkins","WR","KC","TB","9.0","","0","0","0","0","-","-","-","3.4","40.0","0.27","-","-","-","-","-"
"131","Christian Watson","WR","GB","DET","9.0","","0","0","0","0","0.1","0.6","0.01","3.1","40.3","0.30","-","-","-","-","-"
"132","Austin Ekeler","RB","WAS","NYG","8.9","","0","0","0","0","5.4","29.0","0.15","2.4","23.3","0.07","-","-","-","-","-"
"133","Tucker Kraft","TE","GB","DET","8.7","","0","0","0","0","-","-","-","3.3","37.5","0.28","-","-","-","-","-"
"134","Jake Bobo","WR","SEA","LA","8.6","","0","0","0","0","-","-","-","3.5","37.9","0.23","-","-","-","-","-"
"135","Noah Brown","WR","WAS","NYG","8.5","","0","0","0","0","-","-","-","3.0","43.8","0.19","-","-","-","-","-"
"136","Cole Kmet","TE","CHI","ARZ","8.5","","0","0","0","0","-","-","-","3.4","36.9","0.24","-","-","-","-","-"
"137","Ray-Ray McCloud","WR","ATL","DAL","8.3","","0","0","0","0","0.6","3.1","0.03","3.4","36.0","0.15","-","-","-","-","-"
"138","Raheem Mostert","RB","MIA","BUF","8.2","","0","0","0","0","9.2","38.7","0.29","1.3","9.5","0.06","-","-","-","-","-"
"139","Mark Andrews","TE","BLT","DEN","7.9","","0","0","0","0","-","-","-","2.9","32.9","0.29","-","-","-","-","-"
"140","Tyler Boyd","WR","TEN","NE","7.9","","0","0","0","0","-","-","-","3.4","34.9","0.17","-","-","-","-","-"
"141","Demario Douglas","WR","NE","TEN","7.9","","0","0","0","0","0.0","0.3","-","3.3","36.3","0.16","-","-","-","-","-"
"142","Jalen Coker","WR","CAR","NO","7.9","","0","0","0","0","-","-","-","3.1","39.2","0.15","-","-","-","-","-"
"143","Tre Tucker","WR","LV","CIN","7.6","","0","0","0","0","0.9","4.6","0.03","2.8","32.6","0.16","-","-","-","-","-"
