"RK","Name","POS","Team","Opp","FPTS","SACK","INT","FR","DTD","STD","UP","DOWN","MOVE","WW"
"1","San Francisco 49ers","DST","SF","SEA","7.1","3.5","0.8","0.4","0.2","0.0","-","-","-","-"
"2","Indianapolis Colts","DST","IND","TEN","7.1","2.9","0.9","0.6","0.2","0.0","-","-","-","-"
"3","Philadelphia Eagles","DST","PHI","CLV","7.0","3.4","0.7","0.6","0.2","0.0","-","-","-","-"
"4","Detroit Lions","DST","DET","DAL","6.8","2.7","0.9","0.5","0.2","0.0","-","-","-","-"
"5","Cleveland Browns","DST","CLV","PHI","6.8","3.1","0.7","0.6","0.2","0.0","-","-","-","-"
"6","New Orleans Saints","DST","NO","TB","6.7","3.0","0.8","0.6","0.2","0.0","-","-","-","-"
"7","Houston Texans","DST","HST","NE","6.5","3.8","0.3","0.6","0.1","0.0","-","-","-","-"
"8","Chicago Bears","DST","CHI","JAX","6.5","3.0","0.6","0.6","0.2","0.0","-","-","-","-"
"9","Jacksonville Jaguars","DST","JAX","CHI","6.3","2.9","0.7","0.5","0.2","0.0","-","-","-","-"
"10","Buffalo Bills","DST","BUF","NYJ","6.2","2.6","0.8","0.5","0.2","0.0","-","-","-","-"
"11","Arizona Cardinals","DST","ARZ","GB","6.2","1.9","1.0","0.6","0.2","0.0","-","-","-","-"
"12","New York Giants","DST","NYG","CIN","6.2","3.3","0.5","0.4","0.2","0.0","-","-","-","-"
"13","Baltimore Ravens","DST","BLT","WAS","5.8","2.6","0.6","0.5","0.2","0.0","-","-","-","-"
"14","Green Bay Packers","DST","GB","ARZ","5.8","2.6","0.6","0.5","0.2","0.0","-","-","-","-"
"15","Seattle Seahawks","DST","SEA","SF","5.8","2.5","0.6","0.5","0.2","0.0","-","-","-","-"
"16","Pittsburgh Steelers","DST","PIT","LV","5.7","2.9","0.5","0.4","0.1","0.0","-","-","-","-"
"17","Dallas Cowboys","DST","DAL","DET","5.7","2.1","0.8","0.4","0.2","0.0","-","-","-","-"
"18","New England Patriots","DST","NE","HST","5.6","2.7","0.5","0.4","0.2","0.0","-","-","-","-"
"19","Carolina Panthers","DST","CAR","ATL","5.5","1.7","0.9","0.5","0.2","0.0","-","-","-","-"
"20","Los Angeles Chargers","DST","LAC","DEN","5.4","2.1","0.8","0.3","0.2","0.0","-","-","-","-"
"21","Tampa Bay Buccaneers","DST","TB","NO","5.4","2.6","0.5","0.4","0.1","0.0","-","-","-","-"
"22","Tennessee Titans","DST","TEN","IND","5.3","2.5","0.4","0.5","0.1","0.0","-","-","-","-"
"23","Cincinnati Bengals","DST","CIN","NYG","5.2","1.9","0.6","0.5","0.1","0.0","-","-","-","-"
"24","Las Vegas Raiders","DST","LV","PIT","5.1","2.5","0.3","0.6","0.1","0.0","-","-","-","-"
"25","Atlanta Falcons","DST","ATL","CAR","5.1","1.7","0.8","0.4","0.2","0.0","-","-","-","-"
"26","Denver Broncos","DST","DEN","LAC","4.9","2.4","0.5","0.4","0.1","0.0","-","-","-","-"
"27","Washington Commanders","DST","WAS","BLT","4.7","2.1","0.4","0.5","0.1","0.0","-","-","-","-"
"28","New York Jets","DST","NYJ","BUF","3.8","1.7","0.3","0.4","0.1","0.0","-","-","-","-"
