"RK","Name","POS","Team","Opp","FPTS","SACK","INT","FR","DTD","STD","UP","DOWN","MOVE","WW"
"1","Minnesota Vikings","DST","MIN","","7.2","3.4","0.8","0.6","0.2","0.0","-","-","-","-"
"2","Chicago Bears","DST","CHI","","7.2","2.9","0.9","0.6","0.2","0.0","-","-","-","-"
"3","Miami Dolphins","DST","MIA","","6.8","2.5","1.0","0.6","0.2","0.0","-","-","-","-"
"4","New York Giants","DST","NYG","","6.7","2.3","1.0","0.6","0.2","0.0","-","-","-","-"
"5","Buffalo Bills","DST","BUF","","6.5","2.5","0.8","0.6","0.2","0.0","-","-","-","-"
"6","Houston Texans","DST","HST","","6.4","2.7","0.7","0.7","0.2","0.0","-","-","-","-"
"7","Cleveland Browns","DST","CLV","","6.3","2.9","0.7","0.5","0.2","0.0","-","-","-","-"
"8","Cincinnati Bengals","DST","CIN","","6.3","2.5","0.8","0.5","0.2","0.0","-","-","-","-"
"9","Indianapolis Colts","DST","IND","","6.2","2.8","0.7","0.5","0.2","0.0","-","-","-","-"
"10","Atlanta Falcons","DST","ATL","","6.2","3.2","0.4","0.6","0.1","0.0","-","-","-","-"
"11","Detroit Lions","DST","DET","","6.2","2.4","0.8","0.5","0.2","0.0","-","-","-","-"
"12","New England Patriots","DST","NE","","6.1","2.6","0.7","0.5","0.2","0.0","-","-","-","-"
"13","San Francisco 49ers","DST","SF","","6.1","2.4","0.8","0.5","0.2","0.0","-","-","-","-"
"14","Baltimore Ravens","DST","BLT","","6.0","1.9","1.0","0.5","0.2","0.0","-","-","-","-"
"15","Dallas Cowboys","DST","DAL","","6.0","2.4","0.8","0.5","0.2","0.0","-","-","-","-"
"16","Tampa Bay Buccaneers","DST","TB","","5.9","2.5","0.7","0.5","0.2","0.0","-","-","-","-"
"17","Pittsburgh Steelers","DST","PIT","","5.9","2.3","0.7","0.5","0.2","0.0","-","-","-","-"
"18","Green Bay Packers","DST","GB","","5.9","2.5","0.7","0.5","0.2","0.0","-","-","-","-"
"19","Kansas City Chiefs","DST","KC","","5.9","2.9","0.5","0.5","0.1","0.0","-","-","-","-"
"20","New York Jets","DST","NYJ","","5.8","2.2","0.8","0.4","0.2","0.0","-","-","-","-"
"21","Jacksonville Jaguars","DST","JAX","","5.8","2.2","0.7","0.6","0.2","0.0","-","-","-","-"
"22","Seattle Seahawks","DST","SEA","","5.7","2.4","0.7","0.4","0.2","0","-","-","-","-"
"23","New Orleans Saints","DST","NO","","5.6","2.4","0.6","0.5","0.1","0.0","-","-","-","-"
"24","Washington Commanders","DST","WAS","","5.6","2.3","0.6","0.5","0.2","0","-","-","-","-"
"25","Tennessee Titans","DST","TEN","","5.5","2.5","0.5","0.5","0.1","0.0","-","-","-","-"
"26","Los Angeles Rams","DST","LA","","5.5","2.0","0.8","0.4","0.2","0.0","-","-","-","-"
"27","Denver Broncos","DST","DEN","","5.4","2.6","0.5","0.4","0.1","0.0","-","-","-","-"
"28","Carolina Panthers","DST","CAR","","5.3","1.9","0.8","0.5","0.2","0.0","-","-","-","-"
"29","Las Vegas Raiders","DST","LV","","5.3","2.3","0.6","0.4","0.1","0.0","-","-","-","-"
"30","Los Angeles Chargers","DST","LAC","","4.9","2.3","0.4","0.5","0.1","0.0","-","-","-","-"
"31","Philadelphia Eagles","DST","PHI","","4.9","1.8","0.6","0.5","0.1","0.0","-","-","-","-"
"32","Arizona Cardinals","DST","ARZ","","4.7","1.3","0.8","0.5","0.2","0.0","-","-","-","-"
