"RK","Name","POS","Team","Opp","FPTS","SACK","INT","FR","DTD","STD","UP","DOWN","MOVE","WW"
"1","Denver Broncos","DST","DEN","CAR","9.9","3.6","0.5","0.5","0.2","0.0","-","-","-","-"
"2","Los Angeles Chargers","DST","LAC","NO","9.8","3.6","0.6","0.7","0.2","0.0","-","-","-","-"
"3","Pittsburgh Steelers","DST","PIT","NYG","9.3","2.7","0.8","0.5","0.2","0.0","-","-","-","-"
"4","Baltimore Ravens","DST","BLT","CLV","9.0","3.1","0.9","0.5","0.2","0.0","-","-","-","-"
"5","Kansas City Chiefs","DST","KC","LV","9.0","2.8","0.8","0.5","0.2","0.0","-","-","-","-"
"6","New York Jets","DST","NYJ","NE","8.6","3.4","0.5","0.5","0.2","0.0","-","-","-","-"
"7","San Francisco 49ers","DST","SF","DAL","8.2","2.8","1.0","0.5","0.2","0.0","-","-","-","-"
"8","Detroit Lions","DST","DET","TEN","8.2","2.5","0.5","0.6","0.1","0.0","-","-","-","-"
"9","Buffalo Bills","DST","BUF","SEA","8.0","3.2","0.9","0.4","0.2","0.0","-","-","-","-"
"10","Houston Texans","DST","HST","IND","8.0","2.0","1.2","0.6","0.2","0.0","-","-","-","-"
"11","Minnesota Vikings","DST","MIN","LA","8.0","3.1","0.9","0.5","0.2","0.0","-","-","-","-"
"12","Atlanta Falcons","DST","ATL","TB","7.8","2.5","0.9","0.5","0.2","0.0","-","-","-","-"
"13","Washington Commanders","DST","WAS","CHI","7.7","3.4","0.8","0.5","0.2","0.0","-","-","-","-"
"14","Green Bay Packers","DST","GB","JAX","7.5","2.7","0.8","0.6","0.2","0.0","-","-","-","-"
"15","Chicago Bears","DST","CHI","WAS","7.1","2.7","0.6","0.5","0.2","0.0","-","-","-","-"
"16","Tampa Bay Buccaneers","DST","TB","ATL","7.0","2.4","0.9","0.5","0.2","0.0","-","-","-","-"
"17","Los Angeles Rams","DST","LA","MIN","6.9","2.7","0.9","0.6","0.2","0.0","-","-","-","-"
"18","Arizona Cardinals","DST","ARZ","MIA","6.9","2.0","1.1","0.6","0.2","0.0","-","-","-","-"
"19","New England Patriots","DST","NE","NYJ","6.7","2.3","0.9","0.5","0.2","0.0","-","-","-","-"
"20","New York Giants","DST","NYG","PIT","6.6","2.7","0.5","0.5","0.1","0.0","-","-","-","-"
"21","Miami Dolphins","DST","MIA","ARZ","6.4","1.9","0.6","0.5","0.1","0.0","-","-","-","-"
"22","Cincinnati Bengals","DST","CIN","PHI","6.2","2.4","0.7","0.5","0.2","0.0","-","-","-","-"
"23","Philadelphia Eagles","DST","PHI","CIN","6.1","3.1","0.5","0.5","0.1","0.0","-","-","-","-"
"24","Dallas Cowboys","DST","DAL","SF","5.8","2.1","0.8","0.5","0.2","0.0","-","-","-","-"
"25","New Orleans Saints","DST","NO","LAC","5.7","1.9","0.7","0.4","0.2","0.0","-","-","-","-"
"26","Las Vegas Raiders","DST","LV","KC","5.6","2.0","0.8","0.4","0.2","0.0","-","-","-","-"
"27","Jacksonville Jaguars","DST","JAX","GB","5.4","1.8","0.9","0.5","0.2","0.0","-","-","-","-"
"28","Indianapolis Colts","DST","IND","HST","5.0","2.1","0.6","0.4","0.1","0.0","-","-","-","-"
"29","Seattle Seahawks","DST","SEA","BUF","4.5","2.2","0.4","0.4","0.1","0.0","-","-","-","-"
"30","Cleveland Browns","DST","CLV","BLT","4.3","2.2","0.4","0.5","0.1","0.0","-","-","-","-"
"31","Tennessee Titans","DST","TEN","DET","4.1","2.1","0.6","0.4","0.1","0.0","-","-","-","-"
"32","Carolina Panthers","DST","CAR","DEN","3.7","1.2","0.6","0.3","0.1","0.0","-","-","-","-"
