"RK","Name","POS","Team","Opp","FPTS","SACK","INT","FR","DTD","STD","UP","DOWN","MOVE","WW"
"1","Baltimore Ravens","DST","BLT","CLV","11.5","3.0","1.1","0.6","0.2","0.0","-","-","-","-"
"2","Tampa Bay Buccaneers","DST","TB","NO","10.0","3.0","0.7","0.6","0.2","0.0","-","-","-","-"
"3","Green Bay Packers","DST","GB","CHI","9.3","3.6","0.6","0.5","0.2","0.0","-","-","-","-"
"4","Houston Texans","DST","HST","TEN","9.2","2.8","1.1","0.6","0.2","0.0","-","-","-","-"
"5","Buffalo Bills","DST","BUF","NE","8.6","2.7","0.8","0.6","0.2","0.0","-","-","-","-"
"6","Philadelphia Eagles","DST","PHI","NYG","8.4","2.4","0.9","0.5","0.2","0.0","-","-","-","-"
"7","Tennessee Titans","DST","TEN","HST","8.4","2.3","0.8","0.4","0.2","0.0","-","-","-","-"
"8","Denver Broncos","DST","DEN","KC","8.4","1.8","0.8","0.6","0.2","0.0","-","-","-","-"
"9","Atlanta Falcons","DST","ATL","CAR","8.1","3.0","0.8","0.5","0.2","0.0","-","-","-","-"
"10","Arizona Cardinals","DST","ARZ","SF","8.0","2.6","0.7","0.7","0.2","0.0","-","-","-","-"
"11","Los Angeles Chargers","DST","LAC","LV","7.8","2.3","0.7","0.4","0.2","0.0","-","-","-","-"
"12","Seattle Seahawks","DST","SEA","LA","7.3","2.2","0.7","0.4","0.2","0.0","-","-","-","-"
"13","New York Giants","DST","NYG","PHI","7.2","2.7","0.6","0.5","0.2","0.0","-","-","-","-"
"14","Indianapolis Colts","DST","IND","JAX","7.2","1.9","1.0","0.4","0.2","0.0","-","-","-","-"
"15","New York Jets","DST","NYJ","MIA","7.2","2.7","0.5","0.5","0.1","0.0","-","-","-","-"
"16","Miami Dolphins","DST","MIA","NYJ","7.1","2.2","0.6","0.4","0.1","0.0","-","-","-","-"
"17","Los Angeles Rams","DST","LA","SEA","6.9","2.5","0.7","0.4","0.2","0.0","-","-","-","-"
"18","Dallas Cowboys","DST","DAL","WAS","6.7","3.1","0.8","0.5","0.2","0.0","-","-","-","-"
"19","Cincinnati Bengals","DST","CIN","PIT","6.6","2.7","0.7","0.5","0.2","0.0","-","-","-","-"
"20","Pittsburgh Steelers","DST","PIT","CIN","6.6","2.7","0.8","0.5","0.2","0.0","-","-","-","-"
"21","Washington Commanders","DST","WAS","DAL","6.4","1.9","0.6","0.5","0.1","0.0","-","-","-","-"
"22","San Francisco 49ers","DST","SF","ARZ","6.2","2.1","0.7","0.5","0.2","0.0","-","-","-","-"
"23","New England Patriots","DST","NE","BUF","6.2","1.7","0.7","0.3","0.2","0.0","-","-","-","-"
"24","Detroit Lions","DST","DET","MIN","6.2","2.8","0.8","0.6","0.2","0.0","-","-","-","-"
"25","Kansas City Chiefs","DST","KC","DEN","6.1","2.1","0.8","0.4","0.2","0.0","-","-","-","-"
"26","Las Vegas Raiders","DST","LV","LAC","6.1","2.8","0.5","0.4","0.1","0.0","-","-","-","-"
"27","Jacksonville Jaguars","DST","JAX","IND","5.8","1.6","0.8","0.5","0.2","0.0","-","-","-","-"
"28","New Orleans Saints","DST","NO","TB","5.4","2.3","0.8","0.5","0.2","0.0","-","-","-","-"
"29","Carolina Panthers","DST","CAR","ATL","5.0","1.9","0.8","0.6","0.2","0.0","-","-","-","-"
"30","Chicago Bears","DST","CHI","GB","4.4","1.5","0.6","0.5","0.1","0.0","-","-","-","-"
"31","Minnesota Vikings","DST","MIN","DET","4.4","2.2","0.8","0.5","0.2","0.0","-","-","-","-"
"32","Cleveland Browns","DST","CLV","BLT","2.4","1.6","0.3","0.5","0.1","0.0","-","-","-","-"
