"RK","Name","POS","Team","Opp","FPTS","SACK","INT","FR","DTD","STD","UP","DOWN","MOVE","WW"
"1","Pittsburgh Steelers","DST","PIT","CLV","9.3","2.7","1.2","0.5","0.2","0.0","-","-","-","-"
"2","New Orleans Saints","DST","NO","NYG","9.2","3.2","0.8","0.6","0.2","0.0","-","-","-","-"
"3","Philadelphia Eagles","DST","PHI","CAR","9.0","2.8","0.8","0.5","0.2","0.0","-","-","-","-"
"4","Minnesota Vikings","DST","MIN","ATL","8.6","2.4","1.1","0.5","0.2","0.0","-","-","-","-"
"5","Arizona Cardinals","DST","ARZ","SEA","8.2","3.1","0.8","0.4","0.2","0.0","-","-","-","-"
"6","San Francisco 49ers","DST","SF","CHI","8.0","3.2","0.5","0.5","0.2","0.0","-","-","-","-"
"7","Tennessee Titans","DST","TEN","JAX","7.9","2.2","0.9","0.4","0.2","0.0","-","-","-","-"
"8","Jacksonville Jaguars","DST","JAX","TEN","7.8","2.9","0.7","0.5","0.2","0.0","-","-","-","-"
"9","Los Angeles Chargers","DST","LAC","KC","7.3","3.0","0.9","0.5","0.2","0.0","-","-","-","-"
"10","Tampa Bay Buccaneers","DST","TB","LV","7.1","2.3","0.7","0.4","0.2","0.0","-","-","-","-"
"11","Miami Dolphins","DST","MIA","NYJ","7.0","2.2","0.7","0.4","0.1","0.0","-","-","-","-"
"12","Buffalo Bills","DST","BUF","LA","6.6","2.4","0.8","0.5","0.2","0.0","-","-","-","-"
"13","Atlanta Falcons","DST","ATL","MIN","6.4","2.5","0.8","0.6","0.2","0.0","-","-","-","-"
"14","Kansas City Chiefs","DST","KC","LAC","6.2","2.3","0.4","0.5","0.1","0.0","-","-","-","-"
"15","Cleveland Browns","DST","CLV","PIT","6.2","2.9","0.5","0.5","0.2","0.0","-","-","-","-"
"16","Dallas Cowboys","DST","DAL","CIN","6.2","3.2","0.7","0.5","0.2","0.0","-","-","-","-"
"17","Chicago Bears","DST","CHI","SF","6.0","2.1","0.7","0.5","0.2","0.0","-","-","-","-"
"18","Cincinnati Bengals","DST","CIN","DAL","6.0","1.8","0.6","0.6","0.1","0.0","-","-","-","-"
"19","Seattle Seahawks","DST","SEA","ARZ","6.0","2.0","0.6","0.5","0.1","0.0","-","-","-","-"
"20","Detroit Lions","DST","DET","GB","6.0","1.5","1.0","0.5","0.2","0.0","-","-","-","-"
"21","New York Jets","DST","NYJ","MIA","5.6","2.7","0.5","0.6","0.1","0.0","-","-","-","-"
"22","Las Vegas Raiders","DST","LV","TB","5.6","2.3","0.8","0.6","0.2","0.0","-","-","-","-"
"23","Los Angeles Rams","DST","LA","BUF","4.8","1.9","0.8","0.4","0.2","0.0","-","-","-","-"
"24","Green Bay Packers","DST","GB","DET","4.8","2.1","0.7","0.4","0.2","0.0","-","-","-","-"
"25","New York Giants","DST","NYG","NO","4.7","1.4","0.5","0.4","0.1","0.0","-","-","-","-"
"26","Carolina Panthers","DST","CAR","PHI","3.5","2.1","0.4","0.5","0.1","0.0","-","-","-","-"
