"RK","Name","POS","Team","Opp","FPTS","SACK","INT","FR","DTD","STD","UP","DOWN","MOVE","WW"
"1","Minnesota Vikings","DST","MIN","TEN","11.0","3.5","1.2","0.6","0.2","0.0","-","-","-","-"
"2","Detroit Lions","DST","DET","JAX","9.9","3.2","1.0","0.5","0.2","0.0","-","-","-","-"
"3","Miami Dolphins","DST","MIA","LV","9.1","2.6","1.1","0.5","0.2","0.0","-","-","-","-"
"4","Green Bay Packers","DST","GB","CHI","8.8","3.4","0.6","0.5","0.2","0.0","-","-","-","-"
"5","Los Angeles Rams","DST","LA","NE","8.8","3.1","1.0","0.5","0.2","0.0","-","-","-","-"
"6","New Orleans Saints","DST","NO","CLV","8.5","2.9","1.2","0.5","0.2","0.0","-","-","-","-"
"7","San Francisco 49ers","DST","SF","SEA","8.0","2.7","1.1","0.4","0.2","0.0","-","-","-","-"
"8","New York Jets","DST","NYJ","IND","7.8","2.2","0.9","0.6","0.2","0.0","-","-","-","-"
"9","Houston Texans","DST","HST","DAL","7.6","1.7","0.8","0.5","0.2","0.0","-","-","-","-"
"10","Buffalo Bills","DST","BUF","KC","7.5","2.4","1.0","0.4","0.2","0.0","-","-","-","-"
"11","Los Angeles Chargers","DST","LAC","CIN","7.5","3.2","0.7","0.5","0.2","0.0","-","-","-","-"
"12","Tennessee Titans","DST","TEN","MIN","7.5","2.5","0.9","0.6","0.2","0.0","-","-","-","-"
"13","Denver Broncos","DST","DEN","ATL","7.3","2.5","0.8","0.5","0.2","0.0","-","-","-","-"
"14","New England Patriots","DST","NE","LA","6.7","2.6","0.8","0.5","0.2","0.0","-","-","-","-"
"15","Chicago Bears","DST","CHI","GB","6.7","1.7","1.1","0.5","0.2","0.0","-","-","-","-"
"16","Dallas Cowboys","DST","DAL","HST","6.5","3.2","0.6","0.5","0.2","0.0","-","-","-","-"
"17","Philadelphia Eagles","DST","PHI","WAS","6.4","2.8","0.4","0.5","0.1","0.0","-","-","-","-"
"18","Indianapolis Colts","DST","IND","NYJ","6.4","2.2","0.7","0.4","0.2","0.0","-","-","-","-"
"19","Baltimore Ravens","DST","BLT","PIT","6.3","2.8","0.5","0.5","0.1","0.0","-","-","-","-"
"20","Cleveland Browns","DST","CLV","NO","6.2","2.2","0.6","0.4","0.1","0.0","-","-","-","-"
"21","Las Vegas Raiders","DST","LV","MIA","5.5","1.9","0.8","0.5","0.2","0.0","-","-","-","-"
"22","Washington Commanders","DST","WAS","PHI","5.2","2.6","0.5","0.5","0.2","0.0","-","-","-","-"
"23","Kansas City Chiefs","DST","KC","BUF","5.2","1.8","0.7","0.4","0.1","0.0","-","-","-","-"
"24","Cincinnati Bengals","DST","CIN","LAC","5.1","2.3","0.4","0.4","0.1","0.0","-","-","-","-"
"25","Atlanta Falcons","DST","ATL","DEN","5.0","1.4","0.6","0.4","0.1","0.0","-","-","-","-"
"26","Seattle Seahawks","DST","SEA","SF","5.0","2.0","0.8","0.5","0.2","0.0","-","-","-","-"
"27","Pittsburgh Steelers","DST","PIT","BLT","4.9","2.1","0.6","0.5","0.1","0.0","-","-","-","-"
"28","Jacksonville Jaguars","DST","JAX","DET","3.5","1.9","0.6","0.4","0.1","0.0","-","-","-","-"
