"RK","Name","POS","Team","Opp","FPTS","SACK","INT","FR","DTD","STD","UP","DOWN","MOVE","WW"
"1","Houston Texans","DST","HST","TEN","10.9","3.7","1.1","0.6","0.2","0.0","-","-","-","-"
"2","Denver Broncos","DST","DEN","LV","9.9","3.4","1.0","0.5","0.2","0.0","-","-","-","-"
"3","Minnesota Vikings","DST","MIN","CHI","9.1","3.6","0.6","0.5","0.2","0.0","-","-","-","-"
"4","Tampa Bay Buccaneers","DST","TB","NYG","9.1","3.4","0.6","0.5","0.2","0.0","-","-","-","-"
"5","Pittsburgh Steelers","DST","PIT","CLV","8.9","2.6","1.0","0.5","0.2","0.0","-","-","-","-"
"6","Washington Commanders","DST","WAS","DAL","8.8","2.7","0.8","0.6","0.2","0.0","-","-","-","-"
"7","Kansas City Chiefs","DST","KC","CAR","8.8","2.2","0.9","0.5","0.2","0.0","-","-","-","-"
"8","Chicago Bears","DST","CHI","MIN","8.3","2.7","1.0","0.6","0.2","0.0","-","-","-","-"
"9","Detroit Lions","DST","DET","IND","7.9","2.1","1.1","0.7","0.2","0.0","-","-","-","-"
"10","Miami Dolphins","DST","MIA","NE","7.8","2.4","0.9","0.6","0.2","0.0","-","-","-","-"
"11","Arizona Cardinals","DST","ARZ","SEA","7.5","2.9","0.9","0.4","0.2","0.0","-","-","-","-"
"12","New York Giants","DST","NYG","TB","7.3","3.1","0.7","0.5","0.2","0.0","-","-","-","-"
"13","Philadelphia Eagles","DST","PHI","LA","7.1","2.7","0.8","0.5","0.2","0.0","-","-","-","-"
"14","Green Bay Packers","DST","GB","SF","6.8","1.6","0.8","0.5","0.2","0.0","-","-","-","-"
"15","Cleveland Browns","DST","CLV","PIT","6.6","2.6","0.4","0.5","0.1","0.0","-","-","-","-"
"16","San Francisco 49ers","DST","SF","GB","6.3","1.8","1.1","0.5","0.2","0.0","-","-","-","-"
"17","Tennessee Titans","DST","TEN","HST","6.2","2.8","0.6","0.4","0.2","0.0","-","-","-","-"
"18","New England Patriots","DST","NE","MIA","5.6","2.3","0.7","0.5","0.2","0.0","-","-","-","-"
"19","Los Angeles Rams","DST","LA","PHI","5.6","2.6","0.6","0.5","0.2","0.0","-","-","-","-"
"20","Baltimore Ravens","DST","BLT","LAC","5.3","2.6","0.4","0.4","0.1","0.0","-","-","-","-"
"21","Seattle Seahawks","DST","SEA","ARZ","5.0","1.6","0.5","0.5","0.1","0.0","-","-","-","-"
"22","Las Vegas Raiders","DST","LV","DEN","5.0","1.7","0.6","0.4","0.1","0.0","-","-","-","-"
"23","Carolina Panthers","DST","CAR","KC","4.9","1.8","0.8","0.5","0.2","0.0","-","-","-","-"
"24","Indianapolis Colts","DST","IND","DET","4.7","2.1","0.9","0.4","0.2","0.0","-","-","-","-"
"25","Los Angeles Chargers","DST","LAC","BLT","4.7","2.4","0.5","0.5","0.1","0.0","-","-","-","-"
"26","Dallas Cowboys","DST","DAL","WAS","4.3","2.4","0.4","0.4","0.1","0.0","-","-","-","-"
