"RK","Name","POS","Team","Opp","FPTS","ATT","CMP","YDS","TD","INT","ATT","YDS","TD","REC","YDS","TD","UP","DOWN","MOVE","WW","INJ"
"1","Lamar Jackson","QB","BLT","WAS","23.9","28","19","222","1.69","0.44","10.2","63.1","0.44","-","-","-","-","-","-","-","-"
"2","Jalen Hurts","QB","PHI","CLV","21.8","32","21","240","1.32","0.74","10.9","43.9","0.60","-","-","-","-","-","-","-","-"
"3","Jayden Daniels","QB","WAS","BLT","21.4","28","20","224","1.05","0.58","11.2","55.4","0.59","-","-","-","-","-","-","-","-"
"4","CeeDee Lamb","WR","DAL","DET","20.6","","0","0","0","0","1.1","6.2","0.06","6.7","98.3","0.53","-","-","-","-","-"
"5","Alvin Kamara","RB","NO","TB","20.1","","0","0","0","0","17.8","71.5","0.59","4.7","38.5","0.16","-","-","-","-","-"
"6","Joe Burrow","QB","CIN","NYG","19.6","34","24","259","2.02","0.51","2.7","13.4","0.09","-","-","-","-","-","-","-","-"
"7","Dak Prescott","QB","DAL","DET","19.4","42","28","313","1.79","0.95","1.5","6.3","0.05","-","-","-","-","-","-","-","-"
"8","Saquon Barkley","RB","PHI","CLV","19.2","","0","0","0","0","17.3","94.0","0.86","2.4","18.7","0.09","-","-","-","-","-"
"9","Jordan Love","QB","GB","ARZ","19.2","35","23","279","2.08","1.03","1.5","6.3","0.05","-","-","-","-","-","-","-","-"
"10","Amon-Ra St. Brown","WR","DET","DAL","18.6","","0","0","0","0","-","-","-","7.3","81.9","0.53","-","-","-","-","-"
"11","Brock Purdy","QB","SF","SEA","18.4","31","21","273","1.42","0.63","3.9","20.2","0.11","-","-","-","-","-","-","-","-"
"12","Kyler Murray","QB","ARZ","GB","17.9","31","21","221","1.48","0.59","4.2","30.3","0.17","-","-","-","-","-","-","-","-"
"13","Daniel Jones","QB","NYG","CIN","17.8","34","23","230","1.27","0.64","8.1","29.2","0.25","-","-","-","-","-","-","-","-"
"14","Justin Fields","QB","PIT","LV","17.8","28","19","197","1.11","0.28","9.0","40.7","0.34","-","-","-","-","-","-","-","-"
"15","Caleb Williams","QB","CHI","JAX","17.8","36","23","245","1.47","0.66","3.6","21.7","0.14","-","-","-","-","-","-","-","-"
"16","Geno Smith","QB","SEA","SF","17.7","36","24","261","1.46","0.79","2.7","17.6","0.11","-","-","-","-","-","-","-","-"
"17","Josh Allen","QB","BUF","NYJ","17.4","28","16","188","1.20","0.32","5.7","33.5","0.37","-","-","-","-","-","-","-","-"
"18","Baker Mayfield","QB","TB","NO","17.4","33","23","250","1.49","0.76","3.6","17.4","0.11","-","-","-","-","-","-","-","-"
"19","Ja'Marr Chase","WR","CIN","NYG","17.3","","0","0","0","0","-","-","-","5.6","80.2","0.61","-","-","-","-","-"
"20","Drake London","WR","ATL","CAR","17.2","","0","0","0","0","-","-","-","6.3","74.0","0.60","-","-","-","-","-"
"21","Derrick Henry","RB","BLT","WAS","17.2","","0","0","0","0","16.7","90.4","1.00","1.0","9.3","0.05","-","-","-","-","-"
"22","Kirk Cousins","QB","ATL","CAR","17.1","35","23","271","1.75","0.88","1.2","1.6","0.03","-","-","-","-","-","-","-","-"
"23","Bijan Robinson","RB","ATL","CAR","17.1","","0","0","0","0","16.2","72.3","0.64","2.9","24.9","0.12","-","-","-","-","-"
"24","A.J. Brown","WR","PHI","CLV","17.1","","0","0","0","0","-","-","-","6.1","80.7","0.50","-","-","-","-","-"
"25","Kenneth Walker III","RB","SEA","SF","17.0","","0","0","0","0","14.3","71.2","0.58","3.2","24.9","0.13","-","-","-","-","-"
"26","James Cook","RB","BUF","NYJ","17.0","","0","0","0","0","17.2","79.1","0.67","2.2","22.3","0.13","-","-","-","-","-"
"27","Chris Godwin","WR","TB","NO","16.8","","0","0","0","0","0.4","2.0","0.02","6.1","77.3","0.44","-","-","-","-","-"
"28","Jared Goff","QB","DET","DAL","16.6","33","23","263","1.57","0.83","1.7","5.8","0.04","-","-","-","-","-","-","-","-"
"29","C.J. Stroud","QB","HST","NE","16.6","36","24","249","1.31","0.53","2.6","14.0","0.13","-","-","-","-","-","-","-","-"
"30","Diontae Johnson","WR","CAR","ATL","16.2","","0","0","0","0","0.6","3.0","0.02","6.2","65.2","0.52","-","-","-","-","-"
"31","Chuba Hubbard","RB","CAR","ATL","16.2","","0","0","0","0","17.6","78.5","0.41","3.2","20.0","0.12","-","-","-","-","-"
"32","Jordan Mason","RB","SF","SEA","16.1","","0","0","0","0","19.1","91.1","0.66","1.5","13.6","0.05","-","-","-","-","-"
"33","Bucky Irving","RB","TB","NO","16.1","","0","0","0","0","14.9","71.1","0.46","3.4","23.7","0.10","-","-","-","-","-"
"34","Jahmyr Gibbs","RB","DET","DAL","16.0","","0","0","0","0","13.2","64.7","0.76","2.6","18.3","0.11","-","-","-","-","-"
"35","Breece Hall","RB","NYJ","BUF","15.9","","0","0","0","0","14.1","54.9","0.38","4.0","31.3","0.19","-","-","-","-","-"
"36","Aaron Rodgers","QB","NYJ","BUF","15.9","36","23","231","1.40","0.83","2.0","12.8","0.13","-","-","-","-","-","-","-","-"
"37","Will Levis","QB","TEN","IND","15.8","31","21","222","1.36","0.93","3.3","20.2","0.12","-","-","-","-","-","-","-","-"
"38","Jayden Reed","WR","GB","ARZ","15.8","","0","0","0","0","1.5","8.2","0.06","4.7","71.8","0.46","-","-","-","-","-"
"39","Deebo Samuel Sr.","WR","SF","SEA","15.7","","0","0","0","0","3.5","16.0","0.19","4.5","66.3","0.32","-","-","-","-","-"
"40","Garrett Wilson","WR","NYJ","BUF","15.7","","0","0","0","0","0.2","0.9","0.01","6.6","66.7","0.39","-","-","-","-","-"
"41","DJ Moore","WR","CHI","JAX","15.6","","0","0","0","0","0.3","1.6","0.02","5.8","69.4","0.44","-","-","-","-","-"
"42","Stefon Diggs","WR","HST","NE","15.5","","0","0","0","0","0.2","0.9","0.01","6.1","67.3","0.43","-","-","-","-","-"
"43","Tony Pollard","RB","TEN","IND","15.3","","0","0","0","0","15.4","65.2","0.46","3.2","23.1","0.10","-","-","-","-","-"
"44","Joe Flacco","QB","IND","TEN","15.3","33","22","229","1.40","0.42","1.8","9.2","0.05","-","-","-","-","-","-","-","-"
"45","J.K. Dobbins","RB","LAC","DEN","15.2","","0","0","0","0","15.5","80.3","0.43","2.7","14.3","0.10","-","-","-","-","-"
"46","Wan'Dale Robinson","WR","NYG","CIN","15.2","","0","0","0","0","0.8","4.3","0.03","6.7","54.7","0.40","-","-","-","-","-"
"47","Joe Mixon","RB","HST","NE","15.2","","0","0","0","0","15.1","66.6","0.49","3.0","20.7","0.09","-","-","-","-","-"
"48","Tee Higgins","WR","CIN","NYG","15.0","","0","0","0","0","-","-","-","5.3","59.7","0.63","-","-","-","-","-"
"49","Trevor Lawrence","QB","JAX","CHI","14.9","35","22","245","1.14","0.64","2.2","11.2","0.06","-","-","-","-","-","-","-","-"
"50","DeVonta Smith","WR","PHI","CLV","14.9","","0","0","0","0","-","-","-","5.5","70.8","0.40","-","-","-","-","-"
"51","Josh Jacobs","RB","GB","ARZ","14.9","","0","0","0","0","16.8","75.1","0.57","1.9","15.4","0.10","-","-","-","-","-"
"52","Mike Evans","WR","TB","NO","14.7","","0","0","0","0","-","-","-","4.8","67.4","0.52","-","-","-","-","-"
"53","Deshaun Watson","QB","CLV","PHI","14.7","35","21","196","1.10","0.69","4.6","25.4","0.15","-","-","-","-","-","-","-","-"
"54","Andy Dalton","QB","CAR","ATL","14.7","35","24","225","1.47","0.76","1.7","5.5","0.03","-","-","-","-","-","-","-","-"
"55","David Montgomery","RB","DET","DAL","14.5","","0","0","0","0","13.3","56.9","0.84","1.9","15.2","0.06","-","-","-","-","-"
"56","DK Metcalf","WR","SEA","SF","14.4","","0","0","0","0","-","-","-","4.9","72.2","0.38","-","-","-","-","-"
"57","James Conner","RB","ARZ","GB","14.2","","0","0","0","0","15.8","72.3","0.56","1.8","14.6","0.08","-","-","-","-","-"
"58","Darius Slayton","WR","NYG","CIN","14.2","","0","0","0","0","-","-","-","5.4","68.3","0.34","-","-","-","-","-"
"59","Zay Flowers","WR","BLT","WAS","14.1","","0","0","0","0","0.8","4.6","0.03","4.7","55.5","0.54","-","-","-","-","-"
"60","Brandon Aiyuk","WR","SF","SEA","14.1","","0","0","0","0","-","-","-","4.8","71.2","0.37","-","-","-","-","-"
"61","Jake Ferguson","TE","DAL","DET","14.1","","0","0","0","0","-","-","-","5.8","60.3","0.38","-","-","-","-","-"
"62","Drake Maye","QB","NE","HST","14.0","26","15","148","0.63","0.32","7.5","48.0","0.24","-","-","-","-","-","-","-","-"
"63","D'Andre Swift","RB","CHI","JAX","13.7","","0","0","0","0","14.9","54.9","0.46","2.6","24.1","0.10","-","-","-","-","-"
