"RK","Name","POS","Team","Opp","FPTS","ATT","CMP","YDS","TD","INT","ATT","YDS","TD","REC","YDS","TD","UP","DOWN","MOVE","WW","INJ"
"1","Josh Allen","QB","BUF","DET","23.6","35","22","257","1.63","0.78","7.1","40.0","0.63","-","-","-","-","-","-","-","-"
"2","Lamar Jackson","QB","BLT","NYG","21.5","29","19","226","1.79","0.37","7.0","41.6","0.29","-","-","-","-","-","-","-","-"
"3","Jayden Daniels","QB","WAS","NO","21.2","30","20","229","1.19","0.60","8.4","48.1","0.55","-","-","-","-","-","-","-","-"
"4","Ja'Marr Chase","WR","CIN","TEN","20.7","","0","0","0","0","0.4","2.1","0.02","7.0","92.3","0.71","-","-","-","-","-"
"5","Bijan Robinson","RB","ATL","LV","20.7","","0","0","0","0","18.8","82.7","0.68","4.4","30.8","0.16","-","-","-","-","-"
"6","Joe Burrow","QB","CIN","TEN","20.7","38","26","283","2.17","0.73","2.6","9.6","0.10","-","-","-","-","-","-","-","-"
"7","Puka Nacua","WR","LA","SF","20.5","","0","0","0","0","1.3","6.5","0.05","7.1","95.7","0.49","-","-","-","-","-"
"8","Jalen Hurts","QB","PHI","PIT","20.3","27","17","206","1.16","0.53","8.9","40.8","0.69","-","-","-","-","-","-","-","-"
"9","Chuba Hubbard","RB","CAR","DAL","20.1","","0","0","0","0","19.9","90.3","0.82","3.5","22.0","0.11","-","-","-","-","-"
"10","Joe Mixon","RB","HST","MIA","20.1","","0","0","0","0","19.4","83.1","0.86","3.3","26.3","0.13","-","-","-","-","-"
"11","Chase Brown","RB","CIN","TEN","20.0","","0","0","0","0","17.2","72.2","0.55","4.6","34.0","0.27","-","-","-","-","-"
"12","James Conner","RB","ARZ","NE","19.9","","0","0","0","0","18.7","81.1","0.60","3.8","32.2","0.22","-","-","-","-","-"
"13","Brock Purdy","QB","SF","LA","19.8","29","20","252","1.59","0.59","5.1","25.0","0.27","-","-","-","-","-","-","-","-"
"14","Kyler Murray","QB","ARZ","NE","19.8","32","22","239","1.69","0.68","4.1","26.6","0.29","-","-","-","-","-","-","-","-"
"15","Nico Collins","WR","HST","MIA","19.6","","0","0","0","0","-","-","-","6.3","100.1","0.55","-","-","-","-","-"
"16","Saquon Barkley","RB","PHI","PIT","19.4","","0","0","0","0","20.2","103.4","0.79","2.1","18.5","0.09","-","-","-","-","-"
"17","Derrick Henry","RB","BLT","NYG","19.3","","0","0","0","0","21.7","107.8","1.11","0.9","8.3","0.03","-","-","-","-","-"
"18","Sam Darnold","QB","MIN","CHI","19.1","30","20","261","1.77","0.72","4.6","18.2","0.13","-","-","-","-","-","-","-","-"
"19","Zach Charbonnet","RB","SEA","GB","19.0","","0","0","0","0","16.5","69.1","0.62","4.3","31.7","0.15","-","-","-","-","-"
"20","Justin Herbert","QB","LAC","TB","18.9","34","22","257","1.50","0.30","3.4","21.8","0.15","-","-","-","-","-","-","-","-"
"21","Tee Higgins","WR","CIN","TEN","18.7","","0","0","0","0","-","-","-","6.3","84.4","0.66","-","-","-","-","-"
"22","Anthony Richardson","QB","IND","DEN","18.6","30","16","208","0.94","0.93","8.5","44.6","0.56","-","-","-","-","-","-","-","-"
"23","Bo Nix","QB","DEN","IND","18.5","34","23","255","1.38","0.69","4.4","21.6","0.24","-","-","-","-","-","-","-","-"
"24","Josh Jacobs","RB","GB","SEA","18.3","","0","0","0","0","20.9","90.9","0.84","2.1","17.5","0.08","-","-","-","-","-"
"25","Alvin Kamara","RB","NO","WAS","18.3","","0","0","0","0","16.9","75.2","0.45","4.3","32.9","0.10","-","-","-","-","-"
"26","C.J. Stroud","QB","HST","MIA","18.0","35","23","270","1.39","0.75","3.5","19.1","0.12","-","-","-","-","-","-","-","-"
"27","Justin Jefferson","WR","MIN","CHI","17.9","","0","0","0","0","-","-","-","5.7","86.2","0.61","-","-","-","-","-"
"28","Jared Goff","QB","DET","BUF","17.8","33","23","263","1.86","0.87","2.5","5.6","0.06","-","-","-","-","-","-","-","-"
"29","Courtland Sutton","WR","DEN","IND","17.7","","0","0","0","0","-","-","-","6.1","87.2","0.49","-","-","-","-","-"
"30","Tua Tagovailoa","QB","MIA","HST","17.7","37","25","269","1.83","0.77","1.5","5.0","0.02","-","-","-","-","-","-","-","-"
"31","Patrick Mahomes","QB","KC","CLV","17.6","36","23","231","1.66","0.71","3.5","19.7","0.10","-","-","-","-","-","-","-","-"
"32","Amon-Ra St. Brown","WR","DET","BUF","17.3","","0","0","0","0","0.4","2.1","0.02","6.1","74.4","0.57","-","-","-","-","-"
