"RK","Name","POS","Team","Opp","FPTS","ATT","CMP","YDS","TD","INT","ATT","YDS","TD","REC","YDS","TD","UP","DOWN","MOVE","WW","INJ"
"1","Lamar Jackson","QB","BLT","BUF","22.1","28","18","208","1.17","0.56","10.9","68.0","0.51","-","-","-","-","-","-","-","-"
"2","Nico Collins","WR","HST","JAX","21.4","","0","0","0","0","-","-","-","7.0","111.4","0.55","-","-","-","-","-"
"3","Jayden Daniels","QB","WAS","ARZ","21.3","28","21","229","1.25","0.28","11.2","49.0","0.48","-","-","-","-","-","-","-","-"
"4","Kyler Murray","QB","ARZ","WAS","21.2","31","21","238","1.90","0.44","5.6","35.7","0.20","-","-","-","-","-","-","-","-"
"5","Rashee Rice","WR","KC","LAC","20.3","","0","0","0","0","0.7","3.5","0.02","7.5","87.0","0.62","-","-","-","-","-"
"6","Kyren Williams","RB","LA","CHI","20.1","","0","0","0","0","21.2","86.3","0.92","3.3","22.2","0.09","-","-","-","-","-"
"7","Saquon Barkley","RB","PHI","TB","20.1","","0","0","0","0","19.3","90.9","0.78","3.3","23.3","0.13","-","-","-","-","-"
"8","Breece Hall","RB","NYJ","DEN","20.0","","0","0","0","0","13.9","61.4","0.57","5.1","36.7","0.31","-","-","-","-","-"
"9","Bijan Robinson","RB","ATL","NO","19.9","","0","0","0","0","16.4","81.0","0.58","4.1","30.7","0.21","-","-","-","-","-"
"10","Josh Allen","QB","BUF","BLT","19.7","29","20","231","1.42","0.63","5.8","29.7","0.43","-","-","-","-","-","-","-","-"
"11","Jalen Hurts","QB","PHI","TB","19.4","31","20","221","0.95","0.87","10.1","47.6","0.51","-","-","-","-","-","-","-","-"
"12","C.J. Stroud","QB","HST","JAX","19.3","37","25","288","1.66","0.52","2.3","13.3","0.10","-","-","-","-","-","-","-","-"
"13","Amon-Ra St. Brown","WR","DET","SEA","19.3","","0","0","0","0","-","-","-","8.0","85.6","0.46","-","-","-","-","-"
"14","Joe Burrow","QB","CIN","CAR","19.0","35","25","265","1.88","0.62","3.0","10.4","0.10","-","-","-","-","-","-","-","-"
"15","Malik Nabers","WR","NYG","DAL","18.7","","0","0","0","0","0.7","3.8","0.03","6.9","79.6","0.56","-","-","-","-","-"
"16","CeeDee Lamb","WR","DAL","NYG","18.6","","0","0","0","0","0.9","5.8","0.03","6.1","85.5","0.54","-","-","-","-","-"
"17","Dak Prescott","QB","DAL","NYG","18.4","39","25","284","1.60","0.66","2.3","9.8","0.10","-","-","-","-","-","-","-","-"
"18","Patrick Mahomes","QB","KC","LAC","18.2","33","23","238","1.64","0.95","4.5","20.5","0.20","-","-","-","-","-","-","-","-"
"19","Alvin Kamara","RB","NO","ATL","18.2","","0","0","0","0","18.5","76.8","0.55","3.6","28.3","0.15","-","-","-","-","-"
"20","Justin Fields","QB","PIT","IND","18.2","27","19","191","0.99","0.39","10.1","50.8","0.38","-","-","-","-","-","-","-","-"
"21","Stefon Diggs","WR","HST","JAX","17.9","","0","0","0","0","0.2","1.1","0.01","7.5","69.9","0.54","-","-","-","-","-"
"22","Justin Jefferson","WR","MIN","GB","17.7","","0","0","0","0","-","-","-","5.6","86.8","0.57","-","-","-","-","-"
"23","Marvin Harrison Jr.","WR","ARZ","WAS","17.6","","0","0","0","0","-","-","-","5.8","79.7","0.64","-","-","-","-","-"
"24","Brock Purdy","QB","SF","NE","17.4","31","22","246","1.49","0.60","3.1","16.7","0.12","-","-","-","-","-","-","-","-"
"25","Geno Smith","QB","SEA","DET","17.2","36","24","263","1.28","0.89","3.3","17.0","0.16","-","-","-","-","-","-","-","-"
"26","Daniel Jones","QB","NYG","DAL","17.2","33","21","212","1.22","0.73","6.5","31.8","0.28","-","-","-","-","-","-","-","-"
"27","Jonathan Taylor","RB","IND","PIT","17.2","","0","0","0","0","17.5","78.9","0.69","2.3","24.0","0.10","-","-","-","-","-"
"28","Aaron Jones","RB","MIN","GB","17.0","","0","0","0","0","13.5","66.8","0.41","3.8","29.4","0.22","-","-","-","-","-"
"29","De'Von Achane","RB","MIA","TEN","17.0","","0","0","0","0","13.1","54.9","0.39","4.2","36.2","0.24","-","-","-","-","-"
"30","Diontae Johnson","WR","CAR","CIN","17.0","","0","0","0","0","-","-","-","6.4","75.3","0.52","-","-","-","-","-"
"31","Najee Harris","RB","PIT","IND","16.9","","0","0","0","0","20.2","82.0","0.58","3.1","18.5","0.08","-","-","-","-","-"
"32","Baker Mayfield","QB","TB","PHI","16.9","32","22","242","1.67","0.76","2.4","11.4","0.07","-","-","-","-","-","-","-","-"
"33","Ja'Marr Chase","WR","CIN","CAR","16.8","","0","0","0","0","-","-","-","5.9","75.8","0.56","-","-","-","-","-"
"34","Jordan Mason","RB","SF","NE","16.7","","0","0","0","0","21.5","96.6","0.91","0.9","6.5","0.02","-","-","-","-","-"
"35","Chris Godwin","WR","TB","PHI","16.7","","0","0","0","0","0.1","0.5","-","5.7","76.9","0.54","-","-","-","-","-"
"36","Brian Robinson","RB","WAS","ARZ","16.7","","0","0","0","0","15.6","69.3","0.66","2.7","25.7","0.10","-","-","-","-","-"
"37","Jordan Love","QB","GB","MIN","16.5","35","22","259","1.63","0.95","1.2","4.8","0.06","-","-","-","-","-","-","-","-"
"38","Anthony Richardson","QB","IND","PIT","16.5","28","16","213","1.07","1.29","6.6","37.3","0.27","-","-","-","-","-","-","-","-"
"39","Caleb Williams","QB","CHI","LA","16.3","37","23","235","1.37","1.01","3.1","19.8","0.11","-","-","-","-","-","-","-","-"
"40","James Conner","RB","ARZ","WAS","16.2","","0","0","0","0","16.0","73.0","0.73","2.2","17.7","0.11","-","-","-","-","-"
"41","James Cook","RB","BUF","BLT","16.0","","0","0","0","0","14.0","60.2","0.52","2.9","28.5","0.19","-","-","-","-","-"
"42","Andy Dalton","QB","CAR","CIN","15.9","35","23","245","1.53","0.52","1.6","3.9","0.03","-","-","-","-","-","-","-","-"
"43","Deshaun Watson","QB","CLV","LV","15.6","36","23","201","1.16","0.71","5.2","28.5","0.18","-","-","-","-","-","-","-","-"
"44","Trevor Lawrence","QB","JAX","HST","15.5","33","21","227","1.25","0.78","2.6","20.0","0.08","-","-","-","-","-","-","-","-"
"45","Sam Darnold","QB","MIN","GB","15.5","30","20","232","1.45","0.91","2.5","13.0","0.06","-","-","-","-","-","-","-","-"
"46","Aaron Rodgers","QB","NYJ","DEN","15.4","30","21","216","1.57","0.48","2.0","6.8","0.06","-","-","-","-","-","-","-","-"
"47","Kirk Cousins","QB","ATL","NO","15.3","32","22","241","1.57","0.87","1.9","2.4","0.05","-","-","-","-","-","-","-","-"
"48","DK Metcalf","WR","SEA","DET","15.3","","0","0","0","0","-","-","-","5.1","74.3","0.45","-","-","-","-","-"
"49","Deebo Samuel Sr.","WR","SF","NE","15.2","","0","0","0","0","-","-","-","5.8","69.1","0.42","-","-","-","-","-"
"50","Devin Singletary","RB","NYG","DAL","15.2","","0","0","0","0","15.1","69.1","0.57","2.6","18.5","0.08","-","-","-","-","-"
"51","Zack Moss","RB","CIN","CAR","15.1","","0","0","0","0","13.5","56.3","0.48","3.5","26.4","0.10","-","-","-","-","-"
"52","Jared Goff","QB","DET","SEA","15.1","36","24","254","1.35","0.89","1.5","5.4","0.02","-","-","-","-","-","-","-","-"
"53","Chuba Hubbard","RB","CAR","CIN","15.0","","0","0","0","0","14.2","62.5","0.46","3.1","21.3","0.14","-","-","-","-","-"
"54","Jahmyr Gibbs","RB","DET","SEA","14.7","","0","0","0","0","12.1","56.0","0.49","3.2","23.1","0.12","-","-","-","-","-"
"55","Jayden Reed","WR","GB","MIN","14.6","","0","0","0","0","1.1","6.1","0.05","4.8","63.4","0.43","-","-","-","-","-"
"56","Josh Jacobs","RB","GB","MIN","14.6","","0","0","0","0","16.3","71.3","0.52","2.3","15.9","0.08","-","-","-","-","-"
"57","Garrett Wilson","WR","NYJ","DEN","14.6","","0","0","0","0","0.3","1.8","0.01","5.1","63.6","0.47","-","-","-","-","-"
"58","Travis Etienne","RB","JAX","HST","14.5","","0","0","0","0","13.7","58.0","0.52","3.2","19.7","0.10","-","-","-","-","-"
"59","Amari Cooper","WR","CLV","LV","14.5","","0","0","0","0","-","-","-","5.9","61.2","0.42","-","-","-","-","-"
"60","J.K. Dobbins","RB","LAC","KC","14.4","","0","0","0","0","15.9","70.6","0.47","2.5","16.1","0.08","-","-","-","-","-"
"61","Drake London","WR","ATL","NO","14.3","","0","0","0","0","-","-","-","5.4","63.0","0.44","-","-","-","-","-"
"62","Bo Nix","QB","DEN","NYJ","14.3","33","21","193","0.69","1.00","6.7","37.7","0.20","-","-","-","-","-","-","-","-"
"63","Tyler Huntley","QB","MIA","TEN","14.2","31","20","186","0.80","0.39","5.2","30.1","0.20","-","-","-","-","-","-","-","-"
"64","Mike Evans","WR","TB","PHI","14.2","","0","0","0","0","-","-","-","4.5","61.4","0.60","-","-","-","-","-"
"65","Will Levis","QB","TEN","MIA","14.2","30","20","206","1.18","1.08","3.6","20.2","0.11","-","-","-","-","-","-","-","-"
"66","Tony Pollard","RB","TEN","MIA","14.0","","0","0","0","0","14.4","61.8","0.46","2.7","19.9","0.08","-","-","-","-","-"
"67","DJ Moore","WR","CHI","LA","13.9","","0","0","0","0","0.6","3.3","0.03","5.2","59.1","0.39","-","-","-","-","-"
"68","Derek Carr","QB","NO","ATL","13.6","29","19","212","1.26","0.68","1.6","6.6","0.04","-","-","-","-","-","-","-","-"
"69","Gardner Minshew","QB","LV","CLV","13.5","32","22","226","0.98","0.57","2.5","9.4","0.08","-","-","-","-","-","-","-","-"
"70","David Montgomery","RB","DET","SEA","13.5","","0","0","0","0","14.7","62.8","0.62","2.0","14.3","0.03","-","-","-","-","-"
"71","Terry McLaurin","WR","WAS","ARZ","13.4","","0","0","0","0","-","-","-","5.0","60.5","0.40","-","-","-","-","-"
"72","Rachaad White","RB","TB","PHI","13.4","","0","0","0","0","10.3","36.9","0.20","4.5","32.2","0.15","-","-","-","-","-"
"73","Derrick Henry","RB","BLT","BUF","13.4","","0","0","0","0","17.3","77.2","0.65","0.8","9.2","0.02","-","-","-","-","-"
"74","Jerome Ford","RB","CLV","LV","13.4","","0","0","0","0","11.3","51.2","0.33","3.3","22.1","0.14","-","-","-","-","-"
"75","Dallas Goedert","TE","PHI","TB","13.4","","0","0","0","0","-","-","-","5.1","66.0","0.29","-","-","-","-","-"
"76","Brock Bowers","TE","LV","CLV","13.3","","0","0","0","0","-","-","-","5.8","58.8","0.28","-","-","-","-","-"
"77","Cam Akers","RB","HST","JAX","13.1","","0","0","0","0","18.4","66.4","0.59","1.6","11.7","0.05","-","-","-","-","-"
"78","Tee Higgins","WR","CIN","CAR","13.1","","0","0","0","0","-","-","-","4.5","57.4","0.47","-","-","-","-","-"
"79","Justin Herbert","QB","LAC","KC","13.0","29","19","195","1.20","0.47","1.7","7.0","0.05","-","-","-","-","-","-","-","-"
"80","George Pickens","WR","PIT","IND","12.9","","0","0","0","0","0.2","0.8","0.01","4.8","61.2","0.32","-","-","-","-","-"
"81","Jakobi Meyers","WR","LV","CLV","12.8","","0","0","0","0","0.2","1.0","0.01","5.2","57.3","0.29","-","-","-","-","-"
"82","Zay Flowers","WR","BLT","BUF","12.8","","0","0","0","0","0.7","3.6","0.03","5.0","53.5","0.33","-","-","-","-","-"
"83","Rhamondre Stevenson","RB","NE","SF","12.7","","0","0","0","0","14.7","64.7","0.50","1.8","12.1","0.05","-","-","-","-","-"
"84","Matthew Stafford","QB","LA","CHI","12.4","35","23","247","0.80","0.71","0.4","1.3","0.01","-","-","-","-","-","-","-","-"
"85","Chris Olave","WR","NO","ATL","12.4","","0","0","0","0","0.1","0.7","0.00","4.8","57.6","0.30","-","-","-","-","-"
"86","Brandon Aiyuk","WR","SF","NE","12.2","","0","0","0","0","-","-","-","4.4","53.6","0.41","-","-","-","-","-"
"87","Kenneth Walker III","RB","SEA","DET","12.1","","0","0","0","0","12.7","50.8","0.43","2.6","15.8","0.04","-","-","-","-","-"
"88","Jake Ferguson","TE","DAL","NYG","11.9","","0","0","0","0","-","-","-","4.9","54.4","0.26","-","-","-","-","-"
"89","Jameson Williams","WR","DET","SEA","11.8","","0","0","0","0","0.7","4.0","0.03","3.8","58.4","0.27","-","-","-","-","-"
"90","Jaxon Smith-Njigba","WR","SEA","DET","11.8","","0","0","0","0","-","-","-","4.7","55.2","0.27","-","-","-","-","-"
"91","Darnell Mooney","WR","ATL","NO","11.7","","0","0","0","0","-","-","-","4.4","54.9","0.30","-","-","-","-","-"
"92","Michael Pittman","WR","IND","PIT","11.6","","0","0","0","0","-","-","-","4.3","55.2","0.31","-","-","-","-","-"
"93","Khalil Shakir","WR","BUF","BLT","11.5","","0","0","0","0","0.2","1.2","0.01","4.0","53.8","0.33","-","-","-","-","-"
