"RK","Name","POS","Team","Opp","FPTS","ATT","CMP","YDS","TD","INT","ATT","YDS","TD","REC","YDS","TD","UP","DOWN","MOVE","WW","INJ"
"46","Christian McCaffrey","RB","SF","BUF","16.4","","0","0","0","0","13.6","57.1","0.43","4.0","31.5","0.16","-","-","-","-","-"
"47","Tua Tagovailoa","QB","MIA","GB","16.3","34","24","252","1.59","0.70","1.7","5.9","0.04","-","-","-","-","-","-","-","-"
"48","Kirk Cousins","QB","ATL","LAC","16.3","35","23","259","1.64","0.81","1.6","1.9","0.04","-","-","-","-","-","-","-","-"
"49","Will Levis","QB","TEN","WAS","16.2","30","20","223","1.33","0.90","4.9","23.7","0.14","-","-","-","-","-","-","-","-"
"50","Travis Kelce","TE","KC","LV","16.1","","0","0","0","0","-","-","-","6.9","62.9","0.50","-","-","-","-","-"
"51","Zay Flowers","WR","BLT","PHI","15.9","","0","0","0","0","0.2","0.9","0.01","5.2","73.6","0.54","-","-","-","-","-"
"52","Russell Wilson","QB","PIT","CIN","15.8","31","19","235","1.44","0.47","2.9","8.4","0.09","-","-","-","-","-","-","-","-"
"53","Jonathan Taylor","RB","IND","NE","15.8","","0","0","0","0","18.2","78.3","0.65","2.1","16.2","0.08","-","-","-","-","-"
"54","Malik Nabers","WR","NYG","DAL","15.5","","0","0","0","0","0.2","1.4","0.01","6.4","69.6","0.33","-","-","-","-","-"
"55","Drake London","WR","ATL","LAC","15.5","","0","0","0","0","-","-","-","5.4","67.8","0.55","-","-","-","-","-"
"56","Rico Dowdle","RB","DAL","NYG","15.4","","0","0","0","0","17.3","79.9","0.44","2.4","18.2","0.12","-","-","-","-","-"
"57","Brian Thomas Jr.","WR","JAX","HST","15.2","","0","0","0","0","0.5","2.9","0.02","4.4","75.6","0.49","-","-","-","-","-"
"58","Brock Bowers","TE","LV","KC","15.2","","0","0","0","0","0.1","0.7","0.01","6.6","68.4","0.28","-","-","-","-","-"
"59","James Conner","RB","ARZ","MIN","15.2","","0","0","0","0","14.2","56.9","0.44","3.3","29.6","0.11","-","-","-","-","-"
"60","Jerry Jeudy","WR","CLV","DEN","15.1","","0","0","0","0","-","-","-","5.3","78.2","0.34","-","-","-","-","-"
"61","Trey McBride","TE","ARZ","MIN","15.1","","0","0","0","0","-","-","-","6.1","71.0","0.31","-","-","-","-","-"
"62","Mike Evans","WR","TB","CAR","15.0","","0","0","0","0","-","-","-","4.8","62.3","0.67","-","-","-","-","-"
"63","Calvin Ridley","WR","TEN","WAS","14.9","","0","0","0","0","0.2","1.3","0.01","5.3","69.3","0.43","-","-","-","-","-"
"64","Trevor Lawrence","QB","JAX","HST","14.8","30","19","227","1.36","0.82","1.4","11.7","0.04","-","-","-","-","-","-","-","-"
"65","Jaxon Smith-Njigba","WR","SEA","NYJ","14.8","","0","0","0","0","0.1","0.7","0.01","5.7","68.1","0.37","-","-","-","-","-"
"66","James Cook","RB","BUF","SF","14.8","","0","0","0","0","14.1","60.3","0.65","2.5","18.1","0.11","-","-","-","-","-"
"67","Darnell Mooney","WR","ATL","LAC","14.6","","0","0","0","0","-","-","-","4.8","68.7","0.49","-","-","-","-","-"
"68","Taysom Hill","TE","NO","LA","14.6","","0","0","0","0","6.8","37.2","0.38","3.7","34.0","0.25","-","-","-","-","-"
"69","Bryce Young","QB","CAR","TB","14.5","32","20","205","1.25","0.72","2.8","17.6","0.09","-","-","-","-","-","-","-","-"
"70","Garrett Wilson","WR","NYJ","SEA","14.5","","0","0","0","0","0.0","0.2","-","5.5","63.4","0.45","-","-","-","-","-"
"71","Ladd McConkey","WR","LAC","ATL","14.4","","0","0","0","0","-","-","-","4.9","69.1","0.44","-","-","-","-","-"
"72","Derek Carr","QB","NO","LA","14.4","30","20","226","1.36","0.65","1.7","5.3","0.04","-","-","-","-","-","-","-","-"
"73","Aaron Rodgers","QB","NYJ","SEA","14.3","34","21","225","1.39","0.66","0.8","4.0","0.02","-","-","-","-","-","-","-","-"
"74","David Montgomery","RB","DET","CHI","14.2","","0","0","0","0","12.4","55.7","0.68","2.2","20.7","0.06","-","-","-","-","-"
"75","Cooper Rush","QB","DAL","NYG","14.0","34","21","228","1.26","0.47","2.3","2.6","0.06","-","-","-","-","-","-","-","-"
"76","Tony Pollard","RB","TEN","WAS","13.9","","0","0","0","0","14.4","64.8","0.37","2.8","20.1","0.07","-","-","-","-","-"
"77","Derrick Henry","RB","BLT","PHI","13.6","","0","0","0","0","15.6","78.2","0.78","0.6","5.4","0.02","-","-","-","-","-"
"78","Jayden Reed","WR","GB","MIA","13.6","","0","0","0","0","0.6","3.0","0.02","4.9","61.4","0.36","-","-","-","-","-"
"79","Rhamondre Stevenson","RB","NE","IND","13.6","","0","0","0","0","15.3","59.7","0.52","2.5","15.6","0.09","-","-","-","-","-"
"80","Tyreek Hill","WR","MIA","GB","13.6","","0","0","0","0","0.4","2.0","0.02","5.0","59.4","0.40","-","-","-","-","-"
"81","Khalil Shakir","WR","BUF","SF","13.4","","0","0","0","0","0.2","0.9","0.01","5.3","61.2","0.32","-","-","-","-","-"
"82","Davante Adams","WR","NYJ","SEA","13.4","","0","0","0","0","-","-","-","5.2","58.3","0.40","-","-","-","-","-"
"83","Jakobi Meyers","WR","LV","KC","13.3","","0","0","0","0","0.2","0.9","0.01","5.6","62.1","0.22","-","-","-","-","-"
"84","Aidan O'Connell","QB","LV","KC","13.0","34","22","221","0.83","0.72","1.9","13.7","0.07","-","-","-","-","-","-","-","-"
"85","David Njoku","TE","CLV","DEN","13.0","","0","0","0","0","-","-","-","5.4","53.8","0.37","-","-","-","-","-"
"86","Keenan Allen","WR","CHI","DET","13.0","","0","0","0","0","-","-","-","5.4","56.0","0.34","-","-","-","-","-"
"87","Evan Engram","TE","JAX","HST","12.9","","0","0","0","0","-","-","-","5.3","55.1","0.37","-","-","-","-","-"
"88","DJ Moore","WR","CHI","DET","12.9","","0","0","0","0","0.8","4.3","0.03","5.0","57.4","0.27","-","-","-","-","-"
"89","Tyrone Tracy Jr.","RB","NYG","DAL","12.9","","0","0","0","0","13.7","67.3","0.45","1.9","14.5","0.05","-","-","-","-","-"
"90","Drew Lock","QB","NYG","DAL","12.9","31","20","200","0.89","0.79","2.7","16.5","0.12","-","-","-","-","-","-","-","-"
"91","Terry McLaurin","WR","WAS","TEN","12.9","","0","0","0","0","0.1","0.3","-","4.1","64.5","0.39","-","-","-","-","-"
