"RK","Name","POS","Team","Opp","FPTS","SACK","INT","FR","DTD","STD","UP","DOWN","MOVE","WW"
"1","Miami Dolphins","DST","MIA","CLV","11.2","2.6","1.5","0.5","0.2","0.0","-","-","-","-"
"2","Indianapolis Colts","DST","IND","NYG","9.5","3.0","0.9","0.6","0.2","0.0","-","-","-","-"
"3","Los Angeles Chargers","DST","LAC","NE","8.7","2.6","0.9","0.6","0.2","0.0","-","-","-","-"
"4","Las Vegas Raiders","DST","LV","NO","8.5","3.0","0.6","0.5","0.2","0.0","-","-","-","-"
"5","Tampa Bay Buccaneers","DST","TB","CAR","8.2","2.7","0.8","0.5","0.2","0.0","-","-","-","-"
"6","Philadelphia Eagles","DST","PHI","DAL","8.1","2.0","0.6","0.6","0.1","0.0","-","-","-","-"
"7","Seattle Seahawks","DST","SEA","CHI","8.0","3.3","0.5","0.5","0.2","0.0","-","-","-","-"
"8","Tennessee Titans","DST","TEN","JAX","7.8","2.0","1.0","0.5","0.2","0.0","-","-","-","-"
"9","Baltimore Ravens","DST","BLT","HST","7.7","3.2","0.7","0.4","0.2","0.0","-","-","-","-"
"10","Dallas Cowboys","DST","DAL","PHI","7.5","3.4","0.6","0.5","0.2","0.0","-","-","-","-"
"11","Buffalo Bills","DST","BUF","NYJ","7.5","2.3","0.6","0.4","0.1","0.0","-","-","-","-"
"12","Green Bay Packers","DST","GB","MIN","7.4","3.3","0.8","0.6","0.2","0.0","-","-","-","-"
"13","Chicago Bears","DST","CHI","SEA","7.3","2.7","0.9","0.5","0.2","0.0","-","-","-","-"
"14","Kansas City Chiefs","DST","KC","PIT","7.3","2.7","0.6","0.5","0.2","0.0","-","-","-","-"
"15","Jacksonville Jaguars","DST","JAX","TEN","7.2","1.4","1.0","0.5","0.2","0.0","-","-","-","-"
"16","Cleveland Browns","DST","CLV","MIA","7.1","2.3","0.4","0.5","0.1","0.0","-","-","-","-"
"17","New York Giants","DST","NYG","IND","7.1","2.4","1.0","0.6","0.2","0.0","-","-","-","-"
"18","New Orleans Saints","DST","NO","LV","7.0","2.3","0.5","0.4","0.1","0.0","-","-","-","-"
"19","Los Angeles Rams","DST","LA","ARZ","6.9","1.9","0.8","0.5","0.2","0.0","-","-","-","-"
"20","Pittsburgh Steelers","DST","PIT","KC","6.8","2.5","0.8","0.4","0.2","0.0","-","-","-","-"
"21","Denver Broncos","DST","DEN","CIN","6.7","2.9","0.8","0.5","0.2","0.0","-","-","-","-"
"22","Cincinnati Bengals","DST","CIN","DEN","6.2","1.9","0.9","0.4","0.2","0.0","-","-","-","-"
"23","Detroit Lions","DST","DET","SF","6.0","2.1","0.7","0.5","0.2","0.0","-","-","-","-"
"24","Atlanta Falcons","DST","ATL","WAS","6.0","2.6","0.7","0.5","0.2","0.0","-","-","-","-"
"25","Carolina Panthers","DST","CAR","TB","5.7","2.5","0.8","0.6","0.2","0.0","-","-","-","-"
"26","Washington Commanders","DST","WAS","ATL","5.7","1.7","0.6","0.4","0.1","0.0","-","-","-","-"
"27","New England Patriots","DST","NE","LAC","5.3","2.2","0.5","0.4","0.1","0.0","-","-","-","-"
"28","Minnesota Vikings","DST","MIN","GB","5.0","1.3","0.8","0.5","0.2","0.0","-","-","-","-"
"29","San Francisco 49ers","DST","SF","DET","4.7","2.1","0.6","0.5","0.2","0.0","-","-","-","-"
"30","Arizona Cardinals","DST","ARZ","LA","4.6","2.2","0.5","0.4","0.1","0.0","-","-","-","-"
"31","Houston Texans","DST","HST","BLT","4.5","2.0","0.5","0.5","0.1","0.0","-","-","-","-"
"32","New York Jets","DST","NYJ","BUF","3.4","1.5","0.5","0.4","0.1","0.0","-","-","-","-"
