"RK","Name","POS","Team","Opp","FPTS","ATT","CMP","YDS","TD","INT","ATT","YDS","TD","REC","YDS","TD","UP","DOWN","MOVE","WW","INJ"
"1","Lamar Jackson","QB","BLT","CIN","22.2","28","19","213","1.33","0.49","9.6","64.9","0.42","-","-","-","-","-","-","-","-"
"2","Alvin Kamara","RB","NO","KC","21.7","","0","0","0","0","20.3","82.7","0.52","5.0","42.7","0.20","-","-","-","-","-"
"3","Jayden Daniels","QB","WAS","CLV","20.4","27","20","210","0.90","0.29","10.9","62.6","0.45","-","-","-","-","-","-","-","-"
"4","Josh Allen","QB","BUF","HST","20.4","28","18","201","1.67","0.41","5.9","37.2","0.42","-","-","-","-","-","-","-","-"
"5","Kyren Williams","RB","LA","GB","19.8","","0","0","0","0","17.2","74.0","0.93","3.4","24.5","0.16","-","-","-","-","-"
"6","Nico Collins","WR","HST","BUF","19.6","","0","0","0","0","-","-","-","6.9","97.3","0.50","-","-","-","-","-"
"7","Jordan Mason","RB","SF","ARZ","19.6","","0","0","0","0","22.5","111.7","0.94","1.4","11.8","0.05","-","-","-","-","-"
"8","Justin Fields","QB","PIT","DAL","19.2","28","19","213","0.92","0.36","10.4","48.1","0.49","-","-","-","-","-","-","-","-"
"9","Aaron Jones","RB","MIN","NYJ","19.0","","0","0","0","0","15.3","73.4","0.53","4.1","34.0","0.18","-","-","-","-","-"
"10","Brock Purdy","QB","SF","ARZ","18.6","29","20","260","1.53","0.53","4.1","17.3","0.18","-","-","-","-","-","-","-","-"
"11","Joe Burrow","QB","CIN","BLT","18.2","35","25","264","1.68","0.49","2.5","11.0","0.09","-","-","-","-","-","-","-","-"
"12","C.J. Stroud","QB","HST","BUF","18.2","37","24","270","1.58","0.73","2.6","12.2","0.14","-","-","-","-","-","-","-","-"
"13","Geno Smith","QB","SEA","NYG","18.1","36","26","269","1.53","0.74","4.0","15.3","0.11","-","-","-","-","-","-","-","-"
"14","Jordan Love","QB","GB","LA","17.7","34","21","264","1.88","0.81","1.0","4.8","0.02","-","-","-","-","-","-","-","-"
"15","Jayden Reed","WR","GB","LA","17.5","","0","0","0","0","1.3","7.4","0.06","5.5","76.4","0.57","-","-","-","-","-"
"16","CeeDee Lamb","WR","DAL","PIT","17.5","","0","0","0","0","1.5","8.7","0.04","5.7","80.5","0.45","-","-","-","-","-"
"17","Bijan Robinson","RB","ATL","TB","17.3","","0","0","0","0","14.1","63.3","0.51","3.9","33.6","0.13","-","-","-","-","-"
"18","Najee Harris","RB","PIT","DAL","17.3","","0","0","0","0","18.3","69.4","0.60","3.4","26.6","0.12","-","-","-","-","-"
"19","Baker Mayfield","QB","TB","ATL","17.2","34","24","253","1.52","0.74","2.9","14.5","0.09","-","-","-","-","-","-","-","-"
"20","Kyler Murray","QB","ARZ","SF","17.1","29","19","211","1.42","0.54","3.7","29.3","0.15","-","-","-","-","-","-","-","-"
"21","Deebo Samuel Sr.","WR","SF","ARZ","17.1","","0","0","0","0","3.8","19.1","0.20","4.9","69.7","0.37","-","-","-","-","-"
"22","Derrick Henry","RB","BLT","CIN","17.1","","0","0","0","0","19.7","100.4","0.75","1.3","11.5","0.04","-","-","-","-","-"
"23","Chris Godwin","WR","TB","ATL","17.0","","0","0","0","0","-","-","-","6.4","78.0","0.48","-","-","-","-","-"
"24","Trevor Lawrence","QB","JAX","IND","17.0","35","22","242","1.56","0.56","2.6","15.0","0.07","-","-","-","-","-","-","-","-"
"25","Justin Jefferson","WR","MIN","NYJ","17.0","","0","0","0","0","-","-","-","5.5","82.9","0.54","-","-","-","-","-"
"26","Kenneth Walker III","RB","SEA","NYG","17.0","","0","0","0","0","15.1","77.0","0.68","2.7","19.8","0.10","-","-","-","-","-"
"27","Deshaun Watson","QB","CLV","WAS","16.8","34","22","212","1.39","0.63","5.2","27.2","0.17","-","-","-","-","-","-","-","-"
"28","Dak Prescott","QB","DAL","PIT","16.5","37","24","266","1.44","0.80","2.0","8.1","0.06","-","-","-","-","-","-","-","-"
"29","Patrick Mahomes","QB","KC","NO","16.4","32","21","230","1.44","1.07","4.5","19.4","0.13","-","-","-","-","-","-","-","-"
"30","Ja'Marr Chase","WR","CIN","BLT","16.3","","0","0","0","0","-","-","-","5.3","78.7","0.53","-","-","-","-","-"
"31","Diontae Johnson","WR","CAR","CHI","16.1","","0","0","0","0","-","-","-","6.0","74.3","0.46","-","-","-","-","-"
"32","Aaron Rodgers","QB","NYJ","MIN","16.0","35","24","235","1.32","0.54","2.5","11.7","0.15","-","-","-","-","-","-","-","-"
"33","Caleb Williams","QB","CHI","CAR","15.9","34","22","225","1.29","0.89","4.0","20.1","0.15","-","-","-","-","-","-","-","-"
"34","DK Metcalf","WR","SEA","NYG","15.7","","0","0","0","0","-","-","-","5.4","75.0","0.47","-","-","-","-","-"
"35","Breece Hall","RB","NYJ","MIN","15.6","","0","0","0","0","11.4","45.3","0.34","4.5","33.6","0.23","-","-","-","-","-"
"36","Chuba Hubbard","RB","CAR","CHI","15.5","","0","0","0","0","14.9","71.1","0.42","3.1","22.2","0.11","-","-","-","-","-"
"37","Drake London","WR","ATL","TB","15.5","","0","0","0","0","-","-","-","5.8","68.1","0.49","-","-","-","-","-"
"38","Sam Darnold","QB","MIN","NYJ","15.3","29","20","231","1.31","0.68","3.1","14.4","0.07","-","-","-","-","-","-","-","-"
"39","Jerome Ford","RB","CLV","WAS","15.2","","0","0","0","0","13.1","64.6","0.34","3.9","22.9","0.09","-","-","-","-","-"
"40","Michael Pittman","WR","IND","JAX","15.2","","0","0","0","0","-","-","-","6.2","64.4","0.44","-","-","-","-","-"
"41","Tyler Huntley","QB","MIA","NE","15.2","31","21","199","0.90","0.38","6.5","30.5","0.20","-","-","-","-","-","-","-","-"
"42","James Cook","RB","BUF","HST","15.1","","0","0","0","0","12.0","55.3","0.59","2.4","24.9","0.20","-","-","-","-","-"
"43","Travis Kelce","TE","KC","NO","15.0","","0","0","0","0","0.2","0.9","0.01","5.9","60.5","0.48","-","-","-","-","-"
"44","George Pickens","WR","PIT","DAL","15.0","","0","0","0","0","0.2","0.8","0.01","5.6","76.1","0.28","-","-","-","-","-"
"45","Brian Robinson","RB","WAS","CLV","14.9","","0","0","0","0","15.4","70.7","0.65","2.1","15.8","0.06","-","-","-","-","-"
"46","Josh Jacobs","RB","GB","LA","14.9","","0","0","0","0","16.9","77.2","0.51","2.2","16.0","0.07","-","-","-","-","-"
"47","Marvin Harrison Jr.","WR","ARZ","SF","14.8","","0","0","0","0","-","-","-","4.9","70.8","0.48","-","-","-","-","-"
"48","Bo Nix","QB","DEN","LV","14.8","34","21","201","0.97","0.82","5.8","26.1","0.20","-","-","-","-","-","-","-","-"
"49","Matthew Stafford","QB","LA","GB","14.8","34","23","256","1.30","0.79","0.8","2.6","0.02","-","-","-","-","-","-","-","-"
"50","Mike Evans","WR","TB","ATL","14.8","","0","0","0","0","-","-","-","4.9","60.9","0.63","-","-","-","-","-"
"51","Kirk Cousins","QB","ATL","TB","14.8","34","22","252","1.36","0.96","1.4","2.2","0.04","-","-","-","-","-","-","-","-"
"52","Joe Flacco","QB","IND","JAX","14.8","30","20","223","1.40","0.45","1.4","6.0","0.07","-","-","-","-","-","-","-","-"
"53","Daniel Jones","QB","NYG","SEA","14.6","34","22","206","0.93","0.71","6.2","25.2","0.17","-","-","-","-","-","-","-","-"
"54","Stefon Diggs","WR","HST","BUF","14.4","","0","0","0","0","0.2","1.4","0.01","5.8","58.8","0.43","-","-","-","-","-"
"55","Wan'Dale Robinson","WR","NYG","SEA","14.3","","0","0","0","0","0.3","1.5","0.01","6.9","54.3","0.30","-","-","-","-","-"
"56","Andy Dalton","QB","CAR","CHI","14.3","35","22","236","1.28","0.99","1.6","6.7","0.03","-","-","-","-","-","-","-","-"
"57","Travis Etienne","RB","JAX","IND","14.3","","0","0","0","0","13.5","61.5","0.47","2.8","20.2","0.10","-","-","-","-","-"
"58","Amari Cooper","WR","CLV","WAS","14.2","","0","0","0","0","-","-","-","5.0","61.7","0.50","-","-","-","-","-"
"59","Garrett Wilson","WR","NYJ","MIN","14.1","","0","0","0","0","0.2","1.3","0.01","5.7","60.2","0.37","-","-","-","-","-"
"60","Derek Carr","QB","NO","KC","14.0","30","21","228","1.19","0.68","2.1","8.0","0.03","-","-","-","-","-","-","-","-"
"61","Trey Sermon","RB","IND","JAX","13.9","","0","0","0","0","17.5","66.4","0.62","1.8","13.9","0.08","-","-","-","-","-"
