"RK","Name","POS","Team","Opp","FPTS","SACK","INT","FR","DTD","STD","UP","DOWN","MOVE","WW"
"1","Green Bay Packers","DST","GB","NO","10.1","3.3","0.7","0.5","0.2","0.0","-","-","-","-"
"2","Atlanta Falcons","DST","ATL","NYG","9.1","2.9","0.8","0.6","0.2","0.0","-","-","-","-"
"3","Buffalo Bills","DST","BUF","NE","9.0","2.6","0.9","0.6","0.2","0.0","-","-","-","-"
"4","Cincinnati Bengals","DST","CIN","CLV","8.6","1.8","1.3","0.5","0.2","0.0","-","-","-","-"
"5","Las Vegas Raiders","DST","LV","JAX","8.4","2.3","1.1","0.4","0.2","0.0","-","-","-","-"
"6","Minnesota Vikings","DST","MIN","SEA","8.3","2.8","0.9","0.4","0.2","0.0","-","-","-","-"
"7","Kansas City Chiefs","DST","KC","HST","8.1","2.9","0.8","0.4","0.2","0.0","-","-","-","-"
"8","Indianapolis Colts","DST","IND","TEN","7.9","1.9","1.0","0.5","0.2","0.0","-","-","-","-"
"9","Arizona Cardinals","DST","ARZ","CAR","7.8","2.9","0.7","0.5","0.2","0.0","-","-","-","-"
"10","Detroit Lions","DST","DET","CHI","7.6","3.2","0.5","0.5","0.2","0.0","-","-","-","-"
"11","Baltimore Ravens","DST","BLT","PIT","7.5","2.9","0.5","0.5","0.2","0.0","-","-","-","-"
"12","Houston Texans","DST","HST","KC","7.4","2.7","0.9","0.4","0.2","0.0","-","-","-","-"
"13","Seattle Seahawks","DST","SEA","MIN","7.2","2.8","0.8","0.6","0.2","0.0","-","-","-","-"
"14","Denver Broncos","DST","DEN","LAC","7.0","3.0","0.5","0.5","0.1","0.0","-","-","-","-"
"15","Jacksonville Jaguars","DST","JAX","LV","6.9","2.0","0.8","0.4","0.2","0.0","-","-","-","-"
"16","Philadelphia Eagles","DST","PHI","WAS","6.9","2.9","0.6","0.4","0.2","0.0","-","-","-","-"
"17","Dallas Cowboys","DST","DAL","TB","6.8","2.8","0.9","0.5","0.2","0.0","-","-","-","-"
"18","Los Angeles Chargers","DST","LAC","DEN","6.8","1.8","0.9","0.4","0.2","0.0","-","-","-","-"
"19","San Francisco 49ers","DST","SF","MIA","6.8","2.5","0.7","0.6","0.2","0.0","-","-","-","-"
"20","Tennessee Titans","DST","TEN","IND","6.6","1.7","1.0","0.6","0.2","0.0","-","-","-","-"
"21","Miami Dolphins","DST","MIA","SF","6.3","2.3","0.7","0.4","0.2","0.0","-","-","-","-"
"22","Los Angeles Rams","DST","LA","NYJ","6.2","2.2","0.6","0.4","0.1","0.0","-","-","-","-"
"23","Tampa Bay Buccaneers","DST","TB","DAL","6.1","2.0","0.5","0.6","0.1","0.0","-","-","-","-"
"24","Carolina Panthers","DST","CAR","ARZ","5.8","2.2","0.7","0.6","0.2","0.0","-","-","-","-"
"25","Cleveland Browns","DST","CLV","CIN","5.1","2.4","0.7","0.5","0.2","0.0","-","-","-","-"
"26","New York Jets","DST","NYJ","LA","5.0","2.0","0.5","0.4","0.1","0.0","-","-","-","-"
"27","Washington Commanders","DST","WAS","PHI","4.8","2.4","0.4","0.5","0.1","0.0","-","-","-","-"
"28","Chicago Bears","DST","CHI","DET","4.7","2.0","0.7","0.4","0.2","0.0","-","-","-","-"
"29","Pittsburgh Steelers","DST","PIT","BLT","4.6","2.0","0.5","0.5","0.1","0.0","-","-","-","-"
"30","New York Giants","DST","NYG","ATL","4.5","1.5","0.6","0.4","0.1","0.0","-","-","-","-"
"31","New Orleans Saints","DST","NO","GB","3.6","1.5","0.6","0.5","0.1","0.0","-","-","-","-"
"32","New England Patriots","DST","NE","BUF","2.1","1.0","0.5","0.4","0.1","0.0","-","-","-","-"
