"RK","Name","POS","Team","Opp","FPTS","ATT","CMP","YDS","TD","INT","ATT","YDS","TD","REC","YDS","TD","UP","DOWN","MOVE","WW","INJ"
"1","Jayden Daniels","QB","WAS","CAR","24.2","29","20","242","1.46","0.45","10.1","47.6","0.77","-","-","-","-","-","-","-","-"
"2","Lamar Jackson","QB","BLT","TB","23.9","31","21","245","1.42","0.58","10.4","65.4","0.44","-","-","-","-","-","-","-","-"
"3","Justin Jefferson","WR","MIN","DET","21.7","","0","0","0","0","-","-","-","6.3","105.7","0.82","-","-","-","-","-"
"4","Jalen Hurts","QB","PHI","NYG","20.5","31","21","236","1.28","0.56","10.5","39.6","0.48","-","-","-","-","-","-","-","-"
"5","Kyren Williams","RB","LA","LV","20.3","","0","0","0","0","19.4","84.6","0.97","3.2","19.5","0.18","-","-","-","-","-"
"6","Chris Godwin","WR","TB","BLT","20.0","","0","0","0","0","0.1","0.6","0.01","7.3","88.2","0.64","-","-","-","-","-"
"7","Alvin Kamara","RB","NO","DEN","19.6","","0","0","0","0","18.3","69.4","0.48","4.9","39.2","0.18","-","-","-","-","-"
"8","Josh Allen","QB","BUF","TEN","19.4","27","17","197","1.51","0.25","5.9","30.7","0.47","-","-","-","-","-","-","-","-"
"9","Kenneth Walker III","RB","SEA","ATL","19.3","","0","0","0","0","15.1","67.8","0.72","4.6","30.5","0.11","-","-","-","-","-"
"10","Baker Mayfield","QB","TB","BLT","19.1","34","24","267","1.74","0.85","3.3","18.8","0.12","-","-","-","-","-","-","-","-"
"11","Sam Darnold","QB","MIN","DET","19.0","36","22","276","1.83","1.03","3.6","14.7","0.11","-","-","-","-","-","-","-","-"
"12","Malik Nabers","WR","NYG","PHI","19.0","","0","0","0","0","0.6","3.5","0.02","6.9","82.1","0.58","-","-","-","-","-"
"13","Chuba Hubbard","RB","CAR","WAS","18.7","","0","0","0","0","16.5","88.8","0.53","3.6","22.8","0.15","-","-","-","-","-"
"14","Jordan Love","QB","GB","HST","18.6","34","21","258","1.99","1.05","2.3","10.5","0.08","-","-","-","-","-","-","-","-"
"15","Drake London","WR","ATL","SEA","18.5","","0","0","0","0","-","-","-","6.5","80.8","0.67","-","-","-","-","-"
"16","Amon-Ra St. Brown","WR","DET","MIN","18.5","","0","0","0","0","-","-","-","7.6","77.1","0.54","-","-","-","-","-"
"17","Saquon Barkley","RB","PHI","NYG","18.5","","0","0","0","0","16.0","85.5","0.69","2.9","21.5","0.13","-","-","-","-","-"
"18","Joe Burrow","QB","CIN","CLV","18.4","34","23","258","1.71","0.49","3.0","14.0","0.08","-","-","-","-","-","-","-","-"
"19","C.J. Stroud","QB","HST","GB","18.2","37","24","261","1.69","0.84","3.0","14.5","0.10","-","-","-","-","-","-","-","-"
"20","Brock Purdy","QB","SF","KC","18.2","32","20","253","1.47","0.65","4.3","22.1","0.13","-","-","-","-","-","-","-","-"
"21","Kirk Cousins","QB","ATL","SEA","18.2","36","24","287","1.81","0.67","1.3","1.9","0.04","-","-","-","-","-","-","-","-"
"22","Daniel Jones","QB","NYG","PHI","17.7","34","21","231","1.21","0.58","7.4","30.0","0.24","-","-","-","-","-","-","-","-"
"23","Kyler Murray","QB","ARZ","LAC","17.7","29","20","213","1.32","0.56","5.5","31.9","0.26","-","-","-","-","-","-","-","-"
"24","Geno Smith","QB","SEA","ATL","17.7","40","27","276","1.45","0.97","2.4","15.0","0.08","-","-","-","-","-","-","-","-"
"25","Bijan Robinson","RB","ATL","SEA","17.7","","0","0","0","0","13.3","65.5","0.50","3.9","32.8","0.16","-","-","-","-","-"
"26","A.J. Brown","WR","PHI","NYG","17.4","","0","0","0","0","-","-","-","5.8","85.1","0.52","-","-","-","-","-"
"27","Patrick Mahomes","QB","KC","SF","17.3","34","22","254","1.31","1.08","4.6","22.8","0.15","-","-","-","-","-","-","-","-"
"28","Jared Goff","QB","DET","MIN","17.3","36","25","269","1.66","0.97","2.2","7.1","0.07","-","-","-","-","-","-","-","-"
"29","Tony Pollard","RB","TEN","BUF","17.3","","0","0","0","0","17.1","78.6","0.45","3.6","24.9","0.12","-","-","-","-","-"
"30","J.K. Dobbins","RB","LAC","ARZ","17.2","","0","0","0","0","19.3","93.1","0.68","2.0","13.5","0.09","-","-","-","-","-"
"31","Breece Hall","RB","NYJ","PIT","17.1","","0","0","0","0","17.0","64.2","0.41","4.1","32.2","0.18","-","-","-","-","-"
"32","Ja'Marr Chase","WR","CIN","CLV","17.0","","0","0","0","0","-","-","-","5.6","80.2","0.56","-","-","-","-","-"
"33","Trevor Lawrence","QB","JAX","NE","17.0","35","23","249","1.47","0.64","2.8","14.4","0.09","-","-","-","-","-","-","-","-"
"34","Anthony Richardson","QB","IND","MIA","16.7","28","16","228","1.08","1.07","5.2","30.2","0.27","-","-","-","-","-","-","-","-"
"35","Joe Mixon","RB","HST","GB","16.2","","0","0","0","0","15.3","75.1","0.52","2.7","21.1","0.14","-","-","-","-","-"
"36","Tank Dell","WR","HST","GB","16.1","","0","0","0","0","0.9","4.9","0.03","5.3","71.0","0.51","-","-","-","-","-"
"37","Andy Dalton","QB","CAR","WAS","16.0","33","22","233","1.62","0.77","2.1","7.7","0.06","-","-","-","-","-","-","-","-"
"38","Diontae Johnson","WR","CAR","WAS","16.0","","0","0","0","0","0.3","1.8","0.02","5.6","67.4","0.56","-","-","-","-","-"
"39","Tee Higgins","WR","CIN","CLV","16.0","","0","0","0","0","-","-","-","5.7","69.8","0.55","-","-","-","-","-"
"40","Bo Nix","QB","DEN","NO","15.9","35","22","214","1.00","1.00","6.1","31.8","0.22","-","-","-","-","-","-","-","-"
"41","Stefon Diggs","WR","HST","GB","15.7","","0","0","0","0","0.1","0.3","-","5.6","70.3","0.52","-","-","-","-","-"
"42","Derrick Henry","RB","BLT","TB","15.6","","0","0","0","0","17.9","90.6","0.78","1.0","8.1","0.03","-","-","-","-","-"
"43","Deebo Samuel Sr.","WR","SF","KC","15.5","","0","0","0","0","3.4","18.0","0.17","4.4","64.3","0.33","-","-","-","-","-"
"44","Justin Herbert","QB","LAC","ARZ","15.5","30","20","210","1.47","0.54","3.6","11.3","0.12","-","-","-","-","-","-","-","-"
"45","Aaron Jones","RB","MIN","DET","15.4","","0","0","0","0","10.0","44.4","0.37","4.0","34.9","0.21","-","-","-","-","-"
"46","Aaron Rodgers","QB","NYJ","PIT","15.2","36","23","240","1.42","0.89","1.7","7.4","0.05","-","-","-","-","-","-","-","-"
"47","Matthew Stafford","QB","LA","LV","15.1","34","23","248","1.47","0.61","0.3","0.5","0.01","-","-","-","-","-","-","-","-"
"48","Zay Flowers","WR","BLT","TB","15.1","","0","0","0","0","0.7","3.7","0.03","5.7","69.1","0.34","-","-","-","-","-"
"49","Travis Kelce","TE","KC","SF","15.0","","0","0","0","0","0.1","0.7","0.01","6.1","63.3","0.42","-","-","-","-","-"
"50","Drake Maye","QB","NE","JAX","15.0","31","18","196","0.90","0.30","4.2","31.0","0.18","-","-","-","-","-","-","-","-"
"51","Terry McLaurin","WR","WAS","CAR","14.9","","0","0","0","0","0.4","2.4","0.02","4.9","64.8","0.53","-","-","-","-","-"
"52","James Cook","RB","BUF","TEN","14.9","","0","0","0","0","16.4","69.2","0.56","2.0","18.1","0.15","-","-","-","-","-"
"53","Mike Evans","WR","TB","BLT","14.7","","0","0","0","0","-","-","-","4.7","67.6","0.54","-","-","-","-","-"
"54","Brock Bowers","TE","LV","LA","14.6","","0","0","0","0","-","-","-","6.6","62.0","0.31","-","-","-","-","-"
"55","De'Von Achane","RB","MIA","IND","14.5","","0","0","0","0","13.4","59.0","0.39","3.2","23.1","0.14","-","-","-","-","-"
"56","Davante Adams","WR","NYJ","PIT","14.5","","0","0","0","0","-","-","-","5.2","65.0","0.47","-","-","-","-","-"
"57","Tyler Huntley","QB","MIA","IND","14.5","28","18","183","0.97","0.58","5.5","28.6","0.20","-","-","-","-","-","-","-","-"
"58","Jayden Reed","WR","GB","HST","14.4","","0","0","0","0","1.1","6.1","0.04","4.5","63.1","0.46","-","-","-","-","-"
"59","George Kittle","TE","SF","KC","14.4","","0","0","0","0","-","-","-","5.3","60.3","0.51","-","-","-","-","-"
