"RK","Name","POS","Team","Opp","FPTS","ATT","CMP","YDS","TD","INT","ATT","YDS","TD","REC","YDS","TD","UP","DOWN","MOVE","WW","INJ"
"1","Christian McCaffrey","RB","SF","SEA","24.4","","0","0","0","0","18.1","92.0","0.68","4.6","45.0","0.34","-","-","-","-","-"
"2","Alvin Kamara","RB","NO","CLV","23.7","","0","0","0","0","18.4","80.8","0.57","6.2","47.6","0.22","-","-","-","-","-"
"3","Jalen Hurts","QB","PHI","WAS","22.0","27","18","218","1.45","0.51","8.5","42.2","0.67","-","-","-","-","-","-","-","-"
"4","Lamar Jackson","QB","BLT","PIT","21.6","31","20","251","1.61","0.55","8.0","43.0","0.27","-","-","-","-","-","-","-","-"
"5","Brock Purdy","QB","SF","SEA","20.5","32","21","268","1.80","0.79","5.3","25.0","0.18","-","-","-","-","-","-","-","-"
"6","Josh Allen","QB","BUF","KC","20.5","34","22","247","1.64","0.65","5.5","25.7","0.39","-","-","-","-","-","-","-","-"
"7","Joe Mixon","RB","HST","DAL","20.4","","0","0","0","0","24.3","106.7","0.99","1.8","16.6","0.08","-","-","-","-","-"
"8","De'Von Achane","RB","MIA","LV","19.9","","0","0","0","0","13.8","65.6","0.48","4.9","36.1","0.35","-","-","-","-","-"
"9","Jayden Daniels","QB","WAS","PHI","19.8","30","20","228","0.99","0.43","7.8","45.6","0.46","-","-","-","-","-","-","-","-"
"10","Saquon Barkley","RB","PHI","WAS","19.7","","0","0","0","0","21.3","110.3","0.77","2.1","14.6","0.10","-","-","-","-","-"
"11","Bo Nix","QB","DEN","ATL","19.2","34","22","224","1.50","0.64","6.0","34.0","0.26","-","-","-","-","-","-","-","-"
"12","Kyren Williams","RB","LA","NE","19.1","","0","0","0","0","21.0","86.5","0.84","2.9","18.5","0.14","-","-","-","-","-"
"13","Joe Burrow","QB","CIN","LAC","18.5","38","26","260","1.80","0.74","2.9","11.4","0.12","-","-","-","-","-","-","-","-"
"14","Bijan Robinson","RB","ATL","DEN","18.4","","0","0","0","0","15.8","69.7","0.45","4.3","34.8","0.18","-","-","-","-","-"
"15","Chase Brown","RB","CIN","LAC","18.3","","0","0","0","0","16.0","71.0","0.54","4.5","25.5","0.19","-","-","-","-","-"
"16","Justin Herbert","QB","LAC","CIN","18.3","33","22","254","1.50","0.40","4.4","15.5","0.19","-","-","-","-","-","-","-","-"
