"RK","Name","POS","Team","Opp","FPTS","SACK","INT","FR","DTD","STD","UP","DOWN","MOVE","WW"
"1","Miami Dolphins","DST","MIA","TEN","8.1","3.5","1.1","0.6","0.2","0.0","-","-","-","-"
"2","Los Angeles Rams","DST","LA","CHI","7.9","3.5","1.0","0.5","0.2","0.0","-","-","-","-"
"3","Las Vegas Raiders","DST","LV","CLV","7.6","3.8","0.7","0.6","0.2","0.0","-","-","-","-"
"4","Houston Texans","DST","HST","JAX","7.4","3.6","0.8","0.6","0.2","0.0","-","-","-","-"
"5","Green Bay Packers","DST","GB","MIN","7.3","3.1","0.9","0.6","0.2","0.0","-","-","-","-"
"6","Pittsburgh Steelers","DST","PIT","IND","7.1","2.2","1.3","0.5","0.2","0.0","-","-","-","-"
"7","Minnesota Vikings","DST","MIN","GB","6.7","2.6","0.9","0.5","0.2","0.0","-","-","-","-"
"8","Detroit Lions","DST","DET","SEA","6.5","2.8","0.9","0.4","0.2","0.0","-","-","-","-"
"9","Seattle Seahawks","DST","SEA","DET","6.3","2.5","0.9","0.5","0.2","0.0","-","-","-","-"
"10","New York Giants","DST","NYG","DAL","6.3","3.0","0.7","0.5","0.2","0.0","-","-","-","-"
"11","Cleveland Browns","DST","CLV","LV","6.3","3.1","0.6","0.5","0.2","0.0","-","-","-","-"
"12","Jacksonville Jaguars","DST","JAX","HST","6.1","3.0","0.5","0.5","0.2","0.0","-","-","-","-"
"13","Dallas Cowboys","DST","DAL","NYG","6.1","2.6","0.7","0.5","0.2","0.0","-","-","-","-"
"14","New Orleans Saints","DST","NO","ATL","6.1","2.3","0.9","0.5","0.2","0.0","-","-","-","-"
"15","New York Jets","DST","NYJ","DEN","6.1","2.2","1.0","0.3","0.2","0.0","-","-","-","-"
"16","San Francisco 49ers","DST","SF","NE","6.0","3.3","0.4","0.5","0.1","0.0","-","-","-","-"
"17","Philadelphia Eagles","DST","PHI","TB","5.9","2.4","0.8","0.5","0.2","0.0","-","-","-","-"
"18","Los Angeles Chargers","DST","LAC","KC","5.8","1.9","1.0","0.5","0.2","0.0","-","-","-","-"
"19","Carolina Panthers","DST","CAR","CIN","5.7","2.6","0.6","0.4","0.2","0.0","-","-","-","-"
"20","Chicago Bears","DST","CHI","LA","5.7","2.5","0.7","0.4","0.2","0.0","-","-","-","-"
"21","Arizona Cardinals","DST","ARZ","WAS","5.7","3.0","0.3","0.6","0.1","0.0","-","-","-","-"
"22","Buffalo Bills","DST","BUF","BLT","5.5","2.4","0.6","0.5","0.2","0.0","-","-","-","-"
"23","New England Patriots","DST","NE","SF","5.5","2.3","0.6","0.5","0.2","0.0","-","-","-","-"
"24","Tampa Bay Buccaneers","DST","TB","PHI","5.4","1.7","0.9","0.5","0.2","0.0","-","-","-","-"
"25","Indianapolis Colts","DST","IND","PIT","5.4","2.5","0.4","0.6","0.1","0.0","-","-","-","-"
"26","Tennessee Titans","DST","TEN","MIA","5.3","2.7","0.4","0.5","0.1","0.0","-","-","-","-"
"27","Denver Broncos","DST","DEN","NYJ","5.0","2.3","0.5","0.4","0.1","0.0","-","-","-","-"
"28","Cincinnati Bengals","DST","CIN","CAR","4.9","2.1","0.5","0.4","0.1","0.0","-","-","-","-"
"29","Atlanta Falcons","DST","ATL","NO","4.8","1.6","0.7","0.4","0.1","0.0","-","-","-","-"
"30","Baltimore Ravens","DST","BLT","BUF","4.6","1.6","0.6","0.4","0.1","0","-","-","-","-"
"31","Washington Commanders","DST","WAS","ARZ","4.3","1.7","0.4","0.5","0.1","0.0","-","-","-","-"
"32","Kansas City Chiefs","DST","KC","LAC","4.2","1.8","0.5","0.4","0.1","0.0","-","-","-","-"
