"RK","Name","POS","Team","Opp","FPTS","SACK","INT","FR","DTD","STD","UP","DOWN","MOVE","WW"
"1","Detroit Lions","DST","DET","MIN","7.2","2.7","1.0","0.6","0.2","0.0","-","-","-","-"
"2","Baltimore Ravens","DST","BLT","TB","7.0","3.0","0.9","0.5","0.2","0.0","-","-","-","-"
"3","Atlanta Falcons","DST","ATL","SEA","6.7","2.7","1.0","0.4","0.2","0.0","-","-","-","-"
"4","Minnesota Vikings","DST","MIN","DET","6.7","2.6","1.0","0.5","0.2","0.0","-","-","-","-"
"5","Pittsburgh Steelers","DST","PIT","NYJ","6.6","2.8","0.9","0.5","0.2","0.0","-","-","-","-"
"6","San Francisco 49ers","DST","SF","KC","6.6","2.4","1.1","0.4","0.2","0.0","-","-","-","-"
"7","Cincinnati Bengals","DST","CIN","CLV","6.5","3.2","0.6","0.6","0.2","0.0","-","-","-","-"
"8","New York Giants","DST","NYG","PHI","6.5","3.3","0.6","0.5","0.2","0.0","-","-","-","-"
"9","Houston Texans","DST","HST","GB","6.5","2.1","1.1","0.5","0.2","0.0","-","-","-","-"
"10","Denver Broncos","DST","DEN","NO","6.5","3.4","0.5","0.5","0.2","0.0","-","-","-","-"
"11","Jacksonville Jaguars","DST","JAX","NE","6.4","3.7","0.3","0.6","0.1","0.0","-","-","-","-"
"12","New England Patriots","DST","NE","JAX","6.4","2.9","0.6","0.6","0.2","0.0","-","-","-","-"
"13","Green Bay Packers","DST","GB","HST","6.3","2.6","0.8","0.4","0.2","0.0","-","-","-","-"
"14","Miami Dolphins","DST","MIA","IND","6.1","1.8","1.1","0.5","0.2","0.0","-","-","-","-"
"15","Seattle Seahawks","DST","SEA","ATL","5.9","2.5","0.7","0.5","0.2","0.0","-","-","-","-"
"16","New Orleans Saints","DST","NO","DEN","5.9","2.0","1.0","0.3","0.2","0.0","-","-","-","-"
"17","New York Jets","DST","NYJ","PIT","5.9","3.0","0.4","0.5","0.1","0.0","-","-","-","-"
"18","Las Vegas Raiders","DST","LV","LA","5.8","2.7","0.6","0.4","0.2","0.0","-","-","-","-"
"19","Washington Commanders","DST","WAS","CAR","5.7","2.3","0.8","0.4","0.2","0.0","-","-","-","-"
"20","Cleveland Browns","DST","CLV","CIN","5.7","2.9","0.5","0.5","0.1","0.0","-","-","-","-"
"21","Philadelphia Eagles","DST","PHI","NYG","5.4","2.4","0.6","0.5","0.1","0.0","-","-","-","-"
"22","Los Angeles Rams","DST","LA","LV","5.4","2.0","0.8","0.4","0.2","0.0","-","-","-","-"
"23","Indianapolis Colts","DST","IND","MIA","5.2","2.1","0.6","0.5","0.1","0.0","-","-","-","-"
"24","Los Angeles Chargers","DST","LAC","ARZ","5.2","2.1","0.6","0.5","0.1","0.0","-","-","-","-"
"25","Kansas City Chiefs","DST","KC","SF","5.1","1.9","0.7","0.5","0.1","0.0","-","-","-","-"
"26","Tampa Bay Buccaneers","DST","TB","BLT","4.7","1.7","0.6","0.5","0.1","0.0","-","-","-","-"
"27","Arizona Cardinals","DST","ARZ","LAC","4.7","1.9","0.5","0.4","0.1","0.0","-","-","-","-"
"28","Carolina Panthers","DST","CAR","WAS","4.6","1.8","0.5","0.5","0.1","0.0","-","-","-","-"
"29","Buffalo Bills","DST","BUF","TEN","4.5","2.0","0.4","0.5","0.1","0.0","-","-","-","-"
"30","Tennessee Titans","DST","TEN","BUF","3.3","1.4","0.2","0.4","0.1","0.0","-","-","-","-"
