"RK","Name","POS","Team","Opp","FPTS","ATT","CMP","YDS","TD","INT","ATT","YDS","TD","REC","YDS","TD","UP","DOWN","MOVE","WW","INJ"
"1","Jahmyr Gibbs","RB","DET","SF","24.1","","0","0","0","0","21.5","103.3","1.03","3.5","30.4","0.20","-","-","-","-","-"
"2","Ja'Marr Chase","WR","CIN","DEN","23.2","","0","0","0","0","0.5","2.5","0.02","7.8","106.1","0.75","-","-","-","-","-"
"3","Josh Allen","QB","BUF","NYJ","23.1","31","20","236","1.58","0.50","7.3","38.7","0.70","-","-","-","-","-","-","-","-"
"4","Lamar Jackson","QB","BLT","HST","22.4","30","20","239","1.80","0.52","8.0","47.4","0.28","-","-","-","-","-","-","-","-"
"5","Jayden Daniels","QB","WAS","ATL","22.2","31","21","224","1.59","0.69","8.5","50.6","0.46","-","-","-","-","-","-","-","-"
"6","Puka Nacua","WR","LA","ARZ","21.5","","0","0","0","0","1.0","5.9","0.05","7.6","97.0","0.56","-","-","-","-","-"
"7","Saquon Barkley","RB","PHI","DAL","21.3","","0","0","0","0","24.3","121.7","0.95","1.8","13.3","0.07","-","-","-","-","-"
"8","Joe Burrow","QB","CIN","DEN","21.0","38","26","298","2.15","0.81","2.0","10.4","0.08","-","-","-","-","-","-","-","-"
"9","Chase Brown","RB","CIN","DEN","20.5","","0","0","0","0","19.3","82.1","0.52","4.3","34.9","0.25","-","-","-","-","-"
"10","Justin Jefferson","WR","MIN","GB","20.3","","0","0","0","0","-","-","-","6.6","96.1","0.69","-","-","-","-","-"
"11","Nico Collins","WR","HST","BLT","20.2","","0","0","0","0","-","-","-","6.7","97.0","0.64","-","-","-","-","-"
"12","Sam Darnold","QB","MIN","GB","19.5","35","23","278","1.94","0.79","3.8","12.8","0.08","-","-","-","-","-","-","-","-"
"13","Jonathan Taylor","RB","IND","NYG","19.4","","0","0","0","0","20.6","92.9","0.88","2.5","17.1","0.13","-","-","-","-","-"
"14","Mike Evans","WR","TB","CAR","19.4","","0","0","0","0","-","-","-","6.1","89.1","0.72","-","-","-","-","-"
"15","Baker Mayfield","QB","TB","CAR","19.3","32","23","258","1.97","0.84","2.9","17.0","0.09","-","-","-","-","-","-","-","-"
"16","Bucky Irving","RB","TB","CAR","19.2","","0","0","0","0","18.5","98.6","0.73","2.5","20.3","0.08","-","-","-","-","-"
"17","Derrick Henry","RB","BLT","HST","19.1","","0","0","0","0","19.4","94.5","0.78","2.4","20.7","0.10","-","-","-","-","-"
"18","Bo Nix","QB","DEN","CIN","18.9","35","22","247","1.64","0.91","4.3","21.1","0.22","-","-","-","-","-","-","-","-"
"19","Brian Thomas Jr.","WR","JAX","TEN","18.7","","0","0","0","0","0.3","1.9","0.02","6.7","86.4","0.51","-","-","-","-","-"
"20","Brock Purdy","QB","SF","DET","18.6","33","21","260","1.41","0.73","4.1","23.7","0.18","-","-","-","-","-","-","-","-"
"21","Bijan Robinson","RB","ATL","WAS","18.4","","0","0","0","0","18.5","84.6","0.68","3.1","23.0","0.09","-","-","-","-","-"
"22","Kyler Murray","QB","ARZ","LA","18.3","35","23","240","1.16","0.81","5.0","34.6","0.29","-","-","-","-","-","-","-","-"
"23","Patrick Mahomes","QB","KC","PIT","18.3","37","25","258","1.58","0.79","3.8","17.8","0.15","-","-","-","-","-","-","-","-"
"24","Kyren Williams","RB","LA","ARZ","18.2","","0","0","0","0","20.5","90.8","1.00","1.7","10.4","0.09","-","-","-","-","-"
"25","Josh Jacobs","RB","GB","MIN","17.8","","0","0","0","0","19.0","79.0","0.73","2.9","23.0","0.08","-","-","-","-","-"
"26","Tee Higgins","WR","CIN","DEN","17.7","","0","0","0","0","-","-","-","5.9","78.4","0.66","-","-","-","-","-"
"27","Caleb Williams","QB","CHI","SEA","17.6","34","21","230","1.37","0.47","5.1","27.1","0.15","-","-","-","-","-","-","-","-"
"28","Justin Herbert","QB","LAC","NE","17.5","32","21","232","1.55","0.50","4.8","16.7","0.16","-","-","-","-","-","-","-","-"
"29","A.J. Brown","WR","PHI","DAL","17.3","","0","0","0","0","-","-","-","6.1","81.0","0.53","-","-","-","-","-"
"30","Jared Goff","QB","DET","SF","17.3","33","22","246","1.79","0.63","2.0","8.0","0.05","0.0","0.2","-","-","-","-","-","-"
"31","Joe Mixon","RB","HST","BLT","17.2","","0","0","0","0","17.6","71.5","0.65","3.1","24.4","0.12","-","-","-","-","-"
"32","Drake Maye","QB","NE","LAC","17.2","32","21","218","1.21","0.91","5.3","36.9","0.19","-","-","-","-","-","-","-","-"
"33","Jordan Love","QB","GB","MIN","17.1","33","21","257","1.71","0.81","1.7","7.0","0.06","-","-","-","-","-","-","-","-"
"34","Aaron Jones","RB","MIN","GB","17.1","","0","0","0","0","16.4","71.6","0.59","3.0","24.3","0.17","-","-","-","-","-"
"35","Tyjae Spears","RB","TEN","JAX","17.0","","0","0","0","0","16.9","65.8","0.48","3.9","28.8","0.15","-","-","-","-","-"
"36","Geno Smith","QB","SEA","CHI","17.0","36","24","269","1.44","0.91","2.4","11.9","0.07","-","-","-","-","-","-","-","-"
"37","Amon-Ra St. Brown","WR","DET","SF","16.9","","0","0","0","0","0.1","0.7","0.01","6.6","70.1","0.54","-","-","-","-","-"
"38","Jaxon Smith-Njigba","WR","SEA","CHI","16.9","","0","0","0","0","0.7","3.9","0.03","6.1","75.0","0.45","-","-","-","-","-"
"39","Matthew Stafford","QB","LA","ARZ","16.7","31","22","247","1.71","0.52","2.1","1.7","0.08","-","-","-","-","-","-","-","-"
"40","Bryce Young","QB","CAR","TB","16.7","35","22","231","1.25","0.79","3.9","26.1","0.14","-","-","-","-","-","-","-","-"
"41","Zach Charbonnet","RB","SEA","CHI","16.5","","0","0","0","0","12.7","57.7","0.64","3.7","27.6","0.09","-","-","-","-","-"
"42","Brock Bowers","TE","LV","NO","16.5","","0","0","0","0","0.3","1.7","0.02","6.6","78.5","0.31","-","-","-","-","-"
