"RK","Name","POS","Team","Opp","FPTS","SACK","INT","FR","DTD","STD","UP","DOWN","MOVE","WW"
"1","Los Angeles Chargers","DST","LAC","TEN","10.8","3.2","1.2","0.6","0.2","0.0","-","-","-","-"
"2","Chicago Bears","DST","CHI","NE","9.9","3.2","0.9","0.6","0.2","0.0","-","-","-","-"
"3","New York Giants","DST","NYG","CAR","8.9","3.3","0.5","0.5","0.2","0.0","-","-","-","-"
"4","San Francisco 49ers","DST","SF","TB","8.1","2.6","1.1","0.5","0.2","0.0","-","-","-","-"
"5","Minnesota Vikings","DST","MIN","JAX","8.0","2.6","0.7","0.5","0.2","0.0","-","-","-","-"
"6","Philadelphia Eagles","DST","PHI","DAL","7.7","2.6","0.5","0.5","0.1","0.0","-","-","-","-"
"7","Kansas City Chiefs","DST","KC","DEN","7.3","1.9","0.7","0.3","0.1","0.0","-","-","-","-"
"8","Detroit Lions","DST","DET","HST","7.2","2.9","0.7","0.5","0.2","0.0","-","-","-","-"
"9","Buffalo Bills","DST","BUF","IND","7.1","2.6","0.7","0.5","0.2","0.0","-","-","-","-"
"10","Los Angeles Rams","DST","LA","MIA","6.9","2.4","0.9","0.6","0.2","0.0","-","-","-","-"
"11","Denver Broncos","DST","DEN","KC","6.7","2.5","0.9","0.4","0.2","0.0","-","-","-","-"
"12","Atlanta Falcons","DST","ATL","NO","6.5","1.4","0.9","0.4","0.2","0.0","-","-","-","-"
"13","Arizona Cardinals","DST","ARZ","NYJ","6.5","2.4","0.8","0.5","0.2","0.0","-","-","-","-"
"14","Washington Commanders","DST","WAS","PIT","6.4","2.9","0.4","0.5","0.1","0.0","-","-","-","-"
"15","New England Patriots","DST","NE","CHI","6.4","2.4","0.5","0.5","0.1","0.0","-","-","-","-"
"16","Baltimore Ravens","DST","BLT","CIN","6.4","2.7","0.7","0.5","0.2","0.0","-","-","-","-"
"17","Jacksonville Jaguars","DST","JAX","MIN","6.2","2.7","0.7","0.6","0.2","0.0","-","-","-","-"
"18","New York Jets","DST","NYJ","ARZ","6.0","2.4","0.4","0.5","0.1","0.0","-","-","-","-"
"19","Pittsburgh Steelers","DST","PIT","WAS","5.8","2.2","0.6","0.5","0.1","0.0","-","-","-","-"
"20","New Orleans Saints","DST","NO","ATL","5.6","1.8","0.8","0.5","0.2","0.0","-","-","-","-"
"21","Tennessee Titans","DST","TEN","LAC","5.6","2.6","0.4","0.4","0.1","0.0","-","-","-","-"
"22","Tampa Bay Buccaneers","DST","TB","SF","5.6","2.4","0.9","0.5","0.2","0.0","-","-","-","-"
"23","Miami Dolphins","DST","MIA","LA","5.2","1.8","0.8","0.4","0.2","0.0","-","-","-","-"
"24","Carolina Panthers","DST","CAR","NYG","5.2","1.9","0.5","0.4","0.1","0.0","-","-","-","-"
"25","Dallas Cowboys","DST","DAL","PHI","5.0","2.2","0.4","0.5","0.1","0.0","-","-","-","-"
"26","Houston Texans","DST","HST","DET","4.6","2.3","0.5","0.4","0.1","0.0","-","-","-","-"
"27","Indianapolis Colts","DST","IND","BUF","4.4","1.6","0.5","0.4","0.1","0.0","-","-","-","-"
"28","Cincinnati Bengals","DST","CIN","BLT","3.5","1.8","0.4","0.5","0.1","0.0","-","-","-","-"
