"gameTime","offTeam","offPressureRate","offSackRate","offYardsBco","offRunsInsideFive","offTdPctInsideFive","passBlockAdv","runBlockAdv","defTeam","defPressureRate","defSackRate","defYardsBco","defRunsInsideFive","defTdPctInsideFive"
"2023-11-05T18:00:00Z","ARZ","29","14","1.47","6","50","-65","-11","CLV","37","17","1.21","4","75"
"2023-11-05T18:00:00Z","ATL","21","21","1.37","8","38","30","49","MIN","28","20","1.15","14","43"
"2023-11-05T18:00:00Z","BLT","27","14","1.72","13","62","13","19","SEA","29","16","1.23","6","83"
"2023-11-06T01:20:00Z","BUF","25","7","1.57","18","28","5","-19","CIN","33","16","1.48","9","33"
"2023-11-05T21:05:00Z","CAR","24","12","1.05","6","17","1","-22","IND","26","19","1.32","15","47"
"2023-11-05T18:00:00Z","CHI","28","12","1.57","9","56","-1","-13","NO","32","11","1.19","11","27"
"2023-11-06T01:20:00Z","CIN","24","17","1.3","6","17","15","-12","BUF","29","19","1.03","6","33"
"2023-11-05T18:00:00Z","CLV","26","14","1.16","7","71","25","23","ARZ","31","25","1.56","18","39"
"2023-11-05T21:25:00Z","DAL","26","14","1.51","16","19","-37","16","PHI","35","18","1.37","4","25"
"2023-11-05T18:00:00Z","GB","22","14","1.28","11","27","-2","-21","LA","33","13","1.35","10","50"
"2023-11-05T18:00:00Z","HST","24","8","1.15","14","21","-4","12","TB","32","16","1.18","7","29"
"2023-11-05T21:05:00Z","IND","27","9","1.39","13","46","5","36","CAR","26","20","1.41","26","42"
"2023-11-05T14:30:00Z","KC","23","8","1.32","10","30","10","-33","MIA","31","17","1.25","12","58"
"2023-11-05T18:00:00Z","LA","29","13","1.34","11","73","-25","-7","GB","37","17","1.29","9","56"
"2023-11-07T01:15:00Z","LAC","27","14","1.14","12","33","-1","-24","NYJ","35","11","1.27","14","7"
"2023-11-05T21:25:00Z","LV","27","24","1.41","11","36","1","17","NYG","30","14","1.56","14","50"
"2023-11-05T14:30:00Z","MIA","25","16","1.28","15","53","-24","-12","KC","33","21","1.51","2","0"
"2023-11-05T18:00:00Z","MIN","26","11","1.1","8","0","42","5","ATL","27","16","1.09","3","33"
"2023-11-05T18:00:00Z","NE","23","14","1.32","6","67","-3","5","WAS","31","18","1.36","9","33"
"2023-11-05T18:00:00Z","NO","24","18","1.27","13","38","11","-8","CHI","29","8","1.18","9","44"
"2023-11-05T21:25:00Z","NYG","30","17","1.3","3","33","-34","-26","LV","30","11","1.42","19","42"
"2023-11-07T01:15:00Z","NYJ","33","16","1.32","2","50","-16","10","LAC","35","22","1.99","15","33"
"2023-11-05T21:25:00Z","PHI","24","6","1.73","17","53","-11","38","DAL","41","13","1.24","6","50"
"2023-11-03T00:15:00Z","PIT","25","8","1.3","3","67","-4","-12","TEN","32","19","1.24","5","40"
"2023-11-05T18:00:00Z","SEA","30","11","1.26","17","35","-10","-11","BLT","31","14","1.35","4","25"
"2023-11-05T18:00:00Z","TB","23","8","1.17","4","25","24","-8","HST","32","12","1.2","8","50"
"2023-11-03T00:15:00Z","TEN","30","20","1.37","4","25","-18","5","PIT","28","17","1.31","5","40"
"2023-11-05T18:00:00Z","WAS","27","15","1.41","8","38","12","-10","NE","24","11","1.15","12","42"
