"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Josh Allen",BUF,"vs. NYJ"," 8.8","A+","24.6","+0.3","43% (7/16)","7%","Average"
"2","Patrick Mahomes II",KC,"at DEN"," 5.4","A","22.7","-1.7","37% (6/16)","2%","Good"
"3","Justin Herbert",LAC,"at LV"," 6.8","A","21.6","+1.8","50% (8/16)","6%","Average"
"4","Kyler Murray",ARI,"vs. SEA"," 5.0","A","20.7","-0.3","38% (5/13)","6%","Average"
"5","Tom Brady",TB,"vs. CAR"," 7.8","A","20.1","+1.0","56% (9/16)","2%","Good"
"6","Matthew Stafford",LAR,"vs. SF"," 6.4","A","19.7","+0.4","56% (9/16)","2%","Good"
"7","Taysom Hill",NO,"at ATL"," 8.2","B+","19.4","+0.8","38% (5/13)","7%","Good"
"8","Dak Prescott",DAL,"at PHI"," 4.6","B","19.0","-1.1","53% (8/15)","4%","Average"
"9","Jalen Hurts",PHI,"vs. DAL"," 4.2","C+","18.6","-0.3","53% (8/15)","12%","Average"
"10","Russell Wilson",SEA,"at ARI"," 5.2","B","18.2","-2.1","53% (7/13)","2%","Great"
"11","Kirk Cousins",MIN,"vs. CHI"," 8.4","B-","17.9","+0.8","46% (7/15)","2%","Good"
"12","Ryan Tannehill",TEN,"at HOU"," 7.2","B-","17.6","-3.0","29% (5/17)","5%","Awful"
"13","Derek Carr",LV,"vs. LAC"," 8.4","C+","17.4","-2.8","41% (7/17)","3%","Awful"
"14","Carson Wentz",IND,"at JAC"," 7.4","C","17.3","-0.7","56% (9/16)","3%","Average"
"15","Trey Lance",SF,"at LAR"," 6.0","D+","17.1","-0.3","20% (3/15)","6%","Great"
"16","Ben Roethlisberger",PIT,"at BAL"," 9.4","C-","16.7","-1.3","33% (5/15)","2%","Awful"
"17","Mac Jones",NE,"at MIA"," 5.8","C-","16.3","-1.9","37% (6/16)","1%","Poor"
"18","Tyler Huntley",BAL,"vs. PIT"," 6.2","D+","15.9","+1.3","25% (4/16)","3%","Awful"
"19","Tua Tagovailoa",MIA,"vs. NE"," 3.2","D","15.4","-0.9","50% (6/12)","4%","Average"
"20","Davis Mills",HOU,"vs. TEN"," 5.0","D-","14.9","-0.6","35% (5/14)","0%","Good"
"21","Matt Ryan",ATL,"vs. NO"," 4.2","F","14.6","-2.3","25% (4/16)","5%","Awful"
"22","Taylor Heinicke",WAS,"at NYG"," 4.2","F","14.3","-0.2","40% (6/15)","4%","Average"
"23","Case Keenum",CLE,"vs. CIN","-","F","14.1","-0.8","6% (1/15)","3%","Awful"
"24","Jared Goff",DET,"vs. GB"," 5.2","F","14.0","-0.6","46% (6/13)","1%","Poor"
"25","Andy Dalton",CHI,"at MIN"," 7.6","F","13.9","+0.1","25% (3/12)","5%","Average"
"26","Trevor Lawrence",JAC,"vs. IND"," 7.4","F","13.7","-3.3","25% (4/16)","6%","Awful"
"27","Aaron Rodgers",GB,"at DET"," 7.4","F","13.6","+0.2","56% (9/16)","2%","Average"
"28","Jimmy Garoppolo",SF,"at LAR","-","F","13.4","-0.5","28% (4/14)","3%","Good"
"29","Brandon Allen",CIN,"at CLE","-","F","13.3","-0.6","6% (1/15)","4%","Great"
"30","Drew Lock",DEN,"vs. KC"," 5.6","F","13.0","-0.5","20% (3/15)","3%","Awful"
"31","Sam Darnold",CAR,"at TB"," 4.4","F","12.7","-1.3","45% (5/11)","6%","Awful"
"32","Jordan Love",GB,"at DET"," 6.6","F","12.3","-1.8","0% (0/16)","0%","Awful"
"33","Justin Fields",CHI,"at MIN"," 7.0","F","11.7","-1.9","41% (5/12)","3%","Awful"
"34","Zach Wilson",NYJ,"at BUF"," 2.8","F","11.0","-1.2","41% (5/12)","6%","Awful"
"35","Jake Fromm",NYG,"vs. WAS"," 9.2","F","10.4","-3.3","20% (1/5)","0%","Awful"
"36","Gardner Minshew II",PHI,"vs. DAL","-","F","9.7","-0.7","12% (1/8)","0%","Great"
"37","Tim Boyle",DET,"vs. GB"," 7.2","F","1.4","-1.6","14% (1/7)","1%","Average"
"38","Cam Newton",CAR,"at TB"," 4.6","F","0.1","-2.2","37% (3/8)","9%","Great"
"39","Marcus Mariota",LV,"vs. LAC"," 8.2","F","0.0","+0.3","18% (2/11)","3%","Great"
"40","Kyle Allen",WAS,"at NYG","-","F","-","-0.2","15% (2/13)","7%","Good"
