"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES "
"1","Green Bay Packers",GB,"vs. CHI"," 8.3","A+","9.2","+0.8","56% (9/16)"
"2","New Orleans Saints",NO,"at NYJ"," 5.4","A","9.2","+0.6","37% (6/16)"
"3","Denver Broncos",DEN,"vs. DET"," 6.0","A","8.2","+1.3","50% (8/16)"
"4","Los Angeles Chargers",LAC,"vs. NYG"," 5.8","A","7.7","-0.5","31% (5/16)"
"5","Tennessee Titans",TEN,"vs. JAC"," 4.6","A-","7.2","-0.3","31% (5/16)"
"6","Dallas Cowboys",DAL,"at WAS"," 3.8","B+","7.1","+4.0","75% (12/16)"
"7","Seattle Seahawks",SEA,"at HOU"," 4.8","B+","7.0","-0.1","43% (7/16)"
"8","Carolina Panthers",CAR,"vs. ATL"," 5.4","B","6.9","+0.6","62% (10/16)"
"9","Cleveland Browns",CLE,"vs. BAL"," 9.9","B","6.8","-1.0","31% (5/16)"
"10","Arizona Cardinals",ARI,"vs. LAR"," 6.6","B-","6.8","+2.7","68% (11/16)"
"11","Minnesota Vikings",MIN,"vs. PIT"," 6.0","B-","6.7","-0.7","37% (6/16)"
"12","Tampa Bay Buccaneers",TB,"vs. BUF"," 7.5","C+","6.6","+1.5","56% (9/16)"
"13","Kansas City Chiefs",KC,"vs. LV"," 4.0","C","6.4","+0.5","56% (9/16)"
"14","Baltimore Ravens",BAL,"at CLE"," 6.2","C","6.4","-1.0","35% (6/17)"
"15","San Francisco 49ers",SF,"at CIN"," 9.9","C-","6.3","-0.4","43% (7/16)"
"16","Cincinnati Bengals",CIN,"vs. SF"," 5.4","C","6.3","0.0","43% (7/16)"
"17","Pittsburgh Steelers",PIT,"at MIN"," 1.9","C-","6.0","-1.7","37% (6/16)"
"18","Los Angeles Rams",LAR,"at ARI"," 7.3","D+","5.7","+0.6","37% (6/16)"
"19","Buffalo Bills",BUF,"at TB"," 4.0","D","5.7","+3.5","62% (10/16)"
"20","Atlanta Falcons",ATL,"at CAR"," 8.7","D-","5.6","-2.4","31% (5/16)"
"21","New York Jets",NYJ,"vs. NO"," 6.2","F","5.6","-2.4","25% (4/16)"
"22","New York Giants",NYG,"at LAC"," 4.2","F","5.6","-0.3","37% (6/16)"
"23","Washington Football Team",WAS,"vs. DAL"," 4.4","F","5.5","-0.3","37% (6/16)"
"24","Houston Texans",HOU,"vs. SEA"," 6.6","F","5.4","-2.2","31% (5/16)"
"25","Jacksonville Jaguars",JAC,"at TEN"," 6.6","F","5.3","-2.5","18% (3/16)"
"26","Detroit Lions",DET,"at DEN"," 9.9","F","5.2","-2.6","31% (5/16)"
"27","Las Vegas Raiders",LV,"at KC"," 7.1","F","5.1","-2.7","17% (3/17)"
"28","Chicago Bears",CHI,"at GB"," 3.3","F","4.7","-0.1","37% (6/16)"
