"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES "
"1","Washington Football Team",WAS,"vs. NYG"," 7.6","A+","8.4","+0.6","37% (6/16)"
"2","Los Angeles Rams",LAR,"at IND"," 6.0","A","8.0","+2.4","56% (9/16)"
"3","Denver Broncos",DEN,"at JAC"," 6.8","A","7.7","-0.9","31% (5/16)"
"4","New England Patriots",NE,"at NYJ"," 4.4","A","7.5","-0.3","18% (3/16)"
"5","Tampa Bay Buccaneers",TB,"vs. ATL"," 6.6","A-","7.4","+0.7","31% (5/16)"
"6","Pittsburgh Steelers",PIT,"vs. LV"," 4.6","B+","7.4","+1.6","50% (8/16)"
"7","Cleveland Browns",CLE,"vs. HOU"," 4.2","B+","7.2","-0.8","18% (3/16)"
"8","Green Bay Packers",GB,"vs. DET"," 6.2","B","7.0","-1.2","31% (5/16)"
"9","San Francisco 49ers",SF,"at PHI"," 9.0","B","7.0","-0.8","43% (7/16)"
"10","Buffalo Bills",BUF,"at MIA"," 7.6","B-","6.8","+0.4","37% (6/16)"
"11","New Orleans Saints",NO,"at CAR"," 5.8","B-","6.6","+1.1","50% (8/16)"
"12","New York Giants",NYG,"at WAS"," 9.9","C+","6.5","+0.1","43% (7/16)"
"13","Arizona Cardinals",ARI,"vs. MIN"," 8.2","C","6.5","+1.0","50% (8/16)"
"14","Carolina Panthers",CAR,"vs. NO"," 6.0","C","6.4","+1.0","37% (6/16)"
"15","Miami Dolphins",MIA,"vs. BUF"," 3.4","C-","6.4","+2.5","56% (9/16)"
"16","Baltimore Ravens",BAL,"vs. KC"," 4.4","D+","6.1","+0.9","50% (8/16)"
"17","Chicago Bears",CHI,"vs. CIN"," 6.0","D+","6.0","-0.6","37% (6/16)"
"18","Los Angeles Chargers",LAC,"vs. DAL"," 6.4","D+","6.0","-1.8","31% (5/16)"
"19","Seattle Seahawks",SEA,"vs. TEN"," 2.0","D","6.0","-0.4","43% (7/16)"
"20","Indianapolis Colts",IND,"vs. LAR"," 7.8","D","6.0","+2.6","62% (10/16)"
"21","Kansas City Chiefs",KC,"at BAL"," 8.2","D","6.0","-0.1","31% (5/16)"
"22","Philadelphia Eagles",PHI,"vs. SF"," 9.2","D-","6.0","+0.2","56% (9/16)"
"23","Cincinnati Bengals",CIN,"at CHI"," 9.2","D-","5.7","-2.7","18% (3/16)"
"24","Minnesota Vikings",MIN,"at ARI"," 5.6","F","5.6","-1.7","18% (3/16)"
"25","New York Jets",NYJ,"vs. NE"," 7.2","F","5.5","-1.9","31% (5/16)"
"26","Jacksonville Jaguars",JAC,"vs. DEN"," 9.9","F","5.4","-2.5","18% (3/16)"
"27","Tennessee Titans",TEN,"at SEA"," 6.4","F","5.3","-2.0","37% (6/16)"
"28","Atlanta Falcons",ATL,"at TB"," 5.6","F","5.1","-1.1","31% (5/16)"
"29","Dallas Cowboys",DAL,"at LAC"," 2.0","F","5.0","-1.6","37% (6/16)"
"30","Las Vegas Raiders",LV,"at PIT"," 4.2","F","4.9","-2.4","25% (4/16)"
"31","Houston Texans",HOU,"at CLE"," 2.4","F","4.7","-2.8","18% (3/16)"
"32","Detroit Lions",DET,"at GB"," 2.0","F","4.4","-3.8","6% (1/16)"
