"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Travis Kelce",KC,"vs. LAC"," 6.4","A+","19.7","+2.5","68% (11/16)","7%","Great"
"2","Darren Waller",LV,"vs. MIA"," 5.8","A","19.2","+0.5","37% (6/16)","33%","Awful"
"3","T.J. Hockenson",DET,"vs. BAL"," 3.4","A","14.9","-0.2","62% (10/16)","21%","Great"
"4","George Kittle",SF,"vs. GB"," 5.0","A","14.8","-0.7","33% (3/9)","3%","Awful"
"5","Mark Andrews",BAL,"at DET"," 6.8","A-","14.0","-2.8","26% (4/15)","2%","Awful"
"6","Kyle Pitts",ATL,"at NYG"," 5.2","B+","12.7","-1.8","50% (1/2)","17%","Awful"
"7","Noah Fant",DEN,"vs. NYJ"," 7.4","B+","11.9","-1.3","40% (6/15)","14%","Great"
"8","Rob Gronkowski",TB,"at LAR"," 4.8","B-","11.4","+2.7","56% (9/16)","33%","Great"
"9","Logan Thomas",WAS,"at BUF"," 6.8","B-","11.1","+1.6","50% (8/16)","7%","Great"
"10","Dallas Goedert",PHI,"at DAL"," 7.6","C+","10.8","-1.3","36% (4/11)","16%","Great"
"11","Tyler Higbee",LAR,"vs. TB"," 4.2","C+","9.0","-1.0","40% (6/15)","11%","Awful"
"12","Jared Cook",LAC,"at KC"," 5.2","C","8.8","-0.8","53% (8/15)","12%","Awful"
"13","Robert Tonyan",GB,"at SF"," 6.0","C","8.4","+1.5","50% (8/16)","11%","Great"
"14","Austin Hooper",CLE,"vs. CHI"," 7.4","C-","8.1","+0.2","53% (7/13)","18%","Awful"
"15","Jonnu Smith",NE,"vs. NO"," 4.8","C-","7.4","-1.6","46% (7/15)","15%","Awful"
"16","Cole Kmet",CHI,"at CLE"," 8.4","D","7.2","-0.1","37% (6/16)","2%","Awful"
"17","Hunter Henry",NE,"vs. NO"," 5.8","D+","7.0","-1.9","28% (4/14)","12%","Awful"
"18","Gerald Everett",SEA,"at MIN"," 6.4","D-","6.9","+1.0","56% (9/16)","9%","Great"
"19","Mike Gesicki",MIA,"at LV"," 5.2","D-","6.7","-0.6","33% (5/15)","10%","Awful"
"20","Blake Jarwin",DAL,"vs. PHI"," 7.6","F","6.7","-0.4","50% (1/2)","5%","Awful"
"21","Dalton Schultz",DAL,"vs. PHI"," 7.6","F","6.6","+0.8","56% (9/16)","1%","Awful"
"22","Tyler Conklin",MIN,"vs. SEA"," 5.2","F","6.5","+0.8","37% (6/16)","5%","Awful"
"23","Jack Doyle",IND,"at TEN"," 8.4","F","6.4","+0.4","40% (6/15)","26%","Awful"
"24","Dawson Knox",BUF,"vs. WAS"," 6.0","F","6.4","+1.3","50% (6/12)","3%","Great"
"25","David Njoku",CLE,"vs. CHI"," 6.8","F","6.3","-0.8","28% (4/14)","44%","Awful"
"26","Dan Arnold",CAR,"at HOU"," 4.0","F","6.1","+1.1","56% (9/16)","8%","Awful"
"27","Juwan Johnson",NO,"at NE"," 4.2","F","5.8","+4.7","50% (1/2)","25%","Great"
"28","Albert Okwuegbunam",DEN,"vs. NYJ","-","F","5.7","+1.9","50% (4/8)","12%","Great"
"29","Adam Trautman",NO,"at NE"," 4.0","F","5.6","-0.7","31% (5/16)","3%","Awful"
"30","Hayden Hurst",ATL,"at NYG"," 5.2","F","5.5","-0.9","50% (8/16)","6%","Awful"
"31","Eric Ebron",PIT,"vs. CIN"," 7.6","F","5.4","-0.1","53% (8/15)","8%","Awful"
"32","Tyler Kroft",NYJ,"at DEN"," 8.2","F","5.4","+0.7","45% (5/11)","1%","Awful"
"33","Pat Freiermuth",PIT,"vs. CIN"," 7.4","F","5.2","+1.7","100% (2/2)","0%","N/A"
"34","Maxx Williams",ARI,"at JAC","-","F","5.2","+0.8","50% (6/12)","3%","Awful"
"35","Kyle Rudolph",NYG,"vs. ATL"," 3.6","F","5.2","-0.2","50% (6/12)","17%","Awful"
"36","Evan Engram",NYG,"vs. ATL","-","F","4.9","-1.1","35% (5/14)","0%","N/A"
"37","C.J. Uzomah",CIN,"at PIT"," 3.4","F","4.6","-1.7","50% (1/2)","0%","N/A"
"38","Anthony Firkser",TEN,"vs. IND"," 3.6","F","4.6","-0.6","26% (4/15)","2%","Awful"
"39","Zach Ertz",PHI,"at DAL"," 7.4","F","4.4","-3.5","9% (1/11)","18%","Awful"
"40","Jordan Akins",HOU,"vs. CAR"," 4.4","F","4.3","-2.0","23% (3/13)","5%","Awful"
"41","Harrison Bryant",CLE,"vs. CHI"," 7.4","F","4.3","0.0","33% (5/15)","8%","Awful"
"42","Will Dissly",SEA,"at MIN"," 6.4","F","4.2","+0.2","50% (8/16)","20%","Awful"
"43","Mo Alie-Cox",IND,"at TEN"," 8.8","F","4.2","-0.9","26% (4/15)","2%","Awful"
"44","Pharaoh Brown",HOU,"vs. CAR","-","F","4.1","+1.2","46% (7/15)","6%","Awful"
"45","Donald Parham Jr.",LAC,"at KC"," 4.4","F","3.7","0.0","25% (4/16)","0%","N/A"
"46","Jimmy Graham",CHI,"at CLE"," 8.4","F","3.7","+1.3","31% (5/16)","12%","Awful"
"47","Foster Moreau",LV,"vs. MIA","-","F","3.5","+0.1","31% (5/16)","9%","Great"
"48","Chris Manhertz",JAC,"vs. ARI","-","F","3.2","-0.4","25% (4/16)","3%","Great"
"49","Ryan Griffin",NYJ,"at DEN","-","F","3.1","-0.9","31% (5/16)","4%","Awful"
"50","O.J. Howard",TB,"at LAR"," 4.0","F","2.9","+1.1","75% (3/4)","4%","Awful"
"51","Geoff Swaim",TEN,"vs. IND","-","F","2.9","+0.4","30% (4/13)","8%","Awful"
"52","Ian Thomas",CAR,"at HOU"," 3.2","F","2.7","-1.1","31% (5/16)","7%","Awful"
"53","Chris Herndon IV",MIN,"vs. SEA"," 4.8","F","2.7","-0.6","25% (4/16)","2%","Awful"
"54","Cameron Brate",TB,"at LAR","-","F","2.6","+0.9","50% (8/16)","5%","Awful"
"55","Luke Farrell",JAC,"vs. ARI","-","F","2.5","-0.9","0% (0/2)","3%","Awful"
"56","MyCole Pruitt",TEN,"vs. IND","-","F","2.4","-0.7","23% (3/13)","6%","Awful"
"57","Kaden Smith",NYG,"vs. ATL","-","F","2.3","-1.1","18% (3/16)","0%","N/A"
"58","Ricky Seals-Jones",WAS,"at BUF","-","F","2.3","-0.3","12% (1/8)","41%","Great"
"59","Josh Oliver",BAL,"at DET","-","F","2.3","-0.6","50% (1/2)","16%","Awful"
"60","Blake Bell",KC,"vs. LAC","-","F","2.2","-0.4","37% (6/16)","1%","Awful"
"61","Durham Smythe",MIA,"at LV","-","F","2.2","+0.9","73% (11/15)","1%","Awful"
"62","Ross Dwelley",SF,"vs. GB","-","F","2.1","+0.4","43% (7/16)","0%","N/A"
"63","Marcedes Lewis",GB,"at SF","-","F","2.0","-0.1","33% (5/15)","0%","N/A"
"64","Derek Carrier",LV,"vs. MIA","-","F","1.9","-0.6","13% (2/15)","0%","N/A"
"65","Drew Sample",CIN,"at PIT","-","F","1.8","-1.1","31% (5/16)","0%","N/A"
"66","Darren Fells",DET,"vs. BAL","-","F","1.8","-0.7","18% (3/16)","0%","N/A"
"67","Darrell Daniels",ARI,"at JAC","-","F","1.8","+0.5","25% (3/12)","0%","N/A"
"68","Kylen Granson",IND,"at TEN"," 8.4","F","1.8","-0.7","0% (0/2)","0%","N/A"
"69","Eric Saubert",DEN,"vs. NYJ","-","F","1.8","-0.4","14% (2/14)","0%","N/A"
"70","Tommy Hudson",TEN,"vs. IND","-","F","1.8","-0.2","0% (0/1)","1%","Awful"
"71","Lee Smith",ATL,"at NYG","-","F","1.8","-0.3","20% (3/15)","0%","N/A"
"72","Cethan Carter",MIA,"at LV","-","F","1.8","-0.2","25% (3/12)","0%","N/A"
