"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"120","Dyami Brown",WAS,"at LV"," 8.0","F","1.4","-3.1","11% (1/9)","6%","Awful"
"121","J.J. Arcega-Whiteside",PHI,"at NYJ"," 9.2","F","1.4","+0.4","27% (3/11)","0%","N/A"
"122","Stanley Morgan Jr.",CIN,"vs. LAC"," 4.8","F","1.2","-0.3","7% (1/14)","1%","Awful"
"123","KhaDarel Hodge",DET,"vs. MIN"," 7.2","F","1.2","-1.6","23% (3/13)","8%","Awful"
"124","Christian Blake",ATL,"vs. TB"," 3.4","F","1.1","-1.2","6% (1/16)","3%","Awful"
"125","Greg Ward",PHI,"at NYJ"," 9.2","F","1.0","+0.5","23% (4/17)","9%","Average"
"126","Dezmon Patmon",IND,"at HOU"," 6.4","F","0.7","-1.3","0% (0/5)","0%","Awful"
"127","Kendall Hinton",DEN,"at KC"," 6.4","F","0.6","-0.2","40% (4/10)","5%","Poor"
"128","Jeff Smith",NYJ,"vs. PHI"," 5.8","F","0.6","-0.5","25% (3/12)","1%","Awful"
"129","Jake Kumerow",BUF,"vs. NE"," 3.0","F","0.5","-0.1","7% (1/13)","3%","Awful"
