"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES "
"1","Buffalo Bills",BUF,"at NYJ"," 7.5","A+","8.6","+3.9","53% (8/15)"
"2","Arizona Cardinals",ARI,"vs. CAR"," 9.9","A","8.5","+2.0","58% (10/17)"
"3","Pittsburgh Steelers",PIT,"vs. DET"," 5.5","A","7.9","-0.4","50% (8/16)"
"4","Indianapolis Colts",IND,"vs. JAC"," 6.5","A-","7.5","+1.0","64% (11/17)"
"5","Tampa Bay Buccaneers",TB,"at WAS"," 4.0","B+","7.4","+0.4","40% (6/15)"
"6","Los Angeles Rams",LAR,"at SF"," 5.7","B+","7.2","+1.9","47% (8/17)"
"7","Baltimore Ravens",BAL,"at MIA"," 4.8","B","7.2","-1.6","35% (6/17)"
"8","Dallas Cowboys",DAL,"vs. ATL"," 3.8","B","6.6","+1.5","60% (9/15)"
"9","New England Patriots",NE,"vs. CLE"," 5.0","B-","6.6","+1.5","41% (7/17)"
"10","New Orleans Saints",NO,"at TEN"," 7.3","B-","6.3","+2.4","56% (9/16)"
"11","Cleveland Browns",CLE,"at NE"," 9.7","C+","6.1","-0.6","23% (4/17)"
"12","Tennessee Titans",TEN,"vs. NO"," 5.0","C+","6.0","0.0","35% (6/17)"
"13","Denver Broncos",DEN,"vs. PHI"," 5.5","C+","6.0","+0.2","47% (8/17)"
"14","Philadelphia Eagles",PHI,"at DEN"," 9.9","C","5.9","-0.5","47% (8/17)"
"15","Carolina Panthers",CAR,"at ARI"," 8.3","C","5.9","+1.9","68% (11/16)"
"16","Green Bay Packers",GB,"vs. SEA"," 4.6","C-","5.7","+0.2","52% (9/17)"
"17","Las Vegas Raiders",LV,"vs. KC"," 6.9","C-","5.7","-1.9","29% (5/17)"
"18","Los Angeles Chargers",LAC,"vs. MIN"," 2.0","D+","5.6","-1.3","37% (6/16)"
"19","Kansas City Chiefs",KC,"at LV"," 5.9","D","5.5","-1.4","37% (6/16)"
"20","Minnesota Vikings",MIN,"at LAC"," 3.6","D","5.5","-0.1","43% (7/16)"
"21","San Francisco 49ers",SF,"vs. LAR"," 4.4","D-","5.2","-1.0","40% (6/15)"
"22","Miami Dolphins",MIA,"vs. BAL"," 8.5","D-","5.2","0.0","35% (6/17)"
"23","Jacksonville Jaguars",JAC,"at IND"," 4.4","F","5.0","-0.7","31% (5/16)"
"24","Seattle Seahawks",SEA,"at GB"," 3.8","F","4.9","0.0","37% (6/16)"
"25","Atlanta Falcons",ATL,"at DAL"," 4.4","F","4.9","-1.0","26% (4/15)"
"26","Washington Football Team",WAS,"vs. TB"," 4.0","F","4.7","+0.5","50% (8/16)"
"27","Detroit Lions",DET,"at PIT"," 6.7","F","4.5","-3.4","12% (2/16)"
"28","New York Jets",NYJ,"vs. BUF"," 8.1","F","4.4","-1.6","33% (5/15)"
