"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES ","OPPORTUNITY ","EFFICIENCY "
"1","Jonathan Taylor",IND,"vs. JAC"," 7.8","A+","21.7","+5.7","80% (12/15)","24%","Average"
"2","Dalvin Cook",MIN,"at LAC"," 7.6","A+","19.6","-3.1","23% (3/13)","27%","Awful"
"3","Christian McCaffrey",CAR,"at ARI"," 3.6","A","19.6","-3.9","50% (2/4)","19%","Awful"
"4","Najee Harris",PIT,"vs. DET"," 9.4","A","19.4","+0.9","75% (6/8)","27%","Average"
"5","Austin Ekeler",LAC,"vs. MIN"," 5.8","A","18.6","-1.4","46% (7/15)","24%","Great"
"6","Aaron Jones",GB,"vs. SEA"," 7.2","A","18.2","-1.3","41% (7/17)","18%","Average"
"7","Ezekiel Elliott",DAL,"vs. ATL"," 7.4","A","17.1","-0.4","50% (7/14)","20%","Poor"
"8","Cordarrelle Patterson",ATL,"at DAL"," 6.8","A","16.9","-","-","17%","Great"
"9","D'Andre Swift",DET,"at PIT"," 3.2","A","16.5","+0.8","53% (7/13)","20%","Average"
"10","James Conner",ARI,"vs. CAR"," 3.2","A-","16.0","+2.5","60% (9/15)","15%","Great"
"11","Darrell Henderson Jr.",LAR,"at SF"," 3.4","A-","15.3","-0.4","53% (8/15)","24%","Average"
"12","Leonard Fournette",TB,"at WAS"," 5.6","B+","15.3","+0.3","50% (7/14)","17%","Awful"
"13","Elijah Mitchell",SF,"vs. LAR"," 3.4","B+","14.9","+3.0","66% (4/6)","10%","Great"
"14","James Robinson",JAC,"at IND"," 3.8","B+","14.2","+0.5","46% (6/13)","17%","Great"
"15","Josh Jacobs",LV,"vs. KC"," 6.2","B","13.5","-0.4","50% (7/14)","15%","Great"
"16","D'Ernest Johnson",CLE,"at NE"," 5.4","B","13.0","+0.2","31% (5/16)","7%","Great"
"17","Darrel Williams",KC,"at LV"," 8.8","B","12.9","+1.0","56% (9/16)","14%","Poor"
"18","Myles Gaskin",MIA,"vs. BAL"," 8.2","B","12.7","+1.1","41% (5/12)","12%","Average"
"19","Michael Carter",NYJ,"vs. BUF"," 6.2","B","12.6","+2.5","62% (5/8)","17%","Average"
