"RK","PLAYER NAME",TEAM,"OPP","MATCHUP RATING","START/SIT","PROJ. FPTS","AVG. POINTS ","% GAMES "
"1","Los Angeles Rams",LAR,"at NYG"," 2.8","A+","8.6","+1.5","50% (8/16)"
"2","Pittsburgh Steelers",PIT,"vs. SEA"," 2.4","A","7.9","+0.6","47% (8/17)"
"3","Buffalo Bills",BUF,"at TEN"," 7.7","A-","7.4","+4.1","50% (8/16)"
"4","Indianapolis Colts",IND,"vs. HOU"," 4.0","A","7.2","+0.9","62% (10/16)"
"5","Denver Broncos",DEN,"vs. LV"," 5.6","A","7.2","-0.1","41% (7/17)"
"6","Dallas Cowboys",DAL,"at NE"," 9.9","B+","6.9","+0.6","56% (9/16)"
"7","Tampa Bay Buccaneers",TB,"at PHI"," 6.7","B+","6.6","+0.6","37% (6/16)"
"8","Cincinnati Bengals",CIN,"at DET"," 5.8","B","6.6","-2.1","18% (3/16)"
"9","Miami Dolphins",MIA,"at JAC"," 7.9","B","6.6","+1.8","50% (8/16)"
"10","Minnesota Vikings",MIN,"at CAR"," 6.7","B","6.5","-1.0","31% (5/16)"
"11","Arizona Cardinals",ARI,"at CLE"," 6.0","B-","6.3","+1.9","56% (9/16)"
"12","Carolina Panthers",CAR,"vs. MIN"," 4.2","C+","6.1","+1.0","50% (8/16)"
"13","Green Bay Packers",GB,"at CHI"," 8.7","C+","6.0","-1.2","41% (7/17)"
"14","Cleveland Browns",CLE,"vs. ARI"," 9.9","C","6.0","-1.2","18% (3/16)"
"15","Jacksonville Jaguars",JAC,"vs. MIA"," 3.8","C","5.9","-1.4","31% (5/16)"
"16","Las Vegas Raiders",LV,"at DEN"," 9.9","C-","5.8","-2.3","31% (5/16)"
"17","Los Angeles Chargers",LAC,"at BAL"," 9.7","C-","5.7","-1.2","43% (7/16)"
"18","Seattle Seahawks",SEA,"at PIT"," 6.5","D+","5.7","-1.0","31% (5/16)"
"19","New England Patriots",NE,"vs. DAL"," 5.4","D+","5.7","-0.3","23% (4/17)"
"20","Baltimore Ravens",BAL,"vs. LAC"," 3.2","D","5.7","-0.7","37% (6/16)"
"21","Chicago Bears",CHI,"vs. GB"," 2.8","D","5.7","+0.7","43% (7/16)"
"22","Kansas City Chiefs",KC,"at WAS"," 2.2","D","5.4","-1.3","25% (4/16)"
"23","Detroit Lions",DET,"vs. CIN"," 9.1","D-","5.3","-3.2","11% (2/17)"
"24","Houston Texans",HOU,"at IND"," 3.4","F","5.1","-2.9","18% (3/16)"
"25","Washington Football Team",WAS,"vs. KC"," 5.4","F","5.1","+0.3","37% (6/16)"
"26","Philadelphia Eagles",PHI,"vs. TB"," 2.2","F","5.1","0.0","56% (9/16)"
"27","New York Giants",NYG,"vs. LAR"," 2.4","F","4.9","-0.6","37% (6/16)"
"28","Tennessee Titans",TEN,"vs. BUF"," 9.3","F","4.9","-2.2","29% (5/17)"
